,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
"Skill cat: Transportation, Supply Chain, and Logistics",0.2133794187460784,0.2511792629957199,17.714850134924838,23296.833333333332
Skill cat: Architecture and Construction,0.0701547387675819,0.0746612101793289,6.4236165523709765,7240.916666666667
Skill cat: Marketing and Public Relations,0.1536647461319512,0.1606169417500496,4.524261935869521,15860.375
Skill cat: Finance,0.2463203804352119,0.255320593714714,3.6538646390526197,25241.333333333332
"Skill cat: Maintenance, Repair, and Facility Services",0.1247411536906963,0.124704323709011,-0.029525125105566128,12147.0625
Skill cat: Health Care,0.2528852542447607,0.2482589706778526,-1.8294002869896318,24600.145833333332
Skill cat: Sales,0.2595250336231552,0.2526767253875732,-2.638785222363615,28575.0
Skill cat: Physical and Inherent Abilities,0.6676901351877813,0.6309430301189423,-5.503616592823299,66944.6875
Skill cat: Administration,0.2959242254297369,0.2760769426822662,-6.7068800192511375,30776.75
Skill cat: Media and Communications,0.5130097815931591,0.4760620892047882,-7.202141891647629,52501.75
Skill cat: Information Technology,0.350249943225612,0.3230190426111221,-7.77470521870984,36207.041666666664
Skill cat: Business,0.528613340735732,0.4872640073299408,-7.822226610520374,54187.333333333336
Skill cat: Analysis,0.1594122883097938,0.1460967436432838,-8.352897262620836,15980.5
Skill cat: Manufacturing and Production,0.1219575894692408,0.1110982410609722,-8.904200595902614,12028.6875
"Skill cat: Law, Regulation, and Compliance",0.3303574038762552,0.299417495727539,-9.365586418128407,32457.0625
Skill cat: Property and Real Estate,0.016014429581136,0.0144695392809808,-9.646864362718143,1567.4166666666667
Skill cat: Science and Research,0.1371139963442596,0.1233760453760624,-10.019364422654993,13100.104166666666
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0090848279959574,0.0080820121802389,-11.038357756082306,781.0833333333334
Skill cat: Engineering,0.0923556146096223,0.0818517357110977,-11.373297598552522,8786.625
Skill cat: Energy and Utilities,0.0160902563243765,0.0141694643534719,-11.93760952082924,1560.6666666666667
Skill cat: Education and Training,0.1263071776558426,0.1106725297868251,-12.378273475176718,11922.958333333334
"Skill cat: Economics, Policy, and Social Studies",0.0603387447677759,0.0520491730421781,-13.738389417117727,5329.875
Skill cat: Public Safety and National Security,0.0417441743199546,0.0356372911483049,-14.629306414932447,3850.0416666666665
Skill cat: Customer and Client Support,0.3613171948226155,0.3021210283041,-16.383434657068335,34297.125
Skill cat: Hospitality and Food Services,0.1103657686103722,0.0912747308611869,-17.29797018546847,9832.645833333334
Skill cat: Design,0.051255745667117,0.0401216801255941,-21.72257060473502,4873.5625
"Skill cat: Performing Arts, Sports, and Recreation",0.0082002674702332,0.0062495952006429,-23.787910292819102,773.875
Skill cat: Environment,0.0193244717061813,0.014692842029035,-23.967691058093898,1683.625
Skill cat: Human Resources,0.0953568474527025,0.0702172182500362,-26.36373776422893,8168.4375
Skill cat: Social and Human Services,0.0341111939262778,0.025104789994657,-26.403074460207193,2731.7916666666665
Skill cat: Personal Care and Services,0.0077158177512981,0.0055821959394961,-27.652568795356036,615.5416666666666
