,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Tape Recorders,0.0230285206929489,0.0276446727760096,20.04536958587235,59.333333333333336
Grammar,0.0274202136735288,0.0318445067469291,16.135151702597646,78.08333333333333
Ability To Meet Deadlines,0.009566812236285,0.0100183617113768,4.719957535898566,45.52777777777778
Working With Children,0.0575080609730446,0.0595168176041299,3.4930001065882705,251.76388888888889
Relationship Building,0.0220358246333503,0.022395664381181,1.6329760915146259,42.236111111111114
Coaching,0.0324933266717604,0.0323891199687698,-0.32070185993348516,91.61111111111111
Teaching,0.3558508578603746,0.3422704530369426,-3.8163192594467725,1271.486111111111
Psychology,0.0138366616122736,0.0128248796164899,-7.312327381672862,46.52777777777778
Management,0.1381595359657816,0.1259469497919323,-8.839481175497015,364.47222222222223
Leadership,0.1244728862005014,0.1132614118646449,-9.007161863184413,417.9861111111111
Energetic,0.0266098477655787,0.0242121067229932,-9.010728147370724,100.77777777777777
Spanish Language,0.0363489205764755,0.0327088363361516,-10.014284282982839,124.08333333333333
Problem Solving,0.0611215263882592,0.0523945757486082,-14.278031252385986,195.93055555555554
Planning,0.136747349772191,0.1135317409249141,-16.977008246194206,400.77777777777777
Cardiopulmonary Resuscitation (CPR),0.0390841875287511,0.0324444516886548,-16.988291838513923,121.90277777777777
Time Management,0.0230169419805847,0.0185816813988037,-19.269547559889748,91.70833333333333
Microsoft Excel,0.0212958882770215,0.0167757148237372,-21.225568966576596,73.47222222222223
Head Start (Education Program),0.0200613795337289,0.0156763418347151,-21.85810647588468,85.29166666666667
Preschool Education,0.1384705485216108,0.1079065678189864,-22.07254974356829,457.30555555555554
Communications,0.3191040052900136,0.2452408705589334,-23.147040935431264,937.0833333333334
Lesson Planning,0.1339517377380465,0.1011850863246108,-24.4615351519467,428.4583333333333
Mathematics,0.0550500968009953,0.0413621486854668,-24.86453051119979,149.84722222222223
Innovation,0.0592927247330581,0.0427488298757488,-27.90206544190978,144.125
Teamwork,0.0270845447021,0.019260231058075,-28.88848134640544,79.91666666666667
Valid Driver's License,0.0444871517423909,0.0315273902109885,-29.13147060177671,161.77777777777777
Parent Communication,0.0634448880853613,0.0437435741289297,-31.05264198736495,167.19444444444446
Toileting,0.0483708883701206,0.0329408878824345,-31.899353118388113,124.73611111111111
Scheduling,0.0219283032934721,0.0148366718244676,-32.34008292431649,74.06944444444444
Verbal Communication Skills,0.0358845224064124,0.0239076475504866,-33.37615788857646,123.0
Classroom Management,0.0631861161504192,0.0419945398022898,-33.53834297661419,193.73611111111111
Child Development,0.1631710720423037,0.1076596650760788,-34.02037277283624,650.0
First Aid Certification,0.0849569665284722,0.0560518849401333,-34.02320347519912,362.19444444444446
Lifting Ability,0.0627057601775623,0.040746559049269,-35.0194321320912,190.76388888888889
First Aid,0.0102488241430698,0.0066209355579037,-35.398095767105715,56.31944444444444
Professionalism,0.0439578501974741,0.0281035112174655,-36.067139108908506,125.13888888888889
Writing,0.1795614857469502,0.1133690998487269,-36.86335386615476,427.2916666666667
Early Head Start (Education Program),0.014772250916991,0.0091321991268911,-38.18004325673028,45.52777777777778
Bilingual (Spanish/English),0.0245716265525465,0.0150244374322688,-38.854526377653535,75.93055555555556
Cardiopulmonary Resuscitation (CPR) Certification,0.1012260509065569,0.0585807076429205,-42.128822454017175,476.375
Clerical Works,0.0241159698336937,0.0138918169162984,-42.39577751963595,66.98611111111111
Multilingualism,0.0634477864532737,0.0359780829956778,-43.294975275183226,159.77777777777777
Interpersonal Communications,0.1201030204900034,0.0678227482045453,-43.52952329771721,259.8611111111111
Microsoft Office,0.0286622253651745,0.0160706828626178,-43.93079163300355,106.19444444444444
Mental Health,0.0150932762984367,0.0081773887816092,-45.82098266857951,46.0
Office Equipment,0.03278095689531,0.0176743884893197,-46.08336618798218,77.23611111111111
Operations,0.0469698449256583,0.0251893860782702,-46.371153411004876,127.41666666666667
Caregiving,0.0206622848841111,0.0110362451153217,-46.587489344857694,97.16666666666667
Record Keeping,0.0229958343282633,0.0122387821417661,-46.77826441494284,56.22222222222222
Instructional Strategies,0.0222798120960481,0.0117290234883148,-47.35582401794473,46.0
Decision Making,0.0247231519798701,0.0128190637515931,-48.14955729742493,68.23611111111111
Behavior Management,0.0561809467523818,0.0288234287148999,-48.69536670156252,117.61111111111111
Organizational Skills,0.0880652151767506,0.044676661794502,-49.26866220126295,216.5
Loading And Unloading,0.0192248244127127,0.0096987036322854,-49.55114583063766,56.90277777777778
Detail Oriented,0.0403913355587415,0.0202998148258745,-49.74215498184682,168.98611111111111
Coordinating,0.0375029616058155,0.0187147361449144,-50.0979780167219,93.125
Self-Discipline,0.0419934579530372,0.0209358408933622,-50.14499421129952,80.97222222222223
Training And Development,0.0278751490766409,0.0138738513261929,-50.22860222900458,76.61111111111111
Self-Motivation,0.0199851755814066,0.0098626401702556,-50.650220058955085,76.97222222222223
Computer Literacy,0.0214882754582414,0.0105370020887627,-50.96394725002725,90.70833333333333
Enthusiasm,0.0205375345432606,0.0100281460664009,-51.17161680104567,97.34722222222223
Ethical Standards And Conduct,0.0220252725636693,0.0107269099370373,-51.2972658747872,63.666666666666664
Literacy,0.0185915758387186,0.0089368781192755,-51.93049692612037,57.986111111111114
Positivity,0.0213821620244081,0.0101304278168363,-52.62206036381052,76.43055555555556
Educational Materials,0.0151910016070368,0.0071591952802926,-52.87213137429788,44.625
English Language,0.1391754125635598,0.0647060993215567,-53.507521098954044,426.43055555555554
Teaching Certificate,0.118294932835636,0.0549387249081673,-53.55783752419768,260.7361111111111
Patience,0.0644625146112225,0.0296854170083834,-53.949334450543816,279.31944444444446
Customer Service,0.098205428170144,0.0451064341267672,-54.069306588003585,290.90277777777777
Student Services,0.0245848120371933,0.0111613023291522,-54.60082301110643,48.27777777777778
Primary Education,0.0161640651438333,0.0073274874427964,-54.668040634617924,51.208333333333336
Adult Education,0.018017675334431,0.0079457030955296,-55.90050909427975,69.84722222222223
Learning Theory,0.0366791944718661,0.0154859429613493,-57.780035291594466,68.84722222222223
Individualized Education Programs (IEP),0.1139059529635736,0.0480146064109191,-57.84714919485035,273.1388888888889
Intercultural Competence,0.0396437319056845,0.0165263933605709,-58.312720407129014,58.166666666666664
Research,0.0593528167987933,0.0244397578915618,-58.82291825438909,166.18055555555554
Disabilities,0.0398674513304164,0.0161932775879652,-59.382210180035436,112.63888888888889
Good Driving Record,0.0065794765847581,0.0026421078862073,-59.84319037888272,46.0
Social Skills,0.0189565843380197,0.0073560003535767,-61.19553912028677,59.875
Microsoft PowerPoint,0.0156597989560484,0.0060021375476876,-61.67168196390317,62.208333333333336
Cleanliness,0.0144721899729946,0.0053750996170123,-62.85911374130422,56.72222222222222
Housekeeping,0.0262048508566793,0.0093517605300172,-64.31286489221308,144.19444444444446
Student Engagement,0.0208847432558812,0.0074262978189905,-64.44151729325553,24.916666666666668
Visual Acuity,0.0532205962864766,0.0182934142616088,-65.62719033973475,95.48611111111111
Learning Management Systems,0.0123444446414779,0.0042044825913701,-65.94028558204356,57.416666666666664
Marketing,0.0122036930097167,0.0041384095480202,-66.08887535334462,50.31944444444444
General Mathematics,0.0244610738391012,0.0078663601916201,-67.84131292287884,50.59722222222222
Microsoft Outlook,0.0165176634180644,0.0050707973920855,-69.30075844420061,48.22222222222222
Advocacy,0.0590281300455212,0.0175177411077173,-70.32306275972489,101.5
Mentorship,0.0217640605491939,0.0063415297622795,-70.86237768937663,58.05555555555556
Multitasking,0.0612206431684498,0.0178135074905746,-70.90277630445601,152.20833333333334
Pedagogy,0.0540305638708472,0.0152442562615482,-71.7858649449087,91.61111111111111
Project Management,0.0149596405133806,0.0039985992869046,-73.27075284109891,73.16666666666667
Presentations,0.0180839058644329,0.0044274973215684,-75.51691899549023,63.75
Curriculum Development,0.0338801737751167,0.0080491260356491,-76.24237086540336,153.18055555555554
Program Management,0.0261230612264278,0.0055341843037221,-78.81494723855963,47.388888888888886
Goal Setting,0.040131350506622,0.0080288828052149,-79.9934896188204,69.81944444444444
Diverse Learners,0.0396477519228477,0.0076313332396344,-80.75216659324205,63.361111111111114
No Child Left Behind Act (NCLB) Standards,0.0265405014823062,0.0047480699091694,-82.11009723258317,29.083333333333332
Autism Spectrum Disorders,0.0179300286444529,0.00286730993881,-84.00833598390778,57.47222222222222
Instructional Design,0.0183736734462953,0.0028787491421522,-84.33220689065504,101.72222222222223
Special Education,0.1713131217473034,0.0249509817418438,-85.43545206149012,439.7361111111111
Continuous Improvement Process,0.0371078391969506,0.0053845503452331,-85.48945327521096,56.52777777777778
Interactive Learning,0.0104256582184743,0.0012544363229977,-87.9677973638649,50.291666666666664
Creativity,0.0154492279797632,0.001736966135589,-88.75693893659778,80.08333333333333
Accountability,0.02737320653025,0.0022782815316518,-91.67696510405501,45.77777777777778
Meal Planning And Preparation,0.0150716240581269,0.0010958676109325,-92.72893480685256,122.65277777777777
Cognitive Development,0.0099008368372914,0.0004935928552017,-95.01463499183636,45.625
Strong Work Ethic,0.0125153088615157,0.0003353366897178,-97.32058798205969,53.5
Early Childhood Education,0.052467320305665,-0.000208072817441,-100.39657603290735,207.375
Team Oriented,0.0037648643644393,-0.0001661205531882,-104.41239144648284,45.59722222222222
Diaper Changing,0.0085477072127898,-0.0006229566696959,-107.28799728614686,50.30555555555556
Drag And Drop,0.0174718556675786,-0.0025332516092282,-114.49904152956685,11.777777777777779
