,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Medical Records Filing,0.0004269124269094,0.0177035721744908,4046.886119632183,107.04166666666667
First Article Inspections,0.0002176440051078,0.0039657294995349,1722.117497594596,73.66666666666667
Hydraulics,0.0040147271284803,0.054923934415437,1268.061456177407,1185.625
Equipment Calibration,0.0003545709447736,0.0040465670804594,1041.257381662563,95.97916666666667
Daily Production Reports,0.0001539949146618,0.0016888602848199,996.6987374413856,62.5
Safety Culture,0.001259014257042,0.0059632403581168,373.643592577512,330.875
Algorithm Design,0.0002456265783708,0.0008539016323203,247.64219653430283,72.625
Raiser's Edge NXT,0.0005960345781143,0.0016960960829139,184.56337017894356,186.25
Furniture Assembly,0.0004473321160962,0.0010001524744407,123.58163844100444,119.60416666666667
Team Effectiveness,0.0007244730787613,0.0011120617467209,53.49938863460558,220.14583333333334
Tire Balancing And Rotation,0.0002840300992229,0.0002898745739439,2.0576955530383594,98.8125
PTC Windchill,0.0002089779047453,0.0001836908331301,-12.100356564498817,50.770833333333336
Risk Awareness,0.0002859258627574,0.0002154589710812,-24.645161860013044,183.77083333333334
Microsoft Teams,0.0036288943655563,0.002389944258631,-34.14125576883173,733.1875
Human Capital,0.0012751790250911,0.0007668237633432,-39.86540334692085,328.7708333333333
Risk Mitigation,0.0047908778186042,0.0024098885740115,-49.69839212652662,1322.8125
Solid-State Drives,0.0002988123203439,0.0001404754763061,-52.988726788631666,56.395833333333336
Security Testing,0.0004191453544197,0.0001853379384165,-55.781941404767,123.625
Logo Design,0.0008617424380184,0.0003793866754065,-55.97447001926585,435.8958333333333
Inventory Forecasting,0.0002246974386045,9.728323418105492e-05,-56.704787208416974,63.270833333333336
Technical Sales,0.0016142405298114,0.0004364066996007,-72.96519994751417,591.6875
Information Systems,0.0117526951445231,0.0028326858064018,-75.89756416236267,3372.0416666666665
Team Foundation Server,0.0013032692156872,0.0003033116699957,-76.72685993463237,615.2291666666666
Instructional Strategies,0.000732259816364,0.0001441386966246,-80.3159079054326,182.75
Organizational Architecture,0.0012625977391165,0.000217234804262,-82.7946148221357,354.7916666666667
Ecology,0.0004881053583225,7.470633943089465e-05,-84.69462828934265,96.3125
Blogs,0.0018512994421119,0.0002460708690463,-86.70820811323797,549.4791666666666
Strong Academic Record,0.0004750228165115,5.790966970535453e-05,-87.80907617645929,159.10416666666666
Account Management,0.0114186614321882,0.0013646768641166,-88.04871418404879,4112.0625
Medical Ventilators,0.0006808182922988,6.409223722533236e-05,-90.58599953169248,215.02083333333334
Financial Sales,0.0003234687482367,2.110399764868307e-05,-93.47572284379073,118.375
Relational Databases,0.0064074724955709,0.0003158954739904,-95.06988950465633,2015.0208333333333
Brand Loyalty,0.0012336690667868,3.395185702239937e-05,-97.24789589554757,330.875
Articulate Storyline,0.0002793357629785,4.797531880543354e-06,-98.2825214253312,67.72916666666667
Orthopedics,0.0025787993941506,-7.033349949918681e-05,-102.72737381816988,877.8541666666666
Technology Strategies,0.0012417130541639,-0.0003702157067262,-129.8149162147194,346.3541666666667
Landscape Architecture,0.0002111965261479,-0.0001689854730202,-180.01337716220777,73.4375
Valves (Piping),0.0025253312456745,-2.1092137657120777,-83622.26145876241,743.125
