,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Strong Academic Record,0.0004750228165115,,,159.10416666666666
Valves (Piping),0.0025253312456745,,,743.125
Solid-State Drives,0.0002988123203439,,,56.395833333333336
Blogs,0.0018512994421119,,,549.4791666666666
Ecology,0.0004881053583225,,,96.3125
Microsoft Teams,0.0036288943655563,,,733.1875
Orthopedics,0.0025787993941506,,,877.8541666666666
Hydraulics,0.0040147271284803,,,1185.625
Financial Sales,0.0003234687482367,,,118.375
Raiser's Edge NXT,0.0005960345781143,,,186.25
Inventory Forecasting,0.0002246974386045,,,63.270833333333336
Medical Ventilators,0.0006808182922988,,,215.02083333333334
