,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Root Cause Analysis,0.0326205169613374,1.5556500032556406,4668.931176349637,40.06944444444444
Auditing,0.0534799714739361,1.1143349401049962,1983.6490921616826,67.26388888888889
Physics,0.0346158951263364,0.5480615415014081,1483.2655475213548,25.13888888888889
Chemistry,0.0350115779183772,0.2559080019366155,630.9239318868064,33.041666666666664
Electrical Power Transmission And Distribution,0.0271458351442886,0.1902906580008614,600.9939351263539,17.52777777777778
Electric Power Distribution,0.0500226649981528,0.2787763244766386,457.30002487259134,41.138888888888886
Interpersonal Communications,0.0757748405223352,0.3808177199311908,402.56485834363707,100.65277777777777
Mechanical Systems,0.0595491803259262,0.2857469833339709,379.85040561433874,86.68055555555556
Lock Out / Tag Out,0.0369088744073861,0.1624695573392637,340.19103792217174,52.18055555555556
Network Switches,0.0345400043610772,0.1512568585486533,337.9178907085003,61.43055555555556
Good Driving Record,0.0312833125635157,0.1178838439246028,276.82660263441966,52.05555555555556
Tooling,0.0473034230640562,0.157001819615537,231.9037174179384,64.58333333333333
Operations,0.2563714336180509,0.7839843428129352,205.8001945649437,416.31944444444446
Control Systems,0.0700331062427803,0.2058613381464824,193.94860401141295,82.16666666666667
Leadership,0.1143231136510391,0.2726515598337352,138.49206964916934,171.34722222222223
Robotics,0.02644526423894,0.0621705497240832,135.09142946107755,45.77777777777778
Detail Oriented,0.0960326697408097,0.225531354568362,134.8485730710879,198.41666666666666
Reliability,0.0332243947220507,0.07640838650116,129.9767599692298,52.625
Programmable Logic Controllers,0.1334685317651269,0.2841608550772138,112.9047583869955,203.58333333333334
Optometry,0.0429336558062077,0.0823845011339145,91.88792472222381,44.388888888888886
Process Improvement,0.0390500171268661,0.0715616521704647,83.25639125323418,55.22222222222222
Material Handling Equipment,0.0456708841700785,0.0791701857697026,73.34936077627182,52.736111111111114
Planning,0.076254485875457,0.1245861236409395,63.38202560885452,109.11111111111111
Wiring Diagram,0.0349288300780199,0.0533703748494632,52.79748772074746,56.68055555555556
Electrical Wiring,0.0909184819794081,0.1330879687508555,46.381644142494864,139.125
Transmission,0.0294314408870872,0.0423586964525674,43.92328467734629,62.486111111111114
Corrective Maintenance,0.0317589220829504,0.0445471930725245,40.26670349885525,31.27777777777778
Calibration,0.0251296500916919,0.0350218078243588,39.364486558996454,55.236111111111114
Machine Operation,0.0511947461048872,0.0693534398239821,35.46983841250345,108.20833333333333
Time Management,0.05553174074403,0.0734067177600243,32.18875687399728,76.70833333333333
Solenoid,0.0311848736128403,0.0408456610134837,30.97908146296155,36.138888888888886
Food Safety And Sanitation,0.0308122965258051,0.0402815283910307,30.731989929069965,61.43055555555556
Hand Tools,0.1101085666515666,0.1430498605813613,29.917103574725367,191.02777777777777
Mathematics,0.0903623570884047,0.1149234280974177,27.18064446347281,134.0
Blueprinting,0.1274510448034491,0.1606590315560125,26.05548413022089,172.59722222222223
Microsoft PowerPoint,0.0212646146235593,0.0266333178789181,25.247122275194013,44.958333333333336
Transformers (Electrical),0.029121630948878,0.0358118771557834,22.973459895326233,38.47222222222222
Field Service Management,0.0283288609032904,0.0340703445458299,20.267259111264234,60.125
Electricity,0.0250990380553767,0.0285012579111932,13.555180275475449,55.791666666666664
Microsoft Excel,0.0661005686670647,0.0747263717662885,13.049514207162499,123.81944444444444
Lifting Ability,0.1220410693494538,0.1343585359630024,10.092886500591554,232.125
Investigation,0.0360116675094371,0.0390797959304386,8.519817695743962,33.43055555555556
SAP Applications,0.0253064261691614,0.0272733864396989,7.77257229997356,46.013888888888886
Grinding Machine,0.0325753447852638,0.0348974150845871,7.128306130388975,66.75
Problem Solving,0.1602609149991193,0.1696204362331566,5.84017708502958,260.1111111111111
Sensors,0.0307177907649553,0.0324211846021002,5.54530060504298,54.583333333333336
Production Equipment,0.0755719063912091,0.0787344929132216,4.184870639151145,151.70833333333334
English Language,0.0758091707081645,0.0788265739068279,3.980261451848911,145.23611111111111
Computer Science,0.0270860926164169,0.0281603000944775,3.9659004835918052,45.125
Predictive Maintenance,0.0574670992291917,0.0588411497651046,2.3910212179544277,82.25
Writing,0.0820941166859912,0.0830909360236581,1.2142396774664255,152.25
Occupational Safety and Health Administration (OSHA),0.028698458086415,0.0288616690328356,0.5687098098760149,49.875
Electrical/Electronic Troubleshooting,0.0371038485053334,0.0369077815701487,-0.5284274895541335,56.81944444444444
Computer Literacy,0.1057075274842882,0.1038463509401996,-1.7606849657563268,205.97222222222223
Calipers,0.0285234745211158,0.0279955351428016,-1.850894349927004,48.43055555555556
Professionalism,0.0417577717372692,0.0407226241217609,-2.478934034175069,76.125
Scheduling,0.0434192239929272,0.0422462988338267,-2.7013959514605013,68.375
General Mathematics,0.0434270262339782,0.0419171132877561,-3.476896939907686,82.41666666666667
Welding,0.068155177533623,0.0656659428454859,-3.6523046057786224,103.22222222222223
Preventive Maintenance,0.1854387121027464,0.1783724575718459,-3.8105606163751276,304.2638888888889
Project Management,0.0607797175013465,0.0579978480968412,-4.576969947982523,93.44444444444444
Relays,0.0575170061600559,0.05432706093462,-5.54609051896591,73.68055555555556
Microsoft Outlook,0.0396500052488822,0.036794590616697,-7.201549190881126,64.90277777777777
Organizational Skills,0.0431227742214204,0.039975290000174,-7.2988908484532145,78.75
Three-Phase,0.0409218706149127,0.0379296549615765,-7.312020707689213,68.38888888888889
Troubleshooting (Problem Solving),0.4821243199862597,0.4443568338942401,-7.833557554843113,789.6805555555555
Equipment Maintenance,0.0467887086164355,0.0425416009538376,-9.077206420495255,71.73611111111111
Research,0.0349118320910276,0.0313510529390353,-10.199347724599727,59.65277777777778
Prioritization,0.0269419242263489,0.0239932493845122,-10.944559182424426,43.625
