,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Skill cat: Design,0.0494627083818093,0.0865398823119484,74.95985388413308,14479.458333333334
"Skill cat: Performing Arts, Sports, and Recreation",0.0083448597755846,0.0140670863105684,68.57187165356449,2380.7291666666665
Skill cat: Human Resources,0.095887122440244,0.1539136036627853,60.51540576650728,24659.770833333332
Skill cat: Customer and Client Support,0.36293667006475,0.5300105450675067,46.03389207625389,105940.1875
Skill cat: Public Safety and National Security,0.0424567898715632,0.057529297735689,35.50081838434305,11864.9375
Skill cat: Energy and Utilities,0.0160792392820165,0.0214297616081463,33.27596680592958,4726.333333333333
Skill cat: Information Technology,0.3484055324070972,0.4431168184037119,27.184208397112524,108767.22916666667
Skill cat: Personal Care and Services,0.0072353641154025,0.0091126870499023,25.94648872616365,1868.4166666666667
Skill cat: Finance,0.2474089649969461,0.3069605286295572,24.070091248854375,76336.79166666667
Skill cat: Media and Communications,0.5200549014262643,0.6437482655579252,23.784674231976,160138.79166666666
Skill cat: Hospitality and Food Services,0.1143774289812188,0.1402705412277775,22.638305894085477,30992.458333333332
Skill cat: Social and Human Services,0.0356723944243313,0.0437311230194269,22.590938245510454,8481.6875
Skill cat: Engineering,0.0923176389338343,0.1131148564120538,22.527891439170403,26350.416666666668
Skill cat: Marketing and Public Relations,0.1522460395718468,0.1832503749917665,20.364625252066652,47948.125
"Skill cat: Law, Regulation, and Compliance",0.3360708537857948,0.4009437257132995,19.303331781593123,99668.64583333333
Skill cat: Education and Training,0.1308780307497347,0.1543829625261175,17.959417361137554,36544.125
Skill cat: Architecture and Construction,0.0712326180296085,0.0829612751846724,16.46529003073955,22095.9375
Skill cat: Business,0.5336737912362421,0.6199475985984066,16.166019163563075,164215.91666666666
Skill cat: Analysis,0.15862969765762,0.1812170829651488,14.23906471553675,47999.25
"Skill cat: Maintenance, Repair, and Facility Services",0.1274640190782616,0.14511397581608,13.8470109960847,37639.479166666664
Skill cat: Science and Research,0.137828604238614,0.1550096053288404,12.465482898224808,39599.395833333336
Skill cat: Administration,0.2979274098916702,0.3330010834820147,11.772556812781225,93349.64583333333
Skill cat: Physical and Inherent Abilities,0.6800306258302887,0.7570412879673434,11.324587336493542,204630.66666666666
Skill cat: Manufacturing and Production,0.1236541742138638,0.1365208581522973,10.40537775633856,36398.979166666664
Skill cat: Sales,0.2632694786212897,0.2859658112988579,8.620950972526762,87691.125
Skill cat: Health Care,0.2593042004777219,0.2752761972772688,6.159559609956704,75751.4375
Skill cat: Property and Real Estate,0.0158432707072756,0.016309822795266,2.944796542396704,4773.083333333333
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0091144289584983,0.0092460129914875,1.44368927102679,2382.75
"Skill cat: Transportation, Supply Chain, and Logistics",0.2166069309535808,0.212738533130897,-1.7859067600716845,71411.58333333333
Skill cat: Environment,0.0195210151756944,0.015868383010443,-18.71128182820783,5110.729166666667
"Skill cat: Economics, Policy, and Social Studies",0.0619226681925086,0.0452650414670042,-26.900692770082607,16240.583333333334
