,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill cat: Social and Human Services,0.0093527664127408,0.0098827413323345,5.666504392451655,51.56944444444444
Skill cat: Hospitality and Food Services,0.0862901151321396,0.0868464795223428,0.6447602826247354,565.0138888888889
Skill cat: Science and Research,0.133320359099317,0.1339477479690743,0.4705874436551188,843.6111111111111
Skill cat: Analysis,0.1726183936242949,0.1710283165668884,-0.9211515783580428,1113.9305555555557
Skill cat: Health Care,0.1006531803757548,0.0996693322968036,-0.9774634793240872,620.9166666666666
Skill cat: Manufacturing and Production,0.6552020201751217,0.6443718543223503,-1.6529506196999721,4354.152777777777
"Skill cat: Transportation, Supply Chain, and Logistics",0.3807362502681909,0.3736497185197712,-1.861270562870744,2503.5555555555557
Skill cat: Physical and Inherent Abilities,0.7452787115907493,0.7297558663767144,-2.082824180084575,4888.25
"Skill cat: Maintenance, Repair, and Facility Services",0.4828123353640801,0.4713387322720587,-2.3764105122478596,3055.7638888888887
Skill cat: Administration,0.2963040795560432,0.2890471562754815,-2.449147271760438,1924.861111111111
Skill cat: Engineering,0.4648195499757996,0.4533857877141654,-2.4598281768117363,2880.8333333333335
"Skill cat: Law, Regulation, and Compliance",0.50534152406163,0.4890035892819621,-3.23304814699443,3244.527777777778
Skill cat: Information Technology,0.3489100939302356,0.3369430232222567,-3.4298436520359528,2246.5555555555557
Skill cat: Finance,0.1452041163740628,0.1402106491169052,-3.4389295440453256,869.7777777777778
Skill cat: Customer and Client Support,0.1647158563123585,0.1585916316828109,-3.718054088207473,1096.6944444444443
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0176161654107043,0.0169089134350892,-4.014789593116255,104.29166666666667
"Skill cat: Performing Arts, Sports, and Recreation",0.0033546581942759,0.0032083024040025,-4.362763113187775,22.319444444444443
Skill cat: Sales,0.1199084227493223,0.1125790690408343,-6.112459442328396,716.8055555555555
Skill cat: Design,0.0382058107860874,0.0355160676041963,-7.040141608172775,207.91666666666666
Skill cat: Media and Communications,0.5165780804766342,0.4796814961360581,-7.142499020967468,3339.027777777778
Skill cat: Business,0.6069755944268599,0.5581759417964594,-8.039804743134669,3857.1944444444443
Skill cat: Environment,0.0455265455461592,0.0409321776123925,-10.091624301054187,275.2361111111111
"Skill cat: Economics, Policy, and Social Studies",0.0167769211768035,0.0148833444946233,-11.286794890580639,91.75
Skill cat: Architecture and Construction,0.2054669726902822,0.18040814834874,-12.196035213559837,1218.513888888889
Skill cat: Property and Real Estate,0.0057632793907555,0.0050561241274498,-12.270015304828028,35.416666666666664
Skill cat: Energy and Utilities,0.0738263183256889,0.061937724219356,-16.103463339300905,414.7916666666667
Skill cat: Education and Training,0.0816499740731293,0.0607553909634229,-25.590434469694117,476.80555555555554
Skill cat: Human Resources,0.1162682406061246,0.0848400168861826,-27.030789797886108,721.5694444444445
Skill cat: Marketing and Public Relations,0.0540547901758414,0.0350249219630391,-35.20477676612513,287.6111111111111
Skill cat: Public Safety and National Security,0.0421944039747849,0.0212055727366164,-49.743163218305654,239.75
Skill cat: Personal Care and Services,0.0005274122885064,0.0002052213045282,-61.08901726401286,7.888888888888889
