,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Relays,0.0575170061600559,0.0733270219485758,27.487549933535217,73.68055555555556
Predictive Maintenance,0.0574670992291917,0.0592374138363983,3.080570676007479,82.25
Customer Service,0.1264145329775538,0.1297969881496655,2.6756853760732415,238.19444444444446
Packaging And Labeling,0.1183159521970599,0.1210463551997859,2.307721783938663,183.20833333333334
Lifting Ability,0.1220410693494538,0.1193486982231481,-2.206118924274856,232.125
English Language,0.0758091707081645,0.0727557025541877,-4.027834792879407,145.23611111111111
Positivity,0.0214172811780017,0.0203265972731668,-5.09254137240899,45.666666666666664
Planning,0.076254485875457,0.0717589930325628,-5.895381486456382,109.11111111111111
Communications,0.3093995790298643,0.2910859542726055,-5.919085221344514,520.9861111111111
Good Manufacturing Practices,0.0785324598199939,0.0737551768636917,-6.083195365651775,140.38888888888889
Management,0.1987995211535868,0.1800687046570785,-9.421962582111755,312.3333333333333
Solenoid,0.0311848736128403,0.0279694444450382,-10.31086163029423,36.138888888888886
Field Service Management,0.0283288609032904,0.0254073949736418,-10.312684084340553,60.125
Fabrication,0.0483318272202061,0.0417155074489301,-13.689364031554573,62.875
Operations,0.2563714336180509,0.2211129338420316,-13.752897223544958,416.31944444444446
Equipment Repair,0.0582420167845203,0.0488016752558922,-16.20881633195294,101.19444444444444
Preventive Maintenance,0.1854387121027464,0.155152965795224,-16.331943834220503,304.2638888888889
Self-Motivation,0.0824500324160609,0.068380979635112,-17.06373226144216,142.31944444444446
Grinding Machine,0.0325753447852638,0.026995137835656,-17.130154681070728,66.75
Computerized Maintenance Management Systems,0.0461597721252078,0.0380590208994612,-17.54937438550046,70.15277777777777
Organizational Skills,0.0431227742214204,0.0350647215289706,-18.686304019019076,78.75
Machinery,0.1803057669856456,0.1458271598590625,-19.122298583676468,306.52777777777777
Scheduling,0.0434192239929272,0.0349496643994608,-19.5064738947109,68.375
Multitasking,0.0415804353342177,0.033217315610041,-20.113112469735146,78.95833333333333
Blueprinting,0.1274510448034491,0.1015433094619564,-20.327597456299216,172.59722222222223
Welding,0.068155177533623,0.0542986553260294,-20.330843098101774,103.22222222222223
Troubleshooting (Problem Solving),0.4821243199862597,0.3792319539442843,-21.341459407172785,789.6805555555555
Mathematics,0.0903623570884047,0.0709533154322158,-21.479122813496726,134.0
Process Improvement,0.0390500171268661,0.0303538878048789,-22.269207446785813,55.22222222222222
Electronics,0.1143430709274531,0.0887238998978707,-22.405529973772452,167.45833333333334
Programmable Logic Controllers,0.1334685317651269,0.1034969850778682,-22.455890007092876,203.58333333333334
Innovation,0.0496361760835156,0.0381220143701462,-23.197116744038034,71.22222222222223
Valid Driver's License,0.1352439361625876,0.1037465862405648,-23.289288093595037,218.11111111111111
Chemistry,0.0350115779183772,0.0268274825923442,-23.37539697614502,33.041666666666664
Hand Tools,0.1101085666515666,0.0843609823952836,-23.383815664188983,191.02777777777777
Equipment Maintenance,0.0467887086164355,0.0354289237230552,-24.278902387551554,71.73611111111111
Electrical Systems,0.077428965948157,0.0585788314773965,-24.34506807617928,123.91666666666667
Machining,0.0551370014493502,0.0413984555780354,-24.91710740551473,96.47222222222223
Prioritization,0.0269419242263489,0.0202094771119095,-24.98873895523447,43.625
Problem Solving,0.1602609149991193,0.1201305802815199,-25.040624981967635,260.1111111111111
Mechanical Systems,0.0595491803259262,0.04460548291482,-25.094715543213102,86.68055555555556
Instrumentation,0.0263915532862203,0.0197474849776551,-25.17498017835213,48.208333333333336
Professionalism,0.0417577717372692,0.0310944605820176,-25.536111510793326,76.125
Safety Standards,0.0678571571586374,0.0499632163460942,-26.37001248182339,71.81944444444444
Production Equipment,0.0755719063912091,0.0550875743956562,-27.105749972103045,151.70833333333334
Quality Control,0.0327390856437306,0.0237500153170886,-27.456693276231942,55.083333333333336
Coordinating,0.0484843683577383,0.0351522090567813,-27.497850859036987,74.15277777777777
Microsoft Word,0.045384527821092,0.032836407033412,-27.64845507954891,66.66666666666667
Auditing,0.0534799714739361,0.0385265106152991,-27.96086169553155,67.26388888888889
Reliability,0.0332243947220507,0.0238215288211266,-28.30109014652271,52.625
Lock Out / Tag Out,0.0369088744073861,0.0264495142135967,-28.33833424000679,52.18055555555556
Verbal Communication Skills,0.0473366299086403,0.0338063936322336,-28.58301552628494,101.875
Conveyor Systems,0.0422960957004113,0.0301843648914904,-28.63557642461812,55.97222222222222
Warehousing,0.0524772401642348,0.0371403021902287,-29.22588521425103,84.30555555555556
Interpersonal Communications,0.0757748405223352,0.0535763380233079,-29.295347038683804,100.65277777777777
Writing,0.0820941166859912,0.0568659637204909,-30.730768517794786,152.25
Teamwork,0.058863824777436,0.0407702369264632,-30.73804313495533,101.16666666666667
Manufacturing Processes,0.0331844465199485,0.022945624515104,-30.854279876837886,54.638888888888886
Project Management,0.0607797175013465,0.0419354192162681,-31.004254477920085,93.44444444444444
Pneumatics,0.0585046918858976,0.0401725425132192,-31.334494348644398,100.41666666666667
Good Driving Record,0.0312833125635157,0.0214154677120978,-31.543478112756883,52.05555555555556
Microsoft Office,0.0829559978180633,0.056614701315485,-31.753335738724125,151.84722222222223
Time Management,0.05553174074403,0.0378065793024094,-31.91897319286927,76.70833333333333
General Mathematics,0.0434270262339782,0.0285774450305184,-34.19433125227714,82.41666666666667
Leadership,0.1143231136510391,0.073716853492766,-35.51885429067303,171.34722222222223
Hydraulics,0.1080897391580929,0.0694905106124279,-35.71035405054449,212.88888888888889
SAP Applications,0.0253064261691614,0.0162360127915119,-35.84233236656219,46.013888888888886
Network Switches,0.0345400043610772,0.0220356848716197,-36.202425913844124,61.43055555555556
Lathes,0.0350840692314754,0.0223494276982841,-36.29750428655099,63.375
Production Line,0.0322268459981206,0.0204170856490393,-36.645721861115476,48.69444444444444
Forklift Truck,0.0660910585430483,0.0417559743212376,-36.820539356258124,117.15277777777777
Mechanical Aptitude,0.0587022571453788,0.0366339732048151,-37.59358670981014,99.47222222222223
Transformers (Electrical),0.029121630948878,0.018149833351099,-37.6757662269658,38.47222222222222
Power Tool Operation,0.0949557785926788,0.059057717168948,-37.805030884659175,149.43055555555554
Valves (Piping),0.0385262445698661,0.0239033949105902,-37.955554252784324,65.13888888888889
Machine Operation,0.0511947461048872,0.0317624889733681,-37.95752222641464,108.20833333333333
Automation,0.0971714276384616,0.0601809226498644,-38.06726512882467,169.95833333333334
Commissioning,0.0253898504650031,0.015688384929294,-38.21001446653426,28.569444444444443
Detail Oriented,0.0960326697408097,0.058811985878137,-38.75835584195525,198.41666666666666
Electronic Components,0.0446161142921369,0.0272503155765858,-38.92270537466243,75.47222222222223
Machine Tools,0.0291063223473013,0.0174659388943583,-39.992628797441604,52.791666666666664
Sensors,0.0307177907649553,0.0181079575482322,-41.05058633028113,54.583333333333336
Microsoft Excel,0.0661005686670647,0.0388765196819103,-41.18580147513779,123.81944444444444
Mechanics,0.0372533856154915,0.0218649419753835,-41.30750369627841,59.611111111111114
Micrometer,0.0227777046884135,0.0133585582683372,-41.352482828823426,48.236111111111114
Electrical Wiring,0.0909184819794081,0.0532793579611727,-41.3987598547457,139.125
Occupational Safety and Health Administration (OSHA),0.028698458086415,0.0166663190280125,-41.92608195942819,49.875
Fine Motor Skills,0.0366771367192675,0.0204571387325367,-44.223730197046685,40.833333333333336
Electrical/Electronic Troubleshooting,0.0371038485053334,0.0198441368509305,-46.51730844556986,56.81944444444444
Industrial Repair And Maintenance,0.0651531263459737,0.0347431616247869,-46.674605543416206,102.23611111111111
Three-Phase,0.0409218706149127,0.0216044751826926,-47.20555327004157,68.38888888888889
Electricity,0.0250990380553767,0.0131651412804438,-47.547227700929476,55.791666666666664
Calipers,0.0285234745211158,0.014781626692019,-48.17732783193636,48.43055555555556
Electrical Equipment,0.0481149840097282,0.0248997506166804,-48.249487910780545,70.33333333333333
Microsoft Outlook,0.0396500052488822,0.0201104834260025,-49.27999807372171,64.90277777777777
Human Machine Interfaces,0.031651209729437,0.0160245145684022,-49.37155734209203,47.388888888888886
Test Equipment,0.06279461662386,0.0314443451991945,-49.92509407685973,124.45833333333333
Drill Press,0.0232889803822895,0.0116539297649421,-49.9594676381602,48.47222222222222
Housekeeping,0.0729267213857935,0.0363177627400008,-50.19964966219407,132.61111111111111
Data Entry,0.0334303876064948,0.0162763772595782,-51.312627747049945,40.80555555555556
Soldering,0.0316176772785109,0.0153581132525047,-51.42554869790226,55.19444444444444
Control Systems,0.0700331062427803,0.0338968534732314,-51.59881477236943,82.16666666666667
Computer Literacy,0.1057075274842882,0.0511515891128855,-51.610268132997064,205.97222222222223
Optometry,0.0429336558062077,0.0206755050659964,-51.843129410361165,44.388888888888886
Electrical Engineering,0.0619880794869502,0.0291864932959797,-52.91595813655741,63.69444444444444
Calibration,0.0251296500916919,0.0116804725756576,-53.5191595066448,55.236111111111114
Transmission,0.0294314408870872,0.0134631123697341,-54.256020215303394,62.486111111111114
Decision Making,0.0292814449938147,0.0132352787826514,-54.79977581213233,62.22222222222222
Cleanliness,0.0309191071117779,0.0137709037780983,-55.46150887115171,47.59722222222222
Tooling,0.0473034230640562,0.0210192842175177,-55.564982709487396,64.58333333333333
Electric Power Distribution,0.0500226649981528,0.0221944381982291,-55.631235962640766,41.138888888888886
Sales,0.0431321418425185,0.0188369357131353,-56.32738160346501,66.81944444444444
Wiring Diagram,0.0349288300780199,0.0149365080010134,-57.23730807000982,56.68055555555556
Computer-Aided Design,0.0398189248779799,0.016785929514821,-57.844342693180764,44.77777777777778
Investigation,0.0360116675094371,0.0143513630664945,-60.14801852001541,33.43055555555556
Technical Support,0.0279945908306167,0.0108292485270599,-61.31663937300226,47.763888888888886
Research,0.0349118320910276,0.0134471457035757,-61.482555058943355,59.65277777777778
Material Handling Equipment,0.0456708841700785,0.0172583952702463,-62.21138350206669,52.736111111111114
Food Safety And Sanitation,0.0308122965258051,0.010026147131812,-67.46056522137138,61.43055555555556
Oscilloscope,0.0279584379521158,0.0090524768712628,-67.62166439066836,48.72222222222222
Brakes,0.0143975082186378,0.0046432107512685,-67.74990032471182,44.513888888888886
Microsoft PowerPoint,0.0212646146235593,0.0067708840995306,-68.15891461287494,44.958333333333336
Construction,0.0292930154662718,0.0092811644883495,-68.31611788470224,44.763888888888886
