,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Skill subcat: Industrial Engineering,0.0040694547820438,0.1235996515889037,2937.2533474085762,1098.2916666666667
Skill subcat: Climate Change,0.0001420891785875,0.0036858801158606,2494.0611047946886,19.666666666666668
Skill subcat: Ground Freight Transportation,0.0097405432314175,0.1676356637455263,1621.0093909837408,5059.979166666667
Skill subcat: Transportation Operations,0.0118162204442764,0.1213409931594482,926.9019076926918,3699.3125
Skill subcat: Material Handling,0.0378864321301807,0.2437400794200545,543.3439775551966,12472.020833333334
Skill subcat: Heavy Equipment Operation,0.0279111126871892,0.1705555084992113,511.06667588173156,9166.208333333334
Skill subcat: Automotive Technologies,0.0042727714615572,0.0219737542971451,414.27403723429717,1143.2708333333333
Skill subcat: Vehicle Repair and Maintenance,0.0214163933240085,0.1063209234206842,396.44644554363344,6055.708333333333
Skill subcat: Economics,0.0169572880012732,0.0828356134575487,388.4956453610339,5056.0625
"Skill subcat: Welding, Brazing, and Soldering",0.0058693437659444,0.0231814687743262,294.95844337541905,1735.6041666666667
Skill subcat: Inventory and Warehousing,0.103026152555447,0.3836480928561384,272.37932635566995,36450.354166666664
Skill subcat: General Shipping and Receiving,0.0458436825819117,0.1570039337249067,242.47670536584445,15365.708333333334
Skill subcat: HVAC,0.0143724949166365,0.0403088649807922,180.45837006443284,4188.3125
Skill subcat: Radio Frequency (RF),0.0019441066402041,0.0054489817843439,180.2820417182385,715.2916666666666
Skill subcat: Product Inspection,0.0030393089843955,0.0081346941668536,167.64946271073327,1048.0833333333333
Skill subcat: Hazardous Materials Management,0.0052428584895989,0.0136017556885412,159.4339655652577,1532.5625
Skill subcat: Waste Management,0.0021572047230068,0.0054318805278661,151.8018095331686,616.5208333333334
Skill subcat: Ground Passenger Transportation,0.0005691391322555,0.001231921857423,116.4535502137922,157.29166666666666
Skill subcat: Environmental Engineering and Restoration,0.0011311186842767,0.0023564749841537,108.33136406552781,298.875
Skill subcat: Machinery,0.0498612416120834,0.0952026843314039,90.93524600144019,14250.104166666666
Skill subcat: Physical Abilities,0.1097524928235464,0.20182809566281,83.89386014885083,33999.708333333336
Skill subcat: Metal Fabrication,0.0034174707910001,0.0061691267707951,80.5173225486368,1085.75
Skill subcat: Plant Operations and Management,0.0148822657596852,0.0268536404970576,80.44053862955359,4606.3125
Skill subcat: Power Tools,0.0099729394939458,0.017816298047205,78.64640668902697,2881.8333333333335
Skill subcat: Basic Electrical Systems,0.0141154602055381,0.0251575299049931,78.22677786391068,3948.7708333333335
Skill subcat: Regulation and Legal Compliance,0.1508366308549703,0.2535217169884332,68.07702184238973,46648.5
Skill subcat: Oral and Dental Care,0.0061763397388061,0.0099003867570795,60.29537194780783,1861.6666666666667
Skill subcat: Transportation Security,0.0004229221582053,0.0006520427373122,54.175591101490014,111.70833333333333
Skill subcat: Hand Tools,0.0120041703810321,0.0180924910709815,50.71837950225708,3781.9375
Skill subcat: Production and Assembly,0.0091191492763303,0.0134067103717037,47.017117117516754,2864.8958333333335
Skill subcat: Logistics,0.0090108898509306,0.0131808978081302,46.27742682670728,2617.6458333333335
Skill subcat: Equipment Repair and Maintenance,0.0180551456864978,0.0259271451259071,43.599755859606404,4912.916666666667
Skill subcat: Hotels and Accommodations,0.0034492183083454,0.0049164843764712,42.539089641723834,589.6041666666666
Skill subcat: Military Technology and Weapons,0.0003006100361056,0.0004091875613348,36.11906197005955,178.22916666666666
Skill subcat: Mathematics and Mathematical Modeling,0.0403415478319987,0.0533451052142972,32.233660038160835,13348.375
Skill subcat: Oil and Gas,0.0042018542815101,0.0053080324863064,26.32595351209449,1358.1666666666667
Skill subcat: Forestry,0.0004946212653511,0.0006244941315627,26.25703246289089,169.3125
Skill subcat: Manufacturing Standards,0.0140243142691874,0.0167647630777177,19.540697362660335,4303.770833333333
Skill subcat: Mechanical Engineering,0.0178728041830695,0.0211828554977743,18.520044648843285,5019.770833333333
Skill subcat: Internet of Things (IoT),0.0031793044646526,0.0036428755896069,14.580897492148626,948.5208333333334
Skill subcat: General Repairs and Maintenance,0.0157755443681628,0.0178584404918949,13.203323290292705,4273.0
Skill subcat: Nuclear Medicine,0.0006170714579521,0.0006965035356203,12.872427762550288,147.58333333333334
Skill subcat: Construction Painting,0.0068758422585642,0.0077405140892306,12.575504180442898,1895.8958333333333
Skill subcat: Library and Archiving,0.0041145284049641,0.0044060942868358,7.086252740895693,1107.7708333333333
Skill subcat: Language Competency,0.0884092996505473,0.0921876052438445,4.2736517631421185,31181.020833333332
Skill subcat: Occupational Health and Safety,0.1006565045555513,0.0962782942309661,-4.34965464369857,28043.520833333332
Skill subcat: Earth and Space Science,0.0027555618825713,0.0026336221898309,-4.425220624209471,763.1666666666666
Skill subcat: Geospatial Information and Technology,0.0027040936986009,0.0025142607965824,-7.020204296793412,805.0208333333334
Skill subcat: Merchandising,0.0599907529568466,0.0551182807029423,-8.122038837234197,19772.0625
Skill subcat: Basic Technical Knowledge,0.0962293334838812,0.0882804412288565,-8.260362996649215,33302.125
Skill subcat: Carpentry,0.0076331281246826,0.0069532468985234,-8.906980402447653,2315.8958333333335
Skill subcat: Electrical and Computer Engineering,0.0181088521877139,0.0159399762487514,-11.97688244666326,4876.875
Skill subcat: Groundskeeping and Yard Care,0.0091436873141165,0.0079805356748637,-12.720816004469723,2481.5833333333335
Skill subcat: Construction Management,0.0141864604341264,0.0119610328599817,-15.686982559732071,4319.895833333333
Skill subcat: Landscaping and Horticulture,0.0048779697158078,0.0038731015852505,-20.60013056868461,1359.0625
Skill subcat: Agriculture and Crop Farming,0.0023466589060983,0.0018358879308469,-21.76588058554446,663.3333333333334
Skill subcat: Aerospace Engineering,0.0009366007584867,0.0007036270621239,-24.874386898770414,256.3541666666667
Skill subcat: Rail Transportation,0.0004800875494516,0.0003454072727754,-28.053274205932688,135.41666666666666
Skill subcat: Cleaning and Janitorial Services,0.0487814696077991,0.0340303983657731,-30.239087425253825,14827.979166666666
Skill subcat: Food Science and Processing,0.004630389502055,0.0032090837019572,-30.695167209303122,1622.7291666666667
Skill subcat: Supply Chain Management,0.0321881978404363,0.0221184993823099,-31.283821815822133,9251.208333333334
Skill subcat: Financial Accounting,0.0137539749100156,0.0093010376767249,-32.37563876932831,4557.395833333333
Skill subcat: Agricultural Research and Agronomy,0.0004213884429796,0.0002835397080072,-32.712984247428324,140.85416666666666
Skill subcat: Environmental Regulations,0.003301686022784,0.0021912290108267,-33.63302883115931,871.3125
Skill subcat: Emergency Services,0.0108022407042957,0.0070820555093167,-34.43901406029216,2571.125
Skill subcat: Transportation Equipment Manufacturing,0.0002312501313884,0.0001510746589503,-34.6704548692515,62.229166666666664
Skill subcat: Air Transportation,0.0022502880509498,0.0014647660827879,-34.907618508232645,536.8541666666666
Skill subcat: General Construction and Construction Labor,0.0205691102204971,0.0132284770100437,-35.68765557558473,6182.916666666667
Skill subcat: Interior Design,0.0014628716223301,0.0009117467775292,-37.674177035648135,430.6458333333333
Skill subcat: Roads and Drainage,0.0014653565411276,0.0009113332386027,-37.80808881492938,459.0833333333333
Skill subcat: Roofing,0.0035749526554122,0.0022007451668367,-38.439879378403994,1225.375
Skill subcat: Insulation,0.0004551446660586,0.0002734047294674,-39.930147521008394,120.10416666666667
Skill subcat: Orthopedics,0.0042688349017362,0.0025243244761209,-40.866195713162405,1355.25
Skill subcat: Auditing,0.0638678442354475,0.0354275214560638,-44.529955754478,19427.75
Skill subcat: Facility Management and Maintenance,0.0134172888977679,0.0073588580581543,-45.15391213363141,3760.0625
Skill subcat: Customer Service,0.294853594479653,0.159959712863087,-45.74944451826062,94950.97916666667
Skill subcat: Government Assistance,0.0024364122165867,0.0013085707428723,-46.291077759183686,508.8125
Skill subcat: Power Generation,0.0009996437611318,0.0005354934209479,-46.43157475002771,253.0
Skill subcat: Accounting and Finance Software,0.0115421142029674,0.0061782238140069,-46.472338556323415,3938.9166666666665
Skill subcat: Manufacturing Processes,0.0196239363100185,0.0104332684286188,-46.83396713180137,5617.291666666667
Skill subcat: Scheduling,0.0646577663438855,0.0332320978148163,-48.603084062524275,20729.0625
Skill subcat: Log Management,0.0009238345361283,0.0004465340897683,-51.665144319059486,438.9791666666667
Skill subcat: Personal Attributes,0.3440959338353446,0.1622479721458138,-52.84804143502259,108174.70833333333
"Skill subcat: Engineering, Scientific, and Technical Instruments",0.0094353444088937,0.0043704497824616,-53.68001852330859,2819.0625
Skill subcat: Document Management,0.0209463746509958,0.009479233849978,-54.745229148628106,6113.916666666667
Skill subcat: Electronics Engineering,0.0048444966403111,0.0021841894504907,-54.91400629084888,1466.5208333333333
"Skill subcat: Elements, Compounds, and Materials",0.0038198268136782,0.0016952589015665,-55.61948265570461,1025.9791666666667
Skill subcat: Business Solutions,0.0432983808449874,0.019121617949815,-55.83756811075145,13098.333333333334
Skill subcat: Other Programming Languages,0.0191847694181796,0.0082150827243943,-57.17914275993519,6124.729166666667
Skill subcat: Business Operations,0.2408526028709285,0.1031079578208936,-57.190432408924984,71845.83333333333
Skill subcat: Billing and Invoicing,0.0554660570057876,0.0237127742256518,-57.248134254112394,17456.333333333332
Skill subcat: Administrative Support and Clerical Tasks,0.1030068047956258,0.0437846280430634,-57.49346062142613,32640.604166666668
"Skill subcat: Water Supply, Testing, and Treatment",0.0031122762266276,0.0012745254855616,-59.048445807695856,883.5416666666666
Skill subcat: Sea and Waterway Transportation,0.0001505671594602,6.032483394161821e-05,-59.93493258563857,47.770833333333336
Skill subcat: Biology,0.0088816358856996,0.0034476262037663,-61.182531595138315,2504.9375
Skill subcat: Business Management,0.2606444744047371,0.097036265645881,-62.77064155398131,82229.4375
Skill subcat: Procurement,0.0454522196483569,0.016735722912695,-63.1795255717506,13226.520833333334
Skill subcat: Neuroscience,0.0005472375344525,0.0002005277380399,-63.35636256374046,143.35416666666666
Skill subcat: Plumbing,0.0123120924713121,0.0044596006373841,-63.77869441952916,3507.0208333333335
Skill subcat: Business Communications,0.0195648487125705,0.0068493219800236,-64.9916946425306,5757.166666666667
Skill subcat: Pulmonology,0.0051386791910326,0.0017553383810114,-65.84067002908833,1548.0416666666667
Skill subcat: Quality Assurance and Control,0.0860516992923963,0.0283733461669326,-67.02755854881795,24565.291666666668
Skill subcat: Electronics Manufacturing,0.0004513535789469,0.0001484539045652,-67.10917748529364,132.6875
Skill subcat: Student Support and Services,0.0093750269848098,0.0030485884733342,-67.48181655078139,1704.8125
Skill subcat: Environmental Geology,0.0008559023304254,0.0002766042929837,-67.68272697116944,239.02083333333334
Skill subcat: Food and Beverage,0.0888955953488589,0.0275336100425842,-69.0270255409931,25830.6875
Skill subcat: Initiative and Leadership,0.4289251133461503,0.1319954191610656,-69.2264651674655,131174.75
Skill subcat: Electronic Hardware,0.0033718680608846,0.0010359097515967,-69.27786814633156,1019.875
Skill subcat: People Management,0.0766248290898198,0.0234333772745636,-69.4180364864567,24415.604166666668
Skill subcat: Safety and Security,0.0178120997677291,0.0054447679541621,-69.43219482732404,5698.166666666667
Skill subcat: Communication,0.466441092839658,0.1389203779416893,-70.21695127760881,146151.58333333334
Skill subcat: Concrete and Masonry,0.002314226454144,0.0006756836748919,-70.80304420157421,634.8958333333334
Skill subcat: Critical Thinking and Problem Solving,0.3126452597933495,0.0908421906985038,-70.94400511347968,94904.33333333333
