,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
"Skill cat: Economics, Policy, and Social Studies",0.0619226681925086,0.373207251730883,502.69891886866975,16240.583333333334
Skill cat: Hospitality and Food Services,0.1143774289812188,0.5433208262734939,375.0245141134525,30992.458333333332
Skill cat: Customer and Client Support,0.36293667006475,1.7208229825931416,374.138637544158,105940.1875
Skill cat: Marketing and Public Relations,0.1522460395718468,0.5901737058932055,287.6447016637797,47948.125
Skill cat: Human Resources,0.095887122440244,0.3395258721551509,254.08912428959414,24659.770833333332
Skill cat: Personal Care and Services,0.0072353641154025,0.0236510324457827,226.88102586896562,1868.4166666666667
Skill cat: Sales,0.2632694786212897,0.8028418396824993,204.95059430621606,87691.125
Skill cat: Environment,0.0195210151756944,0.0495348953404502,153.75163583769998,5110.729166666667
Skill cat: Education and Training,0.1308780307497347,0.3127555096314716,138.9671573142199,36544.125
Skill cat: Property and Real Estate,0.0158432707072756,0.0371860904907753,134.71220796409534,4773.083333333333
"Skill cat: Performing Arts, Sports, and Recreation",0.0083448597755846,0.0194975790965652,133.64777385009202,2380.7291666666665
Skill cat: Social and Human Services,0.0356723944243313,0.0830918571037165,132.93041704831984,8481.6875
Skill cat: Engineering,0.0923176389338343,0.1946023140650711,110.79645917346963,26350.416666666668
"Skill cat: Maintenance, Repair, and Facility Services",0.1274640190782616,0.2653903091687797,108.20801908484681,37639.479166666664
Skill cat: Business,0.5336737912362421,1.0737841741940632,101.2060910292538,164215.91666666666
Skill cat: Physical and Inherent Abilities,0.6800306258302887,1.3092502733526017,92.52813382545268,204630.66666666666
Skill cat: Finance,0.2474089649969461,0.4705373653064222,90.1860610880573,76336.79166666667
Skill cat: Information Technology,0.3484055324070972,0.6618184992222942,89.9563691339399,108767.22916666667
Skill cat: Public Safety and National Security,0.0424567898715632,0.0796219330229248,87.53639468219467,11864.9375
Skill cat: Design,0.0494627083818093,0.088296865375888,78.5119906785383,14479.458333333334
Skill cat: Manufacturing and Production,0.1236541742138638,0.2021207515007181,63.45647268740308,36398.979166666664
"Skill cat: Law, Regulation, and Compliance",0.3360708537857948,0.4926784520508638,46.59957758934004,99668.64583333333
Skill cat: Administration,0.2979274098916702,0.4275542293995107,43.50953124956656,93349.64583333333
Skill cat: Media and Communications,0.5200549014262643,0.7175529155092872,37.976377790379324,160138.79166666666
Skill cat: Science and Research,0.137828604238614,0.1893571494747709,37.38595882966989,39599.395833333336
Skill cat: Energy and Utilities,0.0160792392820165,0.0210817875214651,31.11184647300822,4726.333333333333
Skill cat: Analysis,0.15862969765762,0.1664330726444292,4.91923965186625,47999.25
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0091144289584983,0.0094641742848202,3.837270858266944,2382.75
Skill cat: Health Care,0.2593042004777219,0.2168725181389204,-16.363669489591253,75751.4375
Skill cat: Architecture and Construction,0.0712326180296085,0.0594591555749232,-16.528190006706684,22095.9375
"Skill cat: Transportation, Supply Chain, and Logistics",0.2166069309535808,-0.9153474833531356,-522.5845771986382,71411.58333333333
