,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
"Skill cat: Transportation, Supply Chain, and Logistics",0.2166069309535808,0.232081933403461,7.144278524123737,71411.58333333333
Skill cat: Media and Communications,0.5200549014262643,0.5548737694038773,6.695229269471619,160138.79166666666
"Skill cat: Maintenance, Repair, and Facility Services",0.1274640190782616,0.1262466504857602,-0.9550684195466594,37639.479166666664
Skill cat: Architecture and Construction,0.0712326180296085,0.070383041244786,-1.192679432994243,22095.9375
Skill cat: Administration,0.2979274098916702,0.2937604076329007,-1.3986636074487762,93349.64583333333
Skill cat: Information Technology,0.3484055324070972,0.3364439921235394,-3.4332234051843997,108767.22916666667
Skill cat: Hospitality and Food Services,0.1143774289812188,0.1102158471402883,-3.638464230223124,30992.458333333332
Skill cat: Analysis,0.15862969765762,0.1522776572282123,-4.004319823591732,47999.25
Skill cat: Manufacturing and Production,0.1236541742138638,0.1184712708634428,-4.191450376318871,36398.979166666664
Skill cat: Sales,0.2632694786212897,0.2519230782139489,-4.309804716733792,87691.125
Skill cat: Physical and Inherent Abilities,0.6800306258302887,0.6471767263140804,-4.831238221969061,204630.66666666666
Skill cat: Finance,0.2474089649969461,0.2342708991707008,-5.310262635958834,76336.79166666667
Skill cat: Personal Care and Services,0.0072353641154025,0.0068457396372232,-5.385001666327683,1868.4166666666667
"Skill cat: Law, Regulation, and Compliance",0.3360708537857948,0.3174145177568105,-5.551310331980025,99668.64583333333
Skill cat: Health Care,0.2593042004777219,0.2448300164670475,-5.581931948656557,75751.4375
Skill cat: Business,0.5336737912362421,0.5035618888899493,-5.642379828422774,164215.91666666666
Skill cat: Marketing and Public Relations,0.1522460395718468,0.1365924201340768,-10.281790897018938,47948.125
Skill cat: Customer and Client Support,0.36293667006475,0.3195584031604674,-11.95202096733396,105940.1875
Skill cat: Science and Research,0.137828604238614,0.121333729237603,-11.967671799428858,39599.395833333336
Skill cat: Public Safety and National Security,0.0424567898715632,0.0372895896276448,-12.170492068641522,11864.9375
Skill cat: Property and Real Estate,0.0158432707072756,0.0138397931446543,-12.645605819897119,4773.083333333333
Skill cat: Engineering,0.0923176389338343,0.0802218441780523,-13.102365805142908,26350.416666666668
Skill cat: Environment,0.0195210151756944,0.016956171579855,-13.138884288317568,5110.729166666667
Skill cat: Education and Training,0.1308780307497347,0.111446289413872,-14.847214024040541,36544.125
Skill cat: Design,0.0494627083818093,0.0418096209500941,-15.472439100261129,14479.458333333334
Skill cat: Energy and Utilities,0.0160792392820165,0.0135662997680213,-15.628472652967767,4726.333333333333
"Skill cat: Economics, Policy, and Social Studies",0.0619226681925086,0.0509363202661299,-17.742045436775648,16240.583333333334
"Skill cat: Performing Arts, Sports, and Recreation",0.0083448597755846,0.0067751853619451,-18.81007537396919,2380.7291666666665
Skill cat: Human Resources,0.095887122440244,0.0762134380578712,-20.5175459245148,24659.770833333332
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0091144289584983,0.0070414322614725,-22.744120410230824,2382.75
Skill cat: Social and Human Services,0.0356723944243313,0.0258892635635551,-27.424934655082634,8481.6875
