,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill cat: Personal Care and Services,0.0074929152419536,0.01172856873176,56.528778893567925,1964.7333333333333
"Skill cat: Economics, Policy, and Social Studies",0.0688542954354748,0.0949861867484629,37.95244893250994,17315.766666666666
Skill cat: Human Resources,0.0894536505320734,0.1199743961268912,34.11906100341279,25827.5
Skill cat: Environment,0.0210216046025722,0.0272814374450174,29.778092399660338,5409.966666666666
"Skill cat: Transportation, Supply Chain, and Logistics",0.2128206963352714,0.2700410553797944,26.886651547450885,70980.7
Skill cat: Engineering,0.096497595110192,0.1201493366772054,24.510187575146443,27570.816666666666
Skill cat: Education and Training,0.1383740640366098,0.1706498153308259,23.325000619824884,37951.916666666664
Skill cat: Administration,0.2948183026942443,0.361215101945549,22.521260940900518,95182.58333333333
Skill cat: Public Safety and National Security,0.0432356051872308,0.0527261792776418,21.950829760130087,12208.4
Skill cat: Social and Human Services,0.0335855977609204,0.0405168615689421,20.637607397557773,8794.6
Skill cat: Manufacturing and Production,0.1168315983666201,0.1394880989932811,19.39244257838911,37272.21666666667
Skill cat: Health Care,0.3021307321521508,0.36006720652475,19.17596199496277,78488.15
"Skill cat: Law, Regulation, and Compliance",0.3508987590757662,0.4082735524751415,16.350811142933384,105616.51666666666
Skill cat: Architecture and Construction,0.0777260465822839,0.0887704716800922,14.209426033416264,23156.3
Skill cat: Design,0.0365271520474693,0.0417029142305251,14.169629694451885,13414.883333333333
Skill cat: Property and Real Estate,0.0127368108772163,0.0142290738830875,11.71614323441491,4618.833333333333
Skill cat: Physical and Inherent Abilities,0.6616697808939466,0.692073130658268,4.594943073151252,210101.26666666666
"Skill cat: Maintenance, Repair, and Facility Services",0.1306566566451023,0.1362780233796524,4.302395973455229,38633.916666666664
Skill cat: Analysis,0.1489803964814877,0.1504350527179771,0.9764078166285224,48967.8
Skill cat: Business,0.5256608941613072,0.5261655741428097,0.09600866016630663,168176.28333333333
"Skill cat: Performing Arts, Sports, and Recreation",0.0094550354519395,0.0093737184085458,-0.8600395398519687,2483.4333333333334
Skill cat: Media and Communications,0.5459180242753089,0.5399235620439274,-1.0980517156104035,176160.7
Skill cat: Customer and Client Support,0.3133927219793179,0.3094985741710427,-1.2425776143366132,103903.43333333333
Skill cat: Hospitality and Food Services,0.0989202202396039,0.0927230304428232,-6.2648362304187115,31514.433333333334
Skill cat: Science and Research,0.1388145727602525,0.1243728618883813,-10.403598544955049,41233.23333333333
Skill cat: Energy and Utilities,0.0219215674900971,0.0195882955413659,-10.643727688657483,5163.016666666666
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0093345427541199,0.0076987082732097,-17.524527167527374,2475.0666666666666
Skill cat: Finance,0.2393410770891681,0.1911742767761717,-20.124752883539315,77153.78333333334
Skill cat: Sales,0.2523971918964794,0.192640100839766,-23.675814539657306,88547.9
Skill cat: Information Technology,0.3114469486733311,0.2143436844571957,-31.17810742078728,107004.21666666666
Skill cat: Marketing and Public Relations,0.1375023419786915,0.0852664873269585,-37.98906542248414,47726.183333333334
