,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0091144289584983,0.0149201127358785,63.69772372812205,2382.75
Skill cat: Health Care,0.2593042004777219,0.383567386487798,47.92177904605604,75751.4375
"Skill cat: Transportation, Supply Chain, and Logistics",0.2166069309535808,0.2817220770120485,30.061432370519096,71411.58333333333
Skill cat: Personal Care and Services,0.0072353641154025,0.0091818708364467,26.90267815133885,1868.4166666666667
Skill cat: Architecture and Construction,0.0712326180296085,0.0866131456675268,21.591972980026156,22095.9375
Skill cat: Manufacturing and Production,0.1236541742138638,0.1473778198610331,19.185479016776668,36398.979166666664
"Skill cat: Maintenance, Repair, and Facility Services",0.1274640190782616,0.1491590873674699,17.020543088232422,37639.479166666664
"Skill cat: Law, Regulation, and Compliance",0.3360708537857948,0.3886114385931353,15.633782047885902,99668.64583333333
Skill cat: Hospitality and Food Services,0.1143774289812188,0.1290081914768017,12.791651837169137,30992.458333333332
Skill cat: Customer and Client Support,0.36293667006475,0.4057053283128715,11.784055394703243,105940.1875
Skill cat: Media and Communications,0.5200549014262643,0.5658361168224899,8.8031504502062,160138.79166666666
Skill cat: Environment,0.0195210151756944,0.0211751156221934,8.473434560711365,5110.729166666667
Skill cat: Science and Research,0.137828604238614,0.1491156991958126,8.189225320498753,39599.395833333336
Skill cat: Public Safety and National Security,0.0424567898715632,0.0455904264476739,7.380766623172226,11864.9375
Skill cat: Analysis,0.15862969765762,0.1695367808289583,6.875814133416368,47999.25
Skill cat: Administration,0.2979274098916702,0.3141155058990323,5.433570551044052,93349.64583333333
Skill cat: Human Resources,0.095887122440244,0.0990670032480883,3.3162751440642873,24659.770833333332
"Skill cat: Economics, Policy, and Social Studies",0.0619226681925086,0.0639081169473043,3.2063359230956157,16240.583333333334
Skill cat: Energy and Utilities,0.0160792392820165,0.0156028946862851,-2.9624821633456024,4726.333333333333
Skill cat: Physical and Inherent Abilities,0.6800306258302887,0.652945953097549,-3.982860727731268,204630.66666666666
Skill cat: Information Technology,0.3484055324070972,0.3340614503798068,-4.117064941015338,108767.22916666667
Skill cat: Education and Training,0.1308780307497347,0.1252835833844643,-4.274550383454436,36544.125
Skill cat: Engineering,0.0923176389338343,0.0876562370163323,-5.049307988523093,26350.416666666668
Skill cat: Business,0.5336737912362421,0.5046358815223027,-5.441134676423568,164215.91666666666
Skill cat: Social and Human Services,0.0356723944243313,0.0333239446649216,-6.583381343776244,8481.6875
Skill cat: Sales,0.2632694786212897,0.2404572669272716,-8.664966335438075,87691.125
Skill cat: Property and Real Estate,0.0158432707072756,0.0144462219255769,-8.817931647517335,4773.083333333333
Skill cat: Finance,0.2474089649969461,0.2176723829361002,-12.019201511640029,76336.79166666667
Skill cat: Marketing and Public Relations,0.1522460395718468,0.1262100543745291,-17.101256144683486,47948.125
Skill cat: Design,0.0494627083818093,0.0405928217377511,-17.932472632898214,14479.458333333334
"Skill cat: Performing Arts, Sports, and Recreation",0.0083448597755846,0.0061702446043115,-26.059337481446853,2380.7291666666665
