,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Skill cat: Personal Care and Services,0.0072353641154025,0.007655640146507901,5.808636917259295,1868.4166666666667
"Skill cat: Transportation, Supply Chain, and Logistics",0.2166069309535808,0.22493269256505116,3.843718931253675,71411.58333333333
Skill cat: Architecture and Construction,0.0712326180296085,0.07284324088177412,2.2610749074197325,22095.9375
"Skill cat: Maintenance, Repair, and Facility Services",0.1274640190782616,0.12936879667648882,1.4943649290218128,37639.479166666664
Skill cat: Sales,0.2632694786212897,0.26675073121786463,1.3223153002033672,87691.125
Skill cat: Customer and Client Support,0.36293667006475,0.36099326135973053,-0.5354677180106248,105940.1875
Skill cat: Information Technology,0.3484055324070972,0.3454858407817277,-0.8380152878737711,108767.22916666667
Skill cat: Manufacturing and Production,0.1236541742138638,0.12240614760776694,-1.0092878902238684,36398.979166666664
Skill cat: Administration,0.2979274098916702,0.2949145148068963,-1.0112849589332678,93349.64583333333
"Skill cat: Law, Regulation, and Compliance",0.3360708537857948,0.3319551267105284,-1.2246605228936942,99668.64583333333
Skill cat: Business,0.5336737912362421,0.5183895198315996,-2.8639726468929387,164215.91666666666
Skill cat: Media and Communications,0.5200549014262643,0.5045183446156729,-2.9874839690928763,160138.79166666666
Skill cat: Physical and Inherent Abilities,0.6800306258302887,0.6555605560863292,-3.5983776045501723,204630.66666666666
Skill cat: Hospitality and Food Services,0.1143774289812188,0.10991014049241583,-3.90574305489636,30992.458333333332
Skill cat: Marketing and Public Relations,0.1522460395718468,0.14605617295024925,-4.0656995998089425,47948.125
Skill cat: Analysis,0.15862969765762,0.15146025157472434,-4.519611515852413,47999.25
Skill cat: Public Safety and National Security,0.0424567898715632,0.03997135193401411,-5.854041120555347,11864.9375
Skill cat: Finance,0.2474089649969461,0.2329145129383864,-5.858499128654702,76336.79166666667
Skill cat: Property and Real Estate,0.0158432707072756,0.014849335258091104,-6.273549619574805,4773.083333333333
Skill cat: Design,0.0494627083818093,0.04611837339942142,-6.761326040969112,14479.458333333334
"Skill cat: Performing Arts, Sports, and Recreation",0.0083448597755846,0.007731403090808402,-7.35131208041446,2380.7291666666665
Skill cat: Science and Research,0.137828604238614,0.12763811089894955,-7.393598299829182,39599.395833333336
Skill cat: Engineering,0.0923176389338343,0.08545477676454263,-7.433966302160735,26350.416666666668
Skill cat: Health Care,0.2593042004777219,0.23947068255087206,-7.648745330893256,75751.4375
Skill cat: Energy and Utilities,0.0160792392820165,0.014716474289933203,-8.475307619853965,4726.333333333333
Skill cat: Human Resources,0.095887122440244,0.08679977336489221,-9.477131906857403,24659.770833333332
Skill cat: Education and Training,0.1308780307497347,0.11832313376627644,-9.592822348821677,36544.125
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0091144289584983,0.008184440592565501,-10.203473746599094,2382.75
Skill cat: Environment,0.0195210151756944,0.017356664370369403,-11.087286116245778,5110.729166666667
"Skill cat: Economics, Policy, and Social Studies",0.0619226681925086,0.053516944463792016,-13.574550280334186,16240.583333333334
Skill cat: Social and Human Services,0.0356723944243313,0.027952106924492907,-21.642190339128366,8481.6875
