,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Skill cat: Information Technology,0.3484055324070972,,,108767.22916666667
"Skill cat: Maintenance, Repair, and Facility Services",0.1274640190782616,,,37639.479166666664
Skill cat: Architecture and Construction,0.0712326180296085,,,22095.9375
Skill cat: Design,0.0494627083818093,,,14479.458333333334
Skill cat: Engineering,0.0923176389338343,,,26350.416666666668
Skill cat: Media and Communications,0.5200549014262643,,,160138.79166666666
Skill cat: Business,0.5336737912362421,,,164215.91666666666
Skill cat: Health Care,0.2593042004777219,,,75751.4375
Skill cat: Finance,0.2474089649969461,,,76336.79166666667
Skill cat: Human Resources,0.095887122440244,,,24659.770833333332
Skill cat: Manufacturing and Production,0.1236541742138638,,,36398.979166666664
Skill cat: Marketing and Public Relations,0.1522460395718468,,,47948.125
Skill cat: Energy and Utilities,0.0160792392820165,,,4726.333333333333
Skill cat: Customer and Client Support,0.36293667006475,,,105940.1875
Skill cat: Education and Training,0.1308780307497347,,,36544.125
Skill cat: Public Safety and National Security,0.0424567898715632,,,11864.9375
Skill cat: Science and Research,0.137828604238614,,,39599.395833333336
Skill cat: Analysis,0.15862969765762,,,47999.25
Skill cat: Environment,0.0195210151756944,,,5110.729166666667
"Skill cat: Transportation, Supply Chain, and Logistics",0.2166069309535808,,,71411.58333333333
"Skill cat: Law, Regulation, and Compliance",0.3360708537857948,,,99668.64583333333
Skill cat: Physical and Inherent Abilities,0.6800306258302887,,,204630.66666666666
Skill cat: Administration,0.2979274098916702,,,93349.64583333333
Skill cat: Social and Human Services,0.0356723944243313,,,8481.6875
Skill cat: Sales,0.2632694786212897,,,87691.125
"Skill cat: Performing Arts, Sports, and Recreation",0.0083448597755846,,,2380.7291666666665
"Skill cat: Economics, Policy, and Social Studies",0.0619226681925086,,,16240.583333333334
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0091144289584983,,,2382.75
Skill cat: Personal Care and Services,0.0072353641154025,,,1868.4166666666667
Skill cat: Hospitality and Food Services,0.1143774289812188,,,30992.458333333332
Skill cat: Property and Real Estate,0.0158432707072756,,,4773.083333333333
