,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Skill subcat: Configuration Management,0.0081230511898959,0.1435894596302992,1667.6788718124446,2636.5
Skill subcat: Mathematics and Mathematical Modeling,0.0407749610622469,0.2507780738187078,515.0295850334988,13171.729166666666
Skill subcat: Electronic Hardware,0.0032602216429557,0.0194087882222942,495.321126839042,1003.7291666666666
Skill subcat: Earth and Space Science,0.002751344991002,0.0159152566026747,478.4536891856152,754.5625
Skill subcat: Emergency Services,0.0111933266432229,0.0559942633946333,400.24684510154566,2561.8541666666665
Skill subcat: Bioinformatics,0.0003421102681421,0.0014798447099189,332.56366374371055,105.58333333333333
Skill subcat: Data Collection,0.0159094259942928,0.0536425369702794,237.1745592174264,4338.75
Skill subcat: Video and Web Conferencing,0.008013476892881,0.0220206559219255,174.79527571219649,1875.0208333333333
Skill subcat: Web Content,0.0011827919331619,0.0029638550605109,150.58127109370545,290.1458333333333
Skill subcat: Electronics Manufacturing,0.0004973564199444,0.0012048445810998,142.2497293258004,133.125
Skill subcat: Payroll,0.0066381599560006,0.0146042347322005,120.00426065357048,1923.5208333333333
Skill subcat: Criminal Investigation and Forensics,0.0021518178781122,0.0046691183177351,116.9848278159739,712.8541666666666
Skill subcat: Instructional and Curriculum Design,0.0169119337617925,0.035204609205767,108.16430398575338,4114.9375
Skill subcat: Military Technology and Weapons,0.0003398032630855,0.0007003664232756,106.1093872130876,185.54166666666666
Skill subcat: Health Care Procedure and Regulation,0.0486718321538388,0.0920786265990094,89.18257752856556,13674.083333333334
Skill subcat: Ground Freight Transportation,0.0102270237612421,0.0186399793422597,82.2620126580778,5430.9375
Skill subcat: Music,0.0012526322142547,0.0022055697436979,76.07480620400501,359.8125
Skill subcat: Sales Management,0.0249742317903542,0.0429047408888698,71.79603860904706,9917.5625
Skill subcat: Energy Efficiency,0.0006889751868742,0.0011648414541739,69.06870905738272,208.625
Skill subcat: Data Visualization,0.0080511824922975,0.0135273191559002,68.0165512189256,1873.7708333333333
Skill subcat: Sales Analysis,0.0044245604693674,0.0073751824900321,66.6873476154924,1638.5208333333333
Skill subcat: Neurology,0.0039771519563406,0.0065379842663087,64.38859611299176,1192.4583333333333
Skill subcat: Child Care,0.0004773071832056,0.0007701058592154,61.343865399921505,168.89583333333334
Skill subcat: Patient Education and Support,0.0261929400695041,0.0421254865176871,60.82763678267998,7263.958333333333
Skill subcat: Water Energy,1.7644506365746302e-05,2.8255795660795387e-05,60.1393378487994,10.145833333333334
Skill subcat: Microsoft Development Tools,0.0077856105712317,0.0119826624774877,53.90780681690348,2579.8333333333335
Skill subcat: Computer-Aided Manufacturing,0.0026384654985394,0.004035973298898,52.96668844569814,834.2708333333334
Skill subcat: Transportation Security,0.000415725154332,0.0006276677917262,50.981432127857616,109.75
"Skill subcat: Engineering, Scientific, and Technical Instruments",0.0077700349015904,0.0114141295232971,46.89933401664404,2374.0416666666665
Skill subcat: Obstetrics and Gynecology (OBGYN),0.00496410038042,0.0072837986485976,46.729479470786536,1742.0208333333333
Skill subcat: Alternative Therapy,0.0038675658483498,0.0056430249758333,45.906371012171576,1137.8958333333333
Skill subcat: Law Enforcement and Criminal Justice,0.0043742030889542,0.0063532810707745,45.244309456456094,1384.4583333333333
Skill subcat: Metal Fabrication,0.0034834725775269,0.005050152194549,44.974650500460314,1082.3958333333333
Skill subcat: Childhood Education and Development,0.0166509941245785,0.024054278332449,44.46151474489159,5685.291666666667
Skill subcat: Cryptocurrency,0.0004917613317746,0.0007059821584336,43.56195024239696,77.35416666666667
Skill subcat: Manufacturing Design,0.0023628894475871,0.0033817853748024,43.12076166981746,532.8125
Skill subcat: Social Skills,0.1162893443570519,0.165454466210499,42.27826902393716,32885.4375
Skill subcat: Regulation and Legal Compliance,0.1272445781741998,0.1807268681079103,42.03109531354054,39436.270833333336
Skill subcat: Mortgage Lending,0.0061235446653846,0.008599460319761,40.43271976723463,2455.8541666666665
Skill subcat: Electronic Trading,0.0005758006290751,0.0008065564706002,40.075649430213325,225.72916666666666
Skill subcat: Marketing Strategy and Techniques,0.1053577415499833,0.1450550966725498,37.678631430926664,33087.041666666664
Skill subcat: Teaching,0.0810451375901768,0.1115279750817636,37.6121731642066,22422.375
Skill subcat: Product Inspection,0.0031048573387702,0.0041765321505175,34.5160725539737,1036.7708333333333
Skill subcat: HVAC,0.0136781735824454,0.0182976424007571,33.77255589328343,4176.541666666667
Skill subcat: Blood Collection,0.0077284942830257,0.0101172876246369,30.908909991144995,2277.0208333333335
Skill subcat: Hand Tools,0.0117200681235696,0.0152163498605858,29.83158203649871,3716.75
Skill subcat: Hazardous Materials Management,0.005335998555816,0.0068859491883678,29.04705869649128,1574.7916666666667
Skill subcat: Medical Equipment and Technology,0.0107975616526909,0.0139053920554777,28.78270578813769,3284.3125
Skill subcat: Speech Language Pathology,0.0044350283052339,0.0056774974025599,28.014907951314015,1767.7708333333333
Skill subcat: Production and Assembly,0.0090888320634395,0.0116017327977923,27.64822495137883,2819.3958333333335
Skill subcat: Livestock Farming,0.000470266243831,0.0005954717347577,26.62438407373658,121.27083333333333
Skill subcat: Aquaculture,2.696768189196866e-05,3.403317782745018e-05,26.199863836222864,9.583333333333334
Skill subcat: Roofing,0.0034513801786931,0.0043436814329039,25.853461746097146,1233.0625
Skill subcat: Marine and Naval Engineering,8.213721240631504e-06,1.0307953385604006e-05,25.496752125124328,4.541666666666667
Skill subcat: Robotics,0.001235723256052,0.0015449219827553,25.021680638362024,364.6875
Skill subcat: Social Studies,0.0141096186087612,0.0175728364597323,24.54508478932701,3774.5625
Skill subcat: Carpentry,0.0076474454193267,0.0095199776728776,24.48572236708767,2439.5
Skill subcat: Heavy Equipment Operation,0.0257249410319576,0.0320018732252396,24.400181075184136,8361.0625
Skill subcat: Account Management,0.0166103570131202,0.0206496151183769,24.317707934068917,6093.4375
Skill subcat: Payment Processing and Collection,0.0209611301408661,0.0259057303851208,23.589378106167285,6603.541666666667
Skill subcat: Real Estate Development,0.000570262694037,0.0006970763108415,22.23775430701276,162.54166666666666
Skill subcat: Prospecting and Qualification,0.0094380975810576,0.0115120846421859,21.974630409531066,3475.4791666666665
Skill subcat: Animation and Game Design,0.0030708709747106,0.0037082534561919,20.755755833778313,960.125
Skill subcat: Financial Analysis,0.0254962237549296,0.0307615622784939,20.651444598913464,7662.541666666667
Skill subcat: Cleaning and Janitorial Services,0.0476946948435938,0.0569097788555396,19.32098327112693,14267.4375
Skill subcat: Business Management,0.266558763061983,0.3178557802753438,19.244168386778064,82133.54166666667
Skill subcat: Marketing Software,0.0020090117538175,0.0023762352468494,18.27881257210697,829.6458333333334
Skill subcat: Cardiology,0.0075209154387128,0.0088664249526715,17.890235901774524,2361.0833333333335
Skill subcat: Inventory and Warehousing,0.1051794968808717,0.123983124075594,17.877654630749607,36140.666666666664
Skill subcat: Clean Energy,0.0003169459948837,0.0003727177982067,17.596626625133684,66.29166666666667
Skill subcat: Machinery,0.0492183231146832,0.0576092932033853,17.048468045427654,14052.270833333334
Skill subcat: Internal Controls,0.0115305570261947,0.0134773593728094,16.883853418286947,3425.9375
Skill subcat: Occupational Health and Safety,0.1026255162875567,0.1192367099312212,16.186221755143162,27939.208333333332
Skill subcat: Laboratory Research,0.0166138252300652,0.0192777410351887,16.034331457289827,4673.125
Skill subcat: Business-to-Business (B2B) Sales,0.0180583752144933,0.0209330762507875,15.918935132032374,5532.229166666667
"Skill subcat: Welding, Brazing, and Soldering",0.0057801060902405,0.0066546955536641,15.131027869891744,1721.0208333333333
Skill subcat: Office Management,0.018135094066561,0.0208249595291208,14.832376676333858,5625.75
Skill subcat: General Finance,0.0873732284176026,0.0998902907414131,14.325969808492001,26159.958333333332
Skill subcat: Legal Proceedings,0.0075068995486861,0.0085389784013592,13.748403664915704,2397.4166666666665
Skill subcat: Plant Operations and Management,0.0142966202477907,0.0161282584782253,12.81168694900214,4544.104166666667
Skill subcat: Groundskeeping and Yard Care,0.0093270593426897,0.0105198580224424,12.78858250953002,2454.4583333333335
Skill subcat: Communication,0.4804998495695234,0.541291263665395,12.651703044305684,147280.85416666666
Skill subcat: Safety and Security,0.0182895491631315,0.0205935038714223,12.597110446741722,5862.458333333333
Skill subcat: Cannabis,0.0011947493878447,0.0013440786707078,12.49879551162494,256.8125
Skill subcat: Brand Management,0.0167981215446928,0.0188976338371482,12.498494470762523,5395.833333333333
Skill subcat: General Shipping and Receiving,0.0465415686286603,0.0522849968250637,12.34042677467169,15334.979166666666
Skill subcat: Telecommunications Equipment and Installation,0.0010537436531678,0.0011837790122198,12.340321923750938,353.9791666666667
Skill subcat: Mobility Assistance,0.001803940797646,0.0020176822657834,11.848585519897082,622.25
Skill subcat: Art and Illustration,0.0024320260291233,0.0027170458375698,11.719439061647059,776.5208333333334
"Skill subcat: Molecular, Cellular, and Microbiology",0.0045639487508052,0.005090506683217,11.537332278740015,1325.75
Skill subcat: Equipment Repair and Maintenance,0.0164418288418282,0.0181912961929605,10.640345231435791,4812.833333333333
Skill subcat: Servers,0.0075194519141003,0.0082497023733357,9.711485193037168,2839.5
Skill subcat: Forestry,0.0005224459628921,0.0005723682006941,9.555483504101714,166.97916666666666
Skill subcat: Insurance and Warranty Claims Processing,0.0045369930040847,0.0049676556004858,9.492247310352248,1285.2291666666667
Skill subcat: Electronics Engineering,0.0049536667803236,0.0054136084066643,9.284872130835051,1469.7083333333333
Skill subcat: Health Information Management and Medical Records,0.0395758600867259,0.0431901513276226,9.132565237941506,11312.958333333334
Skill subcat: Insurance,0.0071694376843881,0.0078104249469526,8.940551418143858,2438.9375
Skill subcat: Safety and Surveillance Technology,0.0059911420770955,0.0065219775964563,8.860339356501273,1892.5833333333333
Skill subcat: Material Handling,0.0385130107629235,0.0417785707943412,8.479108661536927,12385.0625
Skill subcat: Physical Abilities,0.1149679253158503,0.1247019333126356,8.466716234152392,34094.541666666664
Skill subcat: Underwriting,0.0079750491058752,0.008635584965778,8.282530315909694,2695.625
Skill subcat: Electrical Construction,0.0020413122861314,0.002210355871771,8.28112321608388,605.7708333333334
Skill subcat: Vehicle Repair and Maintenance,0.0216573367389673,0.023303924124746,7.602907991988002,6115.458333333333
Skill subcat: Biology,0.0088732248696875,0.0095463671014444,7.5862185579954415,2474.4166666666665
Skill subcat: Immunology,0.0016342042459319,0.0017555495329489,7.425344005748996,508.25
Skill subcat: Automation Engineering,0.0085373310915868,0.0091684857522584,7.392880209291388,2546.0833333333335
Skill subcat: Manufacturing Processes,0.0195719080129383,0.0210172127137383,7.384587643905554,5536.541666666667
Skill subcat: Content Management Systems,0.0043589313787056,0.0046791683187389,7.346684593332498,1537.5625
Skill subcat: Oncology,0.0082036638115204,0.0088019950139794,7.293463216017747,2552.25
Skill subcat: General Medical Tests and Procedures,0.028175445067897,0.0302258394811562,7.277238774110476,7604.25
"Skill subcat: Company, Product, and Service Knowledge",0.0275794594438468,0.0295488831610112,7.140907606163373,9605.041666666666
Skill subcat: Dermatology,0.0013902791955066,0.0014889621136659,7.09806479721803,443.0416666666667
Skill subcat: Coaching and Athletic Training,0.0040899385987067,0.0043776276337275,7.034067335675208,1182.3541666666667
Skill subcat: Public Health and Disease Prevention,0.0107067499755979,0.0114313572850634,6.767761562724213,2620.6458333333335
Skill subcat: General Medicine,0.0603598421951441,0.0644308405412294,6.744547696005751,17577.9375
Skill subcat: Endocrinology,0.001808165929139,0.0019289935728252,6.682331623388952,609.5625
Skill subcat: Billing and Invoicing,0.0558208069985184,0.0594336072544379,6.472139064588213,17241.791666666668
Skill subcat: Solution Sales Engineering,0.0071362324374205,0.0075759222957186,6.161372435018846,2965.0625
Skill subcat: Market Analysis,0.0325138721914041,0.0343269759911219,5.576400709962636,9976.6875
Skill subcat: Appliance Repair and Maintenance,0.002829297584093,0.0029861817767445,5.54498733302362,798.6458333333334
Skill subcat: Pediatrics,0.0112244259171527,0.0118451884601918,5.530461402845334,3596.6458333333335
Skill subcat: Waste Management,0.0021386673407088,0.0022508906706541,5.247348561843511,609.2916666666666
Skill subcat: Business Communications,0.0190254140296924,0.0200218060117711,5.23716319930627,5444.583333333333
Skill subcat: Anesthesiology,0.0058232792438097,0.0061244793671994,5.172345525244798,1743.2291666666667
Skill subcat: Language Competency,0.0510816583320671,0.0534431560429995,4.622985603914787,16847.375
Skill subcat: Scheduling,0.0659191326295987,0.0686543709255483,4.149384536533534,20642.729166666668
Skill subcat: Micro Manufacturing,0.0001785956905495,0.0001849615816923,3.5644147533535326,36.979166666666664
Skill subcat: Financial Modeling,0.0102522369114463,0.0106105081148543,3.4945661761678783,3113.7291666666665
Skill subcat: Property Management,0.0056420955586741,0.0058306032142143,3.3410929251347152,1792.5208333333333
Skill subcat: Agricultural Research and Agronomy,0.0004826842745798,0.0004956745267232,2.6912524040085213,141.54166666666666
Skill subcat: Physics,0.0040079499832878,0.0041133416810442,2.6295661920896647,1205.25
Skill subcat: Audio Production and Technology,0.0016279861942555,0.0016698413300327,2.5709760884268973,502.3958333333333
Skill subcat: Genetic Disorders,0.0002168478347293,0.0002215841499605,2.1841653328531234,70.08333333333333
Skill subcat: Landscaping and Horticulture,0.0049339322787337,0.0050307811688403,1.9629148645602408,1365.375
Skill subcat: Legal Support,0.0046220127794752,0.0047112496776561,1.9306934540979992,1630.4583333333333
Skill subcat: Databases,0.0324307888402229,0.0330484306399471,1.9044920639061258,9957.625
Skill subcat: Data Science,0.0309872601066141,0.0315707781635364,1.883090195501836,8726.979166666666
Skill subcat: General Sales Practices,0.2172792227518085,0.2210294120321635,1.7259769401139344,73819.5
Skill subcat: Financial Regulation,0.0066022816728114,0.0067028403039738,1.523089079590567,2146.2708333333335
Skill subcat: Manufacturing Standards,0.0138397324397765,0.0140229117043691,1.3235751875240593,4269.0
Skill subcat: Labor Compliance,0.0055651127899581,0.0056374642985993,1.3000906068202838,1179.0625
Skill subcat: Litigation and Civil Justice,0.0158293760575368,0.0160270005738788,1.2484668733857414,4837.166666666667
Skill subcat: Sea and Waterway Transportation,0.0001398540396511,0.0001415449399333,1.2090464361403894,47.208333333333336
Skill subcat: Science Software,0.0004572454502877,0.0004619461431869,1.0280458550746339,125.875
Skill subcat: Oral and Dental Care,0.0067920052789282,0.0068464526709406,0.8016394242407295,1905.2291666666667
Skill subcat: Promotions and Campaigns,0.0152635509912034,0.0153840038525439,0.7891535947953356,4898.5
Skill subcat: Power Tools,0.0097142388195181,0.0097797007587637,0.6738761570703091,2842.4583333333335
Skill subcat: Food and Beverage,0.0948686013439389,0.0954434773307063,0.6059707623212692,25963.833333333332
"Skill subcat: Elements, Compounds, and Materials",0.004041264912705,0.0040550145016927,0.34022983607122503,1047.4791666666667
Skill subcat: JavaScript and jQuery,0.0146975127127476,0.0147358900461831,0.26111447688842454,4531.479166666667
Skill subcat: Plumbing,0.0116484629045095,0.0116425286821371,-0.05094425265417224,3614.7083333333335
Skill subcat: Health Care Administration,0.0342880308970397,0.034257365630847,-0.08943431684595955,10312.020833333334
Skill subcat: Retail Sales,0.0377119851414125,0.0375723764138194,-0.37019723854259606,13149.125
Skill subcat: Specialized Accounting,0.005908149859856,0.0058662925832647,-0.7084667380512345,1765.5416666666667
Skill subcat: Financial Accounting,0.0137209252747465,0.013593246024375,-0.9305440253835858,4494.416666666667
Skill subcat: Business Operations,0.2390330028808981,0.2368024103454584,-0.9331734566172536,70502.77083333333
Skill subcat: Geospatial Information and Technology,0.0027519394793066,0.0027250200081613,-0.9781999694296671,821.5625
Skill subcat: Advertising,0.00691390604265,0.0068257536545125,-1.2750012452253723,2221.0625
Skill subcat: Mathematical Software,0.0023848019532706,0.0023447263440461,-1.680458587747249,694.0208333333334
Skill subcat: Construction Estimating,0.0021105547555342,0.0020670305790935,-2.0622149852579343,669.0833333333334
Skill subcat: Public Relations,0.0185359924295142,0.0181447901555881,-2.11050082920407,5791.833333333333
Skill subcat: Construction Painting,0.0067505941393829,0.006590094549345,-2.37756242967632,1875.9166666666667
Skill subcat: Electrical and Computer Engineering,0.0188037170820009,0.0183558465238819,-2.381819276294603,4730.208333333333
Skill subcat: Eye Care,0.0043542618693113,0.0042410372194471,-2.6003178784951784,1223.5208333333333
Skill subcat: Administrative Support and Clerical Tasks,0.1020550205478047,0.0993937945361035,-2.6076385046188144,31653.333333333332
Skill subcat: General Networking,0.0181302988755102,0.0176531589765917,-2.631726604148841,5584.479166666667
Skill subcat: Hematology,0.0078722636306397,0.0076528491633213,-2.7871839360716364,2175.1458333333335
Skill subcat: Engineering Software,0.0081187462596475,0.0078773692878935,-2.973081853213135,2435.3958333333335
Skill subcat: Cash Register Operation,0.0478492693880934,0.0463990091143829,-3.0308932450938886,13874.166666666666
Skill subcat: Network Security,0.0118227613249639,0.0114332546359623,-3.29454920297809,3521.8333333333335
Skill subcat: Genetics,0.0028742439969918,0.00277214435382,-3.5522260211261885,697.1666666666666
Skill subcat: Cloud Solutions,0.0372452412180716,0.0358830700577136,-3.657302559493337,9531.291666666666
Skill subcat: Education Software and Technology,0.005909947062634,0.0056933414466521,-3.665102473614394,1543.2291666666667
Skill subcat: Customer Relationship Management (CRM),0.050354022520159,0.0484775119103515,-3.72663496557051,16617.208333333332
Skill subcat: IT Automation,0.0197369318028435,0.0189697647813196,-3.886961910733127,4894.8125
Skill subcat: Banking Services,0.017923961558947,0.0172270766442891,-3.888007192863231,5449.666666666667
Skill subcat: Business Analysis,0.059236223814672,0.0568755567492166,-3.9851748025685203,16219.979166666666
Skill subcat: Pharmacology and Drug Discovery,0.0048601407270175,0.0046622890258374,-4.070904780189659,1459.1666666666667
