,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Skill subcat: Military Technology and Weapons,0.0003398032630855,0.0006419563935382,88.9200202814631,185.54166666666666
Skill subcat: Water Energy,1.7644506365746302e-05,3.332498282633573e-05,88.86888720803383,10.145833333333334
Skill subcat: Insurance,0.0071694376843881,0.0128279883020986,78.9260032210385,2438.9375
Skill subcat: Web Services,0.0268692555754936,0.0475875925399564,77.1079679012737,6944.208333333333
Skill subcat: Events and Conferences,0.0094764609492489,0.0160834379973378,69.71987837519202,2356.125
Skill subcat: Recruitment,0.0164861943366738,0.0274209702883539,66.3268655480757,4450.270833333333
Skill subcat: Surgery,0.0150106437234724,0.0243740778798056,62.37863164849777,4601.770833333333
Skill subcat: Pediatrics,0.0112244259171527,0.0179601614599018,60.009621805742675,3596.6458333333335
Skill subcat: Heavy Equipment Operation,0.0257249410319576,0.0394474809904619,53.343329111841506,8361.0625
Skill subcat: Ground Freight Transportation,0.0102270237612421,0.0152031682786669,48.65681975124728,5430.9375
Skill subcat: Compensation and Benefits,0.015822634359298,0.0235188086248605,48.64028385412272,2562.375
Skill subcat: Graphic and Visual Design Software,0.0104118378565203,0.0153238982141121,47.1776493764324,3439.125
Skill subcat: Engineering Practices,0.0131926169603819,0.0194025094552061,47.070967901765236,3548.875
Skill subcat: Budget Management,0.0347536389406952,0.0504002998432427,45.021647745283595,10114.770833333334
Skill subcat: Agile Software Development,0.0492969225527692,0.0709688146507361,43.96195741178067,12606.625
Skill subcat: Process Improvement and Optimization,0.1113226506576871,0.1599070883882373,43.64290415608725,30835.625
Skill subcat: Business Intelligence Software,0.021232604663632,0.0304382874659916,43.35635193230645,5877.083333333333
Skill subcat: Log Management,0.0009451009151355,0.0013357131092319,41.33021012262989,439.3333333333333
Skill subcat: Video and Web Conferencing,0.008013476892881,0.011296770070153,40.972142568836844,1875.0208333333333
Skill subcat: Inventory and Warehousing,0.1051794968808717,0.1442032548414293,37.10205802254087,36140.666666666664
Skill subcat: Medical Support,0.0185925924918849,0.0253181669873045,36.173408836638096,5562.375
Skill subcat: Business Consulting,0.0376427537990453,0.0508087030275562,34.97605222720132,10623.375
Skill subcat: Mortgage Lending,0.0061235446653846,0.0082453591803533,34.65010269236661,2455.8541666666665
Skill subcat: Emergency Services,0.0111933266432229,0.0150483225526305,34.440126981746225,2561.8541666666665
Skill subcat: Operating Systems,0.0222687508522222,0.0296710759689594,33.24086369217483,7518.083333333333
Skill subcat: Cleaning and Janitorial Services,0.0476946948435938,0.0630437923521332,32.18198073994185,14267.4375
