,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill subcat: Ground Passenger Transportation,0.0025622148906775,0.0187264027654747,630.8677673215408,242.83333333333334
Skill subcat: Aerospace Engineering,0.0017505138347283,0.0095744013946052,446.94805631691895,306.23333333333335
Skill subcat: Electrical Power,0.0070844247281574,0.0377748431442105,433.20974664424756,1499.5833333333333
Skill subcat: Dictation,0.0070153967148139,0.0328003227509008,367.5476538858987,1579.7333333333333
Skill subcat: Transportation Security,0.0007397865030132,0.0031626293996738,327.50569073539435,157.75
Skill subcat: Geriatrics,0.0098446410668721,0.0410384734116717,316.861042803978,2123.6666666666665
Skill subcat: Wind Energy,0.0001264416761486,0.0004886583116532,286.4693402821602,26.783333333333335
Skill subcat: Orthopedics,0.0070693231657238,0.0272872638944026,285.9954235323003,1576.55
Skill subcat: Circuitry,0.0037584052306758,0.0137398054456439,265.5754130369104,958.6833333333333
Skill subcat: Law Enforcement and Criminal Justice,0.0083813499243047,0.0306264004334159,265.4113085602568,1600.4833333333333
Skill subcat: Endocrinology,0.0023598989251925,0.007580193866094,221.2084121558585,635.0166666666667
Skill subcat: Roads and Drainage,0.0021859762190903,0.0065143197251443,198.00505917009713,490.26666666666665
Skill subcat: Climate Change,0.000195313921177,0.0005628844147239,188.1947233109899,26.616666666666667
Skill subcat: Nuclear Medicine,0.0008792112085771,0.0024302466197193,176.4121517118018,172.48333333333332
Skill subcat: Neurology,0.0056498733767174,0.0154118238053254,172.7817559387452,1238.0666666666666
Skill subcat: Environmental Engineering and Restoration,0.0015491614224469,0.003661189562748,136.33363894158634,337.85
Skill subcat: Animal Care,0.0016023425863098,0.0037108058368353,131.5862954988482,488.2
Skill subcat: Environmental Regulations,0.0034507954788825,0.0079453437112623,130.2467289030791,910.65
Skill subcat: Military Operations,0.0029237596031021,0.006468649238916,121.24422377451218,514.1666666666666
Skill subcat: Mental and Behavioral Health Specialties,0.0355839887484899,0.0784339301387054,120.41916293612233,8361.333333333334
Skill subcat: Environment and Resource Management,0.0074637302961648,0.0159592049572636,113.82344114797604,1938.2166666666667
Skill subcat: Environmental Geology,0.0011204954090262,0.0022864288665062,104.05517488851555,267.25
Skill subcat: Energy Efficiency,0.0010633533963025,0.0021503756398517,102.2258684016999,230.81666666666666
"Skill subcat: Ear, Nose, and Throat",0.001417284257001,0.0027541152836802,94.32342312952517,431.06666666666666
Skill subcat: JavaScript and jQuery,0.0034657597741539,0.0066187584687805,90.97568498948677,2280.9333333333334
Skill subcat: Mobile Development,0.003006230978361,0.005691046927232,89.30837211765957,1652.7666666666667
Skill subcat: Hematology,0.010004343876876,0.0187534511813978,87.45308450206767,2319.3
Skill subcat: Architectural Design,0.0070738364168885,0.0130920368596529,85.07689587500481,2117.733333333333
Skill subcat: Solar Energy,0.000441374651356,0.0008111866371459,83.78641243980736,100.45
Skill subcat: First Aid,0.0219484395206339,0.0400298308026808,82.38121559871462,5240.683333333333
Skill subcat: Medical Imaging,0.0165847192701776,0.0302469080235951,82.37817312943396,3328.616666666667
Skill subcat: Supplier Management,0.0137472044992112,0.0249090855690377,81.19382431873301,4222.266666666666
"Skill subcat: Elements, Compounds, and Materials",0.0043939469155769,0.0078471739859291,78.59055051644407,1097.1833333333334
Skill subcat: Agricultural Research and Agronomy,0.0006552441525629,0.0011680705563526,78.26493403777022,150.15
Skill subcat: Instructional and Curriculum Design,0.0166194496842063,0.0295887198795719,78.03670062367036,4249.566666666667
Skill subcat: Water Energy,7.711781177544373e-05,0.0001328643641235,72.28751836266105,11.266666666666667
Skill subcat: Marine and Naval Engineering,2.9974694658292475e-05,5.097374360970207e-05,70.05592280687411,5.416666666666667
Skill subcat: Air Quality and Emissions,0.0010687185867302,0.0017964290202413,68.09186651628917,193.73333333333332
Skill subcat: Cryptocurrency,0.0004927136366662,0.0008189642174663,66.21504998472892,96.28333333333333
Skill subcat: Education Administration,0.0067603885671202,0.011073333872118,63.7972989596223,1417.5666666666666
Skill subcat: Child Care,0.0004518779716365,0.0007110726168172,57.359433619216446,165.81666666666666
Skill subcat: Automation Engineering,0.0114209505435507,0.0178131527864161,55.96909135093853,2823.85
Skill subcat: Intelligence Collection and Analysis,0.0019510257930915,0.0030387973191133,55.75382600648094,655.7333333333333
Skill subcat: Energy Management,0.0035694176368159,0.0055160289094614,54.53582266663465,867.9166666666666
Skill subcat: Conservation,0.0006171889376168,0.0009515159159697,54.16930829056382,141.21666666666667
Skill subcat: Social Skills,0.1265734111556023,0.1950142123621457,54.07202079938106,36332.433333333334
Skill subcat: Fundraising and Crowdsourcing,0.0068090366758888,0.0104776664816171,53.878837497220935,1761.5666666666666
Skill subcat: Procurement,0.0449220499962308,0.0673147789485327,49.84796765548495,13487.05
Skill subcat: Alternative Therapy,0.0049498576076144,0.0074056341715755,49.61307493337509,1133.4166666666667
Skill subcat: Health Care Administration,0.0394168265539332,0.0588660031465635,49.342319747680364,10713.166666666666
Skill subcat: General Science and Research,0.0998816738383245,0.1491147679738261,49.29141877937865,30784.766666666666
"Skill subcat: Policy Analysis, Research, and Development",0.0396665366515075,0.0582096526539713,46.74750449068782,9006.583333333334
Skill subcat: Nephrology,0.0037240573420346,0.0053513832526551,43.69765986824004,884.8333333333334
Skill subcat: Mortgage Lending,0.005264830667434,0.0075606489139919,43.60668731017036,2258.55
Skill subcat: HVAC,0.0151483732904197,0.0214921068353785,41.877325197490165,4311.616666666667
Skill subcat: Cannabis,0.0015584217632289,0.0021671705240814,39.06187498249712,285.25
Skill subcat: Labor Compliance,0.0061163430806803,0.0084939604546396,38.8731852120834,1374.15
Skill subcat: Image Analysis,0.0015677143613174,0.0021716389878231,38.522618750408256,409.71666666666664
Skill subcat: Computer-Aided Manufacturing,0.0032478531932836,0.0044779365068577,37.873735060373164,876.7833333333333
Skill subcat: Program Management,0.0212147533419957,0.0292306111307565,37.784355347148896,6140.05
Skill subcat: IT Automation,0.0130293807142735,0.0179067141299326,37.43334792816401,5015.983333333334
Skill subcat: Software Development Tools,0.0191289591328563,0.0262064833719915,36.9990033957399,7580.283333333334
Skill subcat: Social Studies,0.0151252075614791,0.0204865186004837,35.44619812463794,4023.8333333333335
Skill subcat: Document Management,0.0212971290294421,0.0288362158939071,35.399545422496296,6300.683333333333
Skill subcat: Clinical Informatics,0.0118456394961025,0.0157473257074313,32.93774230266378,3020.866666666667
Skill subcat: Criminal Investigation and Forensics,0.0036050782957113,0.0047707926019792,32.33533950301901,780.6666666666666
Skill subcat: Business Leadership,0.0198703483652845,0.0260988808817259,31.34586471228291,6422.05
Skill subcat: Scripting Languages,0.0302727191301568,0.0395390270363012,30.609433748928023,11872.25
"Skill subcat: Welding, Brazing, and Soldering",0.0064093477065635,0.0083513491388124,30.299517535305377,1797.7
Skill subcat: Health Care Procedure and Regulation,0.0582768165358019,0.0758943603577325,30.230793082369917,14665.55
Skill subcat: General Repairs and Maintenance,0.0158465365351944,0.0205842124202916,29.897232588175015,4445.716666666666
Skill subcat: Content Development and Management,0.0101186859675471,0.0130681253414231,29.148442627190075,3800.866666666667
Skill subcat: Neuroscience,0.000713632383554,0.0009147382551923,28.180597780156997,161.53333333333333
Skill subcat: Web Services,0.0179970475747787,0.0228924902971466,27.201365679715376,6976.95
Skill subcat: Real Estate Sales,0.0084419171324623,0.0107351435340922,27.16475849794349,3228.45
Skill subcat: Java,0.0138882867039457,0.0176520125086157,27.100000776918833,6888.083333333333
Skill subcat: Geological Engineering,0.0015649396464323,0.0019828552951873,26.704905183260628,358.43333333333334
Skill subcat: Biotechnology,0.0027782258699463,0.003512953129807,26.44591528027566,850.2833333333333
Skill subcat: Electrical Construction,0.0025871597561411,0.0032615253240792,26.065864944650947,652.8833333333333
Skill subcat: Databases,0.0236977593180182,0.0296902138729545,25.28700909870426,9603.916666666666
Skill subcat: Version Control,0.010534827339051,0.0131791791820446,25.101045872782297,4400.033333333334
Skill subcat: Hospitality Services,0.01077393100957,0.0134730552788468,25.052362660196064,2857.5666666666666
Skill subcat: Appliance Repair and Maintenance,0.002677103143667,0.0033310521089484,24.427484866557823,840.8666666666667
Skill subcat: Simulation and Simulation Software,0.0024334615055403,0.0030272394466248,24.400547932754886,626.4833333333333
Skill subcat: Mechanical Engineering,0.0192467106845581,0.0238561215294487,23.949083666482256,5236.15
Skill subcat: Virtualization and Virtual Machines,0.0055026600847652,0.0068057995564942,23.681991103482904,2284.2
Skill subcat: Cloud Solutions,0.0255206241052364,0.0314799977036915,23.35120635718439,9630.95
Skill subcat: Creative Design,0.0135471336857035,0.0167027216305546,23.293399312809903,4924.216666666666
Skill subcat: Blockchain,0.000558010674277,0.0006874767923865,23.201369450010237,201.45
Skill subcat: Eye Care,0.0043574478235206,0.0053675845647292,23.18184364150251,1171.9166666666667
Skill subcat: Microsoft Development Tools,0.0055776803791615,0.0068466918621185,22.751599171908314,2491.0666666666666
Skill subcat: Data Science,0.0248194544452335,0.030134808750664,21.416080346001703,8846.55
Skill subcat: Application Programming Interface (API),0.0142881027279041,0.0173477084036789,21.413659560268346,6079.35
Skill subcat: Genetic Disorders,0.0002034463483748,0.0002469432441991,21.38003270728047,68.41666666666667
Skill subcat: Augmented and Virtual Reality (AR/VR),0.0006187979946828,0.0007510247969459,21.368330763722064,194.96666666666667
Skill subcat: Configuration Management,0.0062328069850196,0.0075340447630973,20.87723526823778,2568.9666666666667
Skill subcat: Vehicle Repair and Maintenance,0.0226020059198789,0.0272802316531355,20.69827673632281,6234.25
Skill subcat: Surgery,0.0200887542284034,0.0242205573499677,20.567741904683974,4816.15
Skill subcat: Hotels and Accommodations,0.0029634012611052,0.0035659257128134,20.33219259289539,674.6166666666667
Skill subcat: Graphic and Visual Design Software,0.0085483194183487,0.0102809382777849,20.268532031187195,3374.3166666666666
Skill subcat: General Accounting,0.0851308650210085,0.1023566463948428,20.23447238505488,26160.85
Skill subcat: General Medical Tests and Procedures,0.0414853374640284,0.0498527615782743,20.169593947503067,9012.016666666666
Skill subcat: Video and Web Conferencing,0.0067144402870603,0.0079755318201428,18.78178193814317,1965.7166666666667
Skill subcat: Business Intelligence Software,0.0194660952831361,0.0230639420848201,18.48263223493461,6099.866666666667
Skill subcat: Logistics,0.0078196795629681,0.0092180631501673,17.882875838308884,2627.2166666666667
Skill subcat: Streaming Media Systems,0.0005201163503399,0.0006111645669685,17.505355593820358,200.15
Skill subcat: User Interface and User Experience (UI/UX) Design,0.0091477186872491,0.0106816229730788,16.768161967724158,3749.7833333333333
Skill subcat: Software Development,0.0607059191327223,0.0706726251750737,16.418013572220243,24128.466666666667
