,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
"Skill subcat: Ear, Nose, and Throat",0.001417284257001,0.0021974299813081,55.04511324763484,431.06666666666666
Skill subcat: Web Content,0.0007410928837484,0.0009438170077977,27.354752487155782,301.2
Skill subcat: Java,0.0138882867039457,0.0171643945729351,23.588999412423206,6888.083333333333
Skill subcat: Other Programming Languages,0.0136730809521308,0.0163736818127168,19.75122410260536,6026.433333333333
Skill subcat: Beauty and Body Treatments and Alterations,0.0051268527880777,0.0060246215085044,17.5111078382127,1223.35
Skill subcat: IT Automation,0.0130293807142735,0.0152922914396889,17.36775350294595,5015.983333333334
Skill subcat: Digital Design,0.0017528243917315,0.002049801140617,16.942755377344817,955.25
Skill subcat: Mobile Development,0.003006230978361,0.0034433109345422,14.539134195852643,1652.7666666666667
Skill subcat: Test Automation,0.0058300021132464,0.006650862354855,14.079930429930995,2459.05
Skill subcat: Biotechnology,0.0027782258699463,0.0031618468977878,13.808129568994158,850.2833333333333
Skill subcat: Application Programming Interface (API),0.0142881027279041,0.0162035360612887,13.405792006547063,6079.35
Skill subcat: Cloud Computing,0.0149082856662302,0.0166967316532554,11.9963222268831,5460.166666666667
Skill subcat: Internet of Things (IoT),0.002308318483522,0.0025672023576627,11.215258032578705,935.1166666666667
Skill subcat: Web Analytics and SEO,0.0059585129660734,0.0066074837797639,10.891489493865533,2796.0666666666666
Skill subcat: Web Services,0.0179970475747787,0.019886506964027,10.498718644808237,6976.95
Skill subcat: Graphic and Visual Design,0.0069197339993525,0.0075843601678189,9.604793602305975,2795.45
Skill subcat: E-Commerce,0.0031856739614216,0.0034898754125126,9.549045344089476,1355.7833333333333
Skill subcat: Software Development,0.0607059191327223,0.0664223869892088,9.416656461437462,24128.466666666667
Skill subcat: Cloud Solutions,0.0255206241052364,0.0278326849195512,9.05957787231544,9630.95
Skill subcat: Natural Language Processing (NLP),0.001068999247483,0.0011562394431956,8.160922088393471,406.78333333333336
Skill subcat: Operating Systems,0.0170771255664105,0.0183092785846265,7.2152249125553025,7343.033333333334
Skill subcat: Digital Marketing,0.0116904753481206,0.0124601669604418,6.583920579798651,4978.166666666667
Skill subcat: Virtualization and Virtual Machines,0.0055026600847652,0.0058524723832414,6.357148962275502,2284.2
Skill subcat: Animation and Game Design,0.0020931536640932,0.0022200106110575,6.060565410961216,927.6666666666666
Skill subcat: Artificial Intelligence and Machine Learning (AI/ML),0.0109470624116145,0.0116027916118482,5.99000147782104,3454.866666666667
Skill subcat: Data Science,0.0248194544452335,0.0262905310932698,5.92711113486548,8846.55
Skill subcat: Orthopedics,0.0070693231657238,0.0074839024162558,5.864482932993111,1576.55
Skill subcat: Promotions and Campaigns,0.0122646700931942,0.0129728006577531,5.773743273794609,4807.166666666667
