,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill cat: Business,0.2927010007555126,0.3222549736630895,10.096983895269542,5158.166666666667
Skill cat: Architecture and Construction,0.2208736481342257,0.2177624296857273,-1.4085964870774017,4237.930555555556
"Skill cat: Transportation, Supply Chain, and Logistics",0.6079987071000271,0.5834329084421683,-4.0404360027392725,13899.055555555555
Skill cat: Administration,0.136825165664107,0.1307724680170557,-4.423672807318286,2598.625
Skill cat: Physical and Inherent Abilities,0.4717511172646495,0.4392511089139839,-6.889227637469128,8472.930555555555
Skill cat: Media and Communications,0.3392997477520452,0.2444636919723322,-27.95052351439343,6214.694444444444
"Skill cat: Maintenance, Repair, and Facility Services",0.2582424517083257,0.1711004459130862,-33.74426056551803,4136.736111111111
Skill cat: Analysis,0.0965404062872635,0.061228271031429,-36.57757058817475,1781.5
Skill cat: Sales,0.1387737808818645,0.0821241986949314,-40.82153114726897,2587.5416666666665
Skill cat: Information Technology,0.1610923178034652,0.090487836742051,-43.82858352535011,2929.4166666666665
Skill cat: Engineering,0.0798988285765011,0.0447080376425556,-44.04418883344606,1378.888888888889
Skill cat: Hospitality and Food Services,0.0547456037792564,0.0296190605026628,-45.896915079990904,832.9861111111111
Skill cat: Customer and Client Support,0.2082380469318247,0.1104932679411999,-46.93896261072098,3885.277777777778
Skill cat: Manufacturing and Production,0.1603572712765235,0.0848998538695462,-47.05581281490935,2822.597222222222
Skill cat: Environment,0.0357902693622782,0.0177078991644787,-50.52314643057071,529.5
Skill cat: Marketing and Public Relations,0.0227093403204976,0.0111953543632538,-50.701543042407096,423.94444444444446
Skill cat: Science and Research,0.0333502362752393,0.0161575710468388,-51.551854345227234,451.5416666666667
"Skill cat: Law, Regulation, and Compliance",0.3551986763655616,0.1693727839808933,-52.316043034299184,6769.152777777777
Skill cat: Social and Human Services,0.0028965780727908,0.0013301452842611,-54.07873529265762,51.18055555555556
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0097701327740116,0.0043139076286606,-55.8459672100309,123.59722222222223
Skill cat: Human Resources,0.0278610832267576,0.0115956815020912,-58.38036372198629,390.3333333333333
Skill cat: Public Safety and National Security,0.0112377610515504,0.004664545567279,-58.49221614624505,250.15277777777777
Skill cat: Finance,0.0888164663304294,0.035728830627312,-59.772289865273606,1481.9583333333333
Skill cat: Health Care,0.0441397708493813,0.0167660266865267,-62.01605408478983,743.0694444444445
"Skill cat: Economics, Policy, and Social Studies",0.0162616453133172,0.0035556143525381,-78.13496553373791,170.38888888888889
Skill cat: Education and Training,0.0257403649534151,0.0054469369869228,-78.83892867571744,436.55555555555554
Skill cat: Energy and Utilities,0.0300835841914632,0.0038262186503676,-87.2813737019628,421.34722222222223
Skill cat: Design,0.0048603573941722,6.3824042327164384e-06,-99.86868446669436,98.48611111111111
"Skill cat: Performing Arts, Sports, and Recreation",0.0007551366707715,2.9130713292130304e-47,-100.0,15.583333333333334
Skill cat: Property and Real Estate,0.0007818336435478,5.494357345052125e-51,-100.0,10.027777777777779
Skill cat: Personal Care and Services,0.0003653516487179,-4.128436301129674e-06,-101.12998978261554,10.680555555555555
