,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Security Testing,0.0004191453544197,0.0054646395829811,1203.757640484124,123.625
Microsoft Teams,0.0036288943655563,0.040420831290028,1013.8607856344032,733.1875
Technology Strategies,0.0012417130541639,0.0087252451096106,602.6780527394625,346.3541666666667
Information Systems,0.0117526951445231,0.0739403415430325,529.1351952363846,3372.0416666666665
Team Foundation Server,0.0013032692156872,0.0079367564577434,508.98825524382795,615.2291666666666
Risk Awareness,0.0002859258627574,0.0014958903472154,423.17420074889156,183.77083333333334
Risk Mitigation,0.0047908778186042,0.0224488504711679,368.57489005445495,1322.8125
PTC Windchill,0.0002089779047453,0.0006413210019191,206.8845975371105,50.770833333333336
Algorithm Design,0.0002456265783708,0.0004760226905058,93.7993411230897,72.625
Account Management,0.0114186614321882,0.0205633265895048,80.08526403575286,4112.0625
Organizational Architecture,0.0012625977391165,0.0022493502930244,78.15256778444558,354.7916666666667
Team Effectiveness,0.0007244730787613,0.0011475150868382,58.393061174918316,220.14583333333334
Blogs,0.0018512994421119,0.0026597006060567,43.66668868125424,549.4791666666666
Solid-State Drives,0.0002988123203439,0.0004092031969655,36.94321455505996,56.395833333333336
Landscape Architecture,0.0002111965261479,0.0002809869502383,33.045251909837795,73.4375
Strategic Sourcing,0.0020682957808166,0.0017529784324954,-15.245273487755565,536.375
Strong Academic Record,0.0004750228165115,0.0003906649046864,-17.758707348967466,159.10416666666666
Human Capital,0.0012751790250911,0.0009889559432547,-22.445717519228484,328.7708333333333
Inventory Forecasting,0.0002246974386045,0.0001487564602764,-33.79699332566363,63.270833333333336
Articulate Storyline,0.0002793357629785,0.0001684459420575,-39.69768129172025,67.72916666666667
First Article Inspections,0.0002176440051078,0.0001267377190508,-41.76833908748083,73.66666666666667
Logo Design,0.0008617424380184,0.0002765285793775,-67.91053020280805,435.8958333333333
Hydraulics,0.0040147271284803,0.0012268121196842,-69.44220415426872,1185.625
Valves (Piping),0.0025253312456745,0.0007388344797172,-70.7430666379823,743.125
Raiser's Edge NXT,0.0005960345781143,0.0001537556131534,-74.20357496039186,186.25
Equipment Calibration,0.0003545709447736,9.02135345925267e-05,-74.55698614839136,95.97916666666667
Ecology,0.0004881053583225,0.0001193464957082,-75.54902979996675,96.3125
Brand Loyalty,0.0012336690667868,0.000273271960042,-77.84884395668922,330.875
Safety Culture,0.001259014257042,0.0002337174595224,-81.43647236596755,330.875
Medical Ventilators,0.0006808182922988,9.839079880411584e-05,-85.54815581233917,215.02083333333334
Furniture Assembly,0.0004473321160962,5.369888464934852e-05,-87.99574572960005,119.60416666666667
Financial Sales,0.0003234687482367,2.8050511319669552e-05,-91.32821594896598,118.375
Medical Records Filing,0.0004269124269094,1.565145968922758e-05,-96.33380086812296,107.04166666666667
Orthopedics,0.0025787993941506,6.356386003492398e-05,-97.535137468269,877.8541666666666
