,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Skill subcat: Agile Software Development,0.0468086405587617,5329.667097026231,11385975.377120981,12681.333333333334
Skill subcat: Insurance and Warranty Claims Processing,0.004484522645293,6.81080907443373,151773.66890838256,1298.7916666666667
Skill subcat: Student Support and Services,0.0093750269848098,12.252928896040464,130597.53202730704,1704.8125
Skill subcat: Construction Management,0.0141864604341264,9.768522280782568,68758.06594352308,4319.895833333333
Skill subcat: Forestry,0.0004946212653511,0.312453175241206,63070.18638885562,169.3125
Skill subcat: Logistics,0.0090108898509306,4.911524674523963,54406.54436772107,2617.6458333333335
Skill subcat: Hematology,0.0075070641938518,2.148510501492757,28519.849864243366,2112.9791666666665
Skill subcat: Energy Management,0.002759021092011,0.4275781680250325,15397.459198957362,805.1458333333334
Skill subcat: Geospatial Information and Technology,0.0027040936986009,0.4012871745963934,14739.987786074855,805.0208333333334
Skill subcat: Rail Transportation,0.0004800875494516,0.0671075399424439,13878.187940741282,135.41666666666666
Skill subcat: HVAC,0.0143724949166365,1.531339930644303,10554.65626898042,4188.3125
Skill subcat: Beauty and Body Treatments and Alterations,0.0043415260394714,0.4119768358214215,9389.21720325744,1038.8125
Skill subcat: General Networking,0.0178614333616584,1.2928755898163642,7138.36415386275,5683.520833333333
Skill subcat: Civil and Architectural Engineering,0.0072344120375347,0.5131454969757281,6993.119583365544,2020.5833333333333
Skill subcat: Critical Thinking and Problem Solving,0.3126452597933495,21.798319211991227,6872.221240903943,94904.33333333333
Skill subcat: Journalism,0.0041707664583568,0.2659045414964537,6275.43588573921,1303.8125
Skill subcat: Government Assistance,0.0024364122165867,0.1400158986060311,5646.80662216457,508.8125
"Skill subcat: Welding, Brazing, and Soldering",0.0058693437659444,0.3308716591429618,5537.2853991407555,1735.6041666666667
Skill subcat: Hospitality Services,0.0105858872874136,0.5743397520028098,5325.52302333398,2680.5416666666665
Skill subcat: Road and Bridge Construction,0.0007945387906714,0.0335267942824823,4119.654808061861,238.41666666666666
Skill subcat: Metal Fabrication,0.0034174707910001,0.1326576423424441,3781.749119606161,1085.75
Skill subcat: Mobile Development,0.0052006652130009,0.1999344711957604,3744.4018795125203,1750.4375
Skill subcat: Architectural Design,0.0075206285112937,0.2634683627816497,3403.275855016642,2031.6875
"Skill subcat: Elements, Compounds, and Materials",0.0038198268136782,0.1182312102893239,2995.198187152268,1025.9791666666667
Skill subcat: Chemistry,0.0089560340388952,0.2440166210270883,2624.6057793812247,2546.6041666666665
Skill subcat: Manufacturing Processes,0.0196239363100185,0.4632628891119293,2260.703183058244,5617.291666666667
Skill subcat: Training Programs,0.0102652140259198,0.210153671245752,1947.241009443264,2774.9583333333335
Skill subcat: Waste Management,0.0021572047230068,0.0406817468677694,1785.8547097498245,616.5208333333334
Skill subcat: Cleaning and Janitorial Services,0.0487814696077991,0.7911324333433413,1521.7888466747966,14827.979166666666
Skill subcat: Counseling Services,0.0099355635097825,0.156039856874001,1470.518438338852,2742.125
Skill subcat: Equipment Repair and Maintenance,0.0180551456864978,0.2693583549703589,1391.8647550531452,4912.916666666667
Skill subcat: Tax,0.0104214249846984,0.1495541192507845,1335.0640096759537,3651.1041666666665
"Skill subcat: Water Supply, Testing, and Treatment",0.0031122762266276,0.0428163876127239,1275.7258191416663,883.5416666666666
Skill subcat: Environmental Regulations,0.003301686022784,0.0427033308611263,1193.3795208400409,871.3125
Skill subcat: Plumbing,0.0123120924713121,0.140735632204384,1043.0683495295889,3507.0208333333335
Skill subcat: Optical Engineering,0.0008042768007631,0.0086376517468075,973.9650501683093,224.3125
Skill subcat: Electrical Construction,0.0020896564563376,0.0217529324840986,940.981277957215,614.8333333333334
"Skill subcat: Engineering, Scientific, and Technical Instruments",0.0094353444088937,0.0970644729594211,928.7326964761212,2819.0625
Skill subcat: Drafting and Engineering Design,0.0220619573141447,0.2248810797535007,919.3160858366882,6476.25
Skill subcat: Hand Tools,0.0120041703810321,0.1203128293150458,902.2585942728139,3781.9375
Skill subcat: Insulation,0.0004551446660586,0.0044716842702572,882.4753762315804,120.10416666666667
