,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
"Skill cat: Transportation, Supply Chain, and Logistics",0.2133794187460784,0.2353696368926169,10.30568846600283,23296.833333333332
Skill cat: Sales,0.2595250336231552,0.274678154392645,5.838789637339165,28575.0
Skill cat: Architecture and Construction,0.0701547387675819,0.0730644329733357,4.1475376530065,7240.916666666667
Skill cat: Finance,0.2463203804352119,0.2500985086266112,1.533826874058861,25241.333333333332
Skill cat: Health Care,0.2528852542447607,0.2566487507447002,1.4882229931433355,24600.145833333332
"Skill cat: Maintenance, Repair, and Facility Services",0.1247411536906963,0.1263894799871463,1.3213973477727645,12147.0625
Skill cat: Administration,0.2959242254297369,0.2976460404910498,0.5818432265261553,30776.75
Skill cat: Information Technology,0.350249943225612,0.3520388550261447,0.5107529166337024,36207.041666666664
Skill cat: Customer and Client Support,0.3613171948226155,0.3619561900653092,0.17685160071261954,34297.125
Skill cat: Manufacturing and Production,0.1219575894692408,0.1216154191658508,-0.280564993846742,12028.6875
Skill cat: Analysis,0.1594122883097938,0.1574925652728736,-1.2042503481221478,15980.5
"Skill cat: Law, Regulation, and Compliance",0.3303574038762552,0.3257321720777995,-1.4000690598077865,32457.0625
Skill cat: Media and Communications,0.5130097815931591,0.5036421846281498,-1.8260074760988227,52501.75
Skill cat: Business,0.528613340735732,0.515485054064155,-2.483532983353164,54187.333333333336
Skill cat: Marketing and Public Relations,0.1536647461319512,0.1475710201676144,-3.9655979121614178,15860.375
Skill cat: Property and Real Estate,0.016014429581136,0.0153680003652018,-4.036542248720823,1567.4166666666667
Skill cat: Environment,0.0193244717061813,0.0185348757812188,-4.085989707599262,1683.625
Skill cat: Energy and Utilities,0.0160902563243765,0.0154036735361314,-4.267071788066772,1560.6666666666667
Skill cat: Physical and Inherent Abilities,0.6676901351877813,0.637266170897381,-4.556599339578956,66944.6875
Skill cat: Human Resources,0.0953568474527025,0.0909976219616244,-4.571486586991341,8168.4375
Skill cat: Engineering,0.0923556146096223,0.0866475347830698,-6.180544464654331,8786.625
Skill cat: Hospitality and Food Services,0.1103657686103722,0.102267768128877,-7.337420455144773,9832.645833333334
"Skill cat: Performing Arts, Sports, and Recreation",0.0082002674702332,0.007506924998786,-8.455120201432685,773.875
Skill cat: Education and Training,0.1263071776558426,0.1152333092041701,-8.767410259016462,11922.958333333334
Skill cat: Science and Research,0.1371139963442596,0.1237567872879983,-9.741681675388293,13100.104166666666
Skill cat: Personal Care and Services,0.0077158177512981,0.006950904122749,-9.913578225981448,615.5416666666666
Skill cat: Public Safety and National Security,0.0417441743199546,0.037229768839202,-10.814456278740229,3850.0416666666665
"Skill cat: Economics, Policy, and Social Studies",0.0603387447677759,0.053448071085209,-11.41998181945423,5329.875
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0090848279959574,0.0077711230830896,-14.460426916749302,781.0833333333334
Skill cat: Design,0.051255745667117,0.0434594834288778,-15.210513741956683,4873.5625
Skill cat: Social and Human Services,0.0341111939262778,0.0115298838668047,-66.19911958601199,2731.7916666666665
