,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Skill cat: Human Resources,0.095887122440244,0.1324377242276003,38.11836340185755,24659.770833333332
Skill cat: Customer and Client Support,0.36293667006475,0.4338749722441477,19.5456419894804,105940.1875
"Skill cat: Transportation, Supply Chain, and Logistics",0.2166069309535808,0.2321106990609474,7.157558642797571,71411.58333333333
Skill cat: Sales,0.2632694786212897,0.2723731592754591,3.4579324203642057,87691.125
Skill cat: Information Technology,0.3484055324070972,0.3413055860904677,-2.0378397172905784,108767.22916666667
Skill cat: Administration,0.2979274098916702,0.2909614047994763,-2.3381551548838138,93349.64583333333
Skill cat: Marketing and Public Relations,0.1522460395718468,0.1485904666184825,-2.40109559739266,47948.125
Skill cat: Architecture and Construction,0.0712326180296085,0.0695134755603624,-2.413420307718461,22095.9375
Skill cat: Public Safety and National Security,0.0424567898715632,0.0412331695132087,-2.8820369181374677,11864.9375
Skill cat: Finance,0.2474089649969461,0.2392620953853616,-3.292875669111279,76336.79166666667
Skill cat: Engineering,0.0923176389338343,0.0888001981942273,-3.810150238057984,26350.416666666668
Skill cat: Media and Communications,0.5200549014262643,0.4994158630061615,-3.9686268437235626,160138.79166666666
Skill cat: Business,0.5336737912362421,0.5115273576383695,-4.149807234597551,164215.91666666666
Skill cat: Personal Care and Services,0.0072353641154025,0.0069283691476048,-4.242978831489286,1868.4166666666667
Skill cat: Property and Real Estate,0.0158432707072756,0.0151305923181573,-4.498303426646743,4773.083333333333
Skill cat: Science and Research,0.137828604238614,0.1314468998339201,-4.6301741499505145,39599.395833333336
Skill cat: Analysis,0.15862969765762,0.1502720227011711,-5.26866978873513,47999.25
"Skill cat: Law, Regulation, and Compliance",0.3360708537857948,0.3145991122423112,-6.389051981630432,99668.64583333333
Skill cat: Design,0.0494627083818093,0.0461077063775622,-6.782891827009122,14479.458333333334
Skill cat: Health Care,0.2593042004777219,0.2402327731859649,-7.354847031641329,75751.4375
Skill cat: Physical and Inherent Abilities,0.6800306258302887,0.6288969983792781,-7.5193124410505146,204630.66666666666
Skill cat: Education and Training,0.1308780307497347,0.1205407782528584,-7.898386335475367,36544.125
Skill cat: Energy and Utilities,0.0160792392820165,0.0147664443850343,-8.164533619761901,4726.333333333333
"Skill cat: Maintenance, Repair, and Facility Services",0.1274640190782616,0.1146771663446852,-10.031735093591717,37639.479166666664
Skill cat: Manufacturing and Production,0.1236541742138638,0.1108932103162737,-10.31988121607574,36398.979166666664
"Skill cat: Performing Arts, Sports, and Recreation",0.0083448597755846,0.0074617080421742,-10.58318242799389,2380.7291666666665
"Skill cat: Economics, Policy, and Social Studies",0.0619226681925086,0.0547407881990378,-11.598143625115405,16240.583333333334
Skill cat: Environment,0.0195210151756944,0.0169829967603548,-13.001467354524083,5110.729166666667
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0091144289584983,0.0074210637654342,-18.578949935039056,2382.75
Skill cat: Hospitality and Food Services,0.1143774289812188,0.0927349570486249,-18.92197798583816,30992.458333333332
Skill cat: Social and Human Services,0.0356723944243313,0.0257553482243575,-27.800337936411744,8481.6875
