,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Visual Impairment Education,0.0002439705047815,0.0387869654165616,15798.219111076238,103.75
School Psychology,0.0002708866396597,0.0334463045685679,12246.974590767803,108.29166666666667
School Counseling,0.0005870549968425,0.0362413964128629,6073.424399381451,105.93055555555556
Audiology,0.0006048872528885,0.035034816711614,5691.958178042815,109.90277777777777
Childbirth,0.0007709804608049,0.017147448287755,2124.109320468789,68.06944444444444
eClinicalWorks (ECW),0.0008556369873692,0.0142850854998025,1569.5264125647957,114.73611111111111
Certified Perioperative Nurse (CNOR),0.0017165557650119,0.0206045929208449,1100.3450945680206,380.22222222222223
Special Education,0.0035841128712215,0.0378837885043243,956.9920609507241,153.19444444444446
Cardiovascular Disease,0.0013071543526208,0.0123939172442582,848.1601938905545,51.05555555555556
Smartphone Operation,0.0012170927526944,0.0111604733925122,816.9780501777818,55.583333333333336
Medical Diagnosis,0.0018707050866113,0.0150296876694835,703.4236811056691,58.18055555555556
Nail Care,0.006100265944714,0.0377393149377809,518.6503224581995,142.33333333333334
Basic First Aid,0.0013392905446603,0.0079687507054937,494.99790670999676,65.73611111111111
Illness Prevention,0.0017450219861159,0.009713572913268,456.64472943911943,54.125
Travel Nursing,0.0037602495887101,0.0187020168876843,397.36105134711977,325.625
Patient Comfort,0.0039615775667892,0.0194332246913795,390.54257713625543,153.625
Mobility Assistance,0.0018466430978597,0.008638647665948,367.80277553147016,80.76388888888889
Analytics,0.0007066223469719,0.0032298255943907,357.079458105383,67.27777777777777
Transcribing,0.0294007473394359,0.1241617007096025,322.3079749509005,461.31944444444446
Clinical Pharmacy,0.0025889750034636,0.0099357313663066,283.7708495838822,65.06944444444444
Vaccination Administration,0.0046240955953971,0.0170876928682729,269.53589119745425,151.93055555555554
Podiatry,0.0067980023444991,0.0227218032526752,234.24235681621286,174.09722222222223
Nephrology,0.0056971564923635,0.0187237332603666,228.65049934057447,96.94444444444444
Memos,0.0008906483403068,0.0028255462513785,217.24600198605765,56.625
Non-Verbal Communication,0.0044583982522224,0.0136490165715075,206.14170828511803,101.125
Chronic Care,0.0009459085959188,0.0027579745505458,191.56882202416884,52.5
Verbal Communication Skills,0.031485889115424,0.0907786636447554,188.31538887776122,710.2916666666666
Nursing Home Care,0.0059566991679831,0.0159870553985092,168.38782600334534,97.43055555555556
Medical Privacy,0.0191390319719609,0.0507065822655355,164.9380717886973,425.93055555555554
Patient Registration,0.005999897165944,0.0158342465704685,163.90863264032626,176.11111111111111
High Acuity Medicine,0.0031877303146829,0.0083973397943508,163.42692026587346,65.36111111111111
Biological Hazards,0.0013305244935937,0.0034487233802049,159.20029257710388,71.625
Toileting,0.0233708226956975,0.05943669292734,154.32007123258919,760.5277777777778
Solution Delivery,0.0009540769859903,0.0023535902605502,146.68766725436225,54.013888888888886
Arithmetic,0.0014423842868228,0.0035476531285467,145.95755520612775,72.40277777777777
Urea Kinetic Modeling,0.0009976909370076,0.0023754587940991,138.09565728078817,56.916666666666664
Microsoft Access,0.0008696089474701,0.0020472137335319,135.4177402943856,42.875
Companionship,0.0218860072661156,0.0507880574650644,132.0572082770693,1147.263888888889
Spirometry,0.004388152179735,0.0101547752270567,131.41346997838042,73.83333333333333
MEDITECH EHR,0.0011529163071043,0.0026035145335829,125.81990709472805,91.38888888888889
