,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Security Testing,0.0004191453544197,4193.307272724132,1000442163.8847325,123.625
Hydraulics,0.0040147271284803,4193.307272724132,104448026.57321073,1185.625
Blogs,0.0018512994421119,102.31992587667888,5526824.685936045,549.4791666666666
Solid-State Drives,0.0002988123203439,0.0166750849384892,5480.454286255003,56.395833333333336
Articulate Storyline,0.0002793357629785,0.0053933068818366,1830.7613262007249,67.72916666666667
Instructional Strategies,0.000732259816364,0.0123369020788689,1584.7711431343014,182.75
Orthopedics,0.0025787993941506,0.0094345824932244,265.8517414974011,877.8541666666666
Team Effectiveness,0.0007244730787613,0.0016296900520153,124.94832448456677,220.14583333333334
Ecology,0.0004881053583225,0.0001357437422467,-72.18966357730258,96.3125
Information Systems,0.0117526951445231,0.0031419962584654,-73.26573845549284,3372.0416666666665
Human Capital,0.0012751790250911,0.0003165921421193,-75.17272979794485,328.7708333333333
Strong Academic Record,0.0004750228165115,0.0001047753918313,-77.94308227113055,159.10416666666666
Relational Databases,0.0064074724955709,0.0004781128413741,-92.53819908388853,2015.0208333333333
Raiser's Edge NXT,0.0005960345781143,4.30135696890981e-05,-92.78337679247034,186.25
Organizational Architecture,0.0012625977391165,7.539449052899297e-05,-94.02862145296173,354.7916666666667
Account Management,0.0114186614321882,0.0005872350513583,-94.85723388117161,4112.0625
Team Foundation Server,0.0013032692156872,4.545639668780754e-05,-96.5121253428948,615.2291666666666
Strategic Sourcing,0.0020682957808166,5.814563130309831e-05,-97.18871779160419,536.375
Risk Mitigation,0.0047908778186042,8.194311020187121e-05,-98.28960133602938,1322.8125
Technical Sales,0.0016142405298114,6.8005218878525165e-06,-99.57871694073701,591.6875
Medical Ventilators,0.0006808182922988,1.3095601735502489e-06,-99.80764909104771,215.02083333333334
Risk Awareness,0.0002859258627574,-6.89042048023346e-20,-100.00000000000003,183.77083333333334
Logo Design,0.0008617424380184,-2.615444529789336e-07,-100.03035065251984,435.8958333333333
Technology Strategies,0.0012417130541639,-9.517489419427644e-06,-100.76648057999489,346.3541666666667
Equipment Calibration,0.0003545709447736,-2.148620563176413e-05,-106.05977617412603,95.97916666666667
Valves (Piping),0.0025253312456745,-0.0004289901200255,-116.98747919744366,743.125
PTC Windchill,0.0002089779047453,-0.0003441646416402,-264.6894881349605,50.770833333333336
Financial Sales,0.0003234687482367,-94.6481600048023,-29260472.2989471,118.375
