,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill subcat: Wind Energy,0.0,6.62951895661179e-05,inf,0.20833333333333334
Skill subcat: Content Management Systems,0.0,0.0009358648623208,inf,0.7916666666666666
Skill subcat: Industry Specific Marketing,0.0,2.6550769879447053e-05,inf,0.09722222222222222
Skill subcat: Animal Health and Veterinary Medicine,0.0,2.799250267083475e-05,inf,0.16666666666666666
Skill subcat: Journalism,0.0,0.0001917490677557,inf,0.2638888888888889
Skill subcat: Hotels and Accommodations,0.0,9.775214805692913e-05,inf,0.06944444444444445
Skill subcat: Commercial Lending,0.0,2.1828553892460755e-06,inf,0.06944444444444445
Skill subcat: Religious Studies and Services,0.0,7.258235583283873e-05,inf,0.041666666666666664
Skill subcat: Dance,0.0,4.2494702695917753e-05,inf,0.041666666666666664
Skill subcat: Military Technology and Weapons,0.0,0.0009034027084241,inf,1.9861111111111112
Skill subcat: Hepatology,0.0,0.0018403719720282,inf,0.125
Skill subcat: Streaming Media Systems,0.0,0.0031993567048946,inf,1.0555555555555556
Skill subcat: Gastroenterology,0.0,6.1517543357661e-05,inf,0.027777777777777776
Skill subcat: Real Estate Development,0.0,0.0004687750515547,inf,0.25
Skill subcat: Online Advertising,0.0,5.787451079560576e-06,inf,0.2777777777777778
Skill subcat: Social Media,0.0012672917306036,44.72484008188923,3529066.884138602,1.25
Skill subcat: Cash Management,0.0008078733612525,0.5638094857317774,69689.33986109727,0.5
Skill subcat: Computer-Aided Manufacturing,0.023480489736794,7.842950209331815,33301.98734033169,39.791666666666664
Skill subcat: Insurance and Warranty Claims Processing,0.0006566553546888,0.0469276929347309,7046.472285598085,0.6805555555555556
Skill subcat: Sea and Waterway Transportation,3.8705681994116735e-05,0.0023173172298871,5887.020795136312,0.9861111111111112
Skill subcat: Image Analysis,0.0006965329194012,0.0201175951884895,2788.247579997271,4.222222222222222
Skill subcat: Patient Education and Support,0.001110076667208,0.026372265469967,2275.715682439933,2.2916666666666665
Skill subcat: Green Architecture,0.000105827289054,0.0024018720619839,2169.615033565027,0.1527777777777778
Skill subcat: Neuroscience,0.0005652456584051,0.0127240249638259,2151.061069576027,0.3611111111111111
Skill subcat: Mental and Behavioral Health Specialties,0.0055713716138369,0.1042516426758155,1771.2024596761612,5.013888888888889
Skill subcat: People Management,0.0431890522034395,0.8025476284076069,1758.2200522189125,78.54166666666667
Skill subcat: iOS Development,0.00161178721023,0.027902969899808,1631.1819899492984,4.25
Skill subcat: Pricing Analysis,0.0006919209728425,0.0112593646616019,1527.2616532126476,1.0833333333333333
Skill subcat: Photo/Video Production and Technology,0.0025834306000299,0.0359960204481173,1293.341878341949,8.375
Skill subcat: Livestock Farming,1.9352840997058367e-05,0.0002514950531573,1199.5252386744005,0.2777777777777778
Skill subcat: Cybersecurity,0.0096026898558992,0.1100068845439629,1045.5840623279385,25.97222222222222
Skill subcat: Physics,0.0416111978239694,0.4731556381424907,1037.0872815152118,32.93055555555556
Skill subcat: Basic Electrical Systems,0.2624053431360292,2.7752695140479773,957.6269068611518,411.7638888888889
Skill subcat: Architectural Design,0.0220065730556624,0.2315954036548473,952.391951573108,22.26388888888889
Skill subcat: Robotics,0.0324895967689315,0.3327269760354382,924.1031256922577,54.18055555555556
Skill subcat: Carpentry,0.0163596046511255,0.150981895578928,822.8945246457456,25.27777777777778
Skill subcat: Auditing,0.0547133617699779,0.4446733600593441,712.7326592155109,69.25
Skill subcat: Geriatrics,0.0014149527496529,0.0110766363560499,682.8272964427324,1.2083333333333333
Skill subcat: Nutrition and Diet,0.0007397175507028,0.0055057239895233,644.3008462206086,0.4444444444444444
Skill subcat: Biotechnology,0.0007862675564298,0.0058288454943972,641.3310452314987,2.7777777777777777
"Skill subcat: Water Supply, Testing, and Treatment",0.0225964067981511,0.1587851731093995,602.7009848415001,30.333333333333332
Skill subcat: Merchandising,0.0088517126897646,0.0573859828829537,548.3037226152875,9.666666666666666
Skill subcat: Alternative Therapy,0.0002638976115011,0.0016265877947792,516.3707907498132,0.6527777777777778
Skill subcat: Chemistry,0.0442133940591963,0.2668551044201677,503.56168102109854,42.77777777777778
Skill subcat: Transportation Operations,0.009837828365499,0.058700112822212,496.67754550457215,24.930555555555557
Skill subcat: Business Analysis,0.0724453830591696,0.4003942181676754,452.6842446821688,100.90277777777777
Skill subcat: Financial Modeling,0.0008800526784712,0.0048237931860978,448.12550476836714,0.6944444444444444
Skill subcat: Integrated Development Environments (IDEs),0.0012725847707299,0.0068512699595087,438.3743477913149,1.9722222222222223
Skill subcat: Engineering Software,0.0358792097285848,0.1917465320729692,434.4223953745716,54.111111111111114
Skill subcat: Health Care Procedure and Regulation,0.0016143324535765,0.0085110377429413,427.21716174914144,5.638888888888889
Skill subcat: Underwriting,0.0001124854432027,0.0005135923763899,356.585636120401,0.7777777777777778
Skill subcat: Counseling Services,0.0033879543208114,0.0150092653720917,343.01852831643396,5.041666666666667
Skill subcat: Document Management,0.0488068555870165,0.2130825932200246,336.583325553774,54.083333333333336
Skill subcat: Blockchain,0.0001318382841998,0.0005729703125059,334.60085663551826,0.7638888888888888
Skill subcat: Accounting and Finance Software,0.0010561891061298,0.004406746570276,317.23082965925175,2.611111111111111
Skill subcat: Coaching and Athletic Training,0.0004015387907981,0.0015858583786645,294.94524937738686,0.5
Skill subcat: Aerospace Engineering,0.0078387964793264,0.0302031927407195,285.3039534879582,8.819444444444445
"Skill subcat: Engineering, Other",0.0419581239580205,0.1509888455497356,259.8560452817227,56.80555555555556
Skill subcat: Intelligence Collection and Analysis,0.0002284235447468,0.0008210425219778,259.4386572049298,1.6388888888888888
Skill subcat: Higher Education,0.0007866397321722,0.0027033296158372,243.6553615684168,1.3194444444444444
Skill subcat: Forestry,0.0017129037618104,0.005882651373303,243.43151696307302,1.5833333333333333
Skill subcat: Construction Inspection,0.0321413059260934,0.108865050302641,238.7076136637643,43.75
Skill subcat: Drafting and Engineering Design,0.277404427982779,0.8987959615327678,224.0020240731573,397.69444444444446
Skill subcat: Automation Engineering,0.216823837586485,0.6999855079816608,222.8360478134495,312.25
Skill subcat: Industrial Design,0.008567796727812,0.0267112803984495,211.76370363388494,9.430555555555555
Skill subcat: Home Health Care and Assisted Living,0.0016029640639562,0.0048848412725628,204.73804013464613,1.4722222222222223
Skill subcat: Pathology,5.988461791015824e-05,0.0001804940492234,201.40302388534192,0.4861111111111111
Skill subcat: Mortgage Lending,0.000105827289054,0.000297232744497,180.86587793563572,0.4166666666666667
Skill subcat: Interior Design,0.0011027381814262,0.0030793812640444,179.2486299931826,3.1805555555555554
Skill subcat: General Medical Tests and Procedures,0.0080054018713289,0.0217201746747992,171.31897965784,17.65277777777778
Skill subcat: Endocrinology,6.87077641839714e-05,0.0001813528589418,163.94813031058752,0.3194444444444444
Skill subcat: Air Transportation,0.0095211052082068,0.0248587299873943,161.09080242036507,10.097222222222221
Skill subcat: Public Relations,0.0010142223047335,0.0026153989709205,157.87235783655237,3.8333333333333335
Skill subcat: Medical Science and Research,0.0015649870383012,0.0036703237039759,134.52741870373902,4.986111111111111
Skill subcat: General Construction and Construction Labor,0.0499593068350099,0.1163161153868408,132.82171582358734,76.15277777777777
Skill subcat: Energy Management,0.0176136439822509,0.0407693596764848,131.46465159377405,23.09722222222222
Skill subcat: Education Administration,0.0008816388355953,0.0019224235387012,118.05114079430739,0.8055555555555556
Skill subcat: General Finance,0.0209613586326174,0.0454344859611341,116.75353567222848,32.861111111111114
Skill subcat: Business Management,0.2180707250084914,0.4639726844804236,112.76248082467608,332.59722222222223
Skill subcat: Childhood Education and Development,0.0027846182520579,0.0058883037367378,111.45820373712631,11.36111111111111
"Skill subcat: Language Interpretation, Translation, and Studies",0.0015840579169898,0.003232555793269,104.06803050559262,3.9722222222222223
Skill subcat: Textiles,0.0012073928258276,0.0024238770497882,100.75297765056443,2.5555555555555554
Skill subcat: Graphic and Visual Design Software,0.0043592206347846,0.008749565263104,100.71398068926459,9.76388888888889
Skill subcat: Physical Abilities,0.1691637155320682,0.3301945564982729,95.19230554833625,297.77777777777777
Skill subcat: Sports and Recreation,0.0002796045628527,0.0005417501791327,93.75584346887155,1.0694444444444444
Skill subcat: Identity and Access Management,0.0095255030696041,0.0178382036499504,87.26783792524454,15.76388888888889
Skill subcat: Manufacturing Design,0.0064601674904377,0.0119948598465809,85.67413096232592,15.61111111111111
Skill subcat: Insulation,0.0005137678417564,0.0009511421085449,85.13072077327068,0.8472222222222222
Skill subcat: Real Estate Sales,0.0019771821265351,0.0035338129230734,78.72976270861842,4.055555555555555
Skill subcat: Construction Painting,0.0068035377938366,0.012154509725628,78.64984503560639,13.527777777777779
Skill subcat: Business Continuity,0.0053491129469108,0.0095383190524634,78.31590297550053,7.972222222222222
Skill subcat: Network Protocols,0.012700494108743,0.0212891472582714,67.62455913912817,30.59722222222222
Skill subcat: Mobile Development,0.0016247496466708,0.0027017694715781,66.28835569308613,4.430555555555555
Skill subcat: Art and Illustration,0.0012212601573286,0.0020145500232404,64.95666473284875,3.8055555555555554
Skill subcat: Client Support,0.0058585108232937,0.009617872290434,64.16923311284006,11.291666666666666
Skill subcat: Supply Chain Management,0.0150813807771153,0.0236759188228906,56.98773986806815,27.01388888888889
Skill subcat: Surveying and Cartography,0.0097599315508028,0.015280922519468,56.56792714095492,14.88888888888889
Skill subcat: Food and Beverage,0.0453375491536445,0.0703639426176494,55.2001463052026,88.47222222222223
Skill subcat: Beauty and Body Treatments and Alterations,0.0011473166689782,0.0017784284185378,55.00763360491118,1.6527777777777777
Skill subcat: Scripting Languages,0.0175652923400369,0.0269556846796104,53.45992630119682,34.05555555555556
Skill subcat: Pharmacy,0.0184600754405679,0.0282827655564021,53.210454894717465,34.97222222222222
Skill subcat: Human Resources Management and Planning,0.0058289736061019,0.0089155817921509,52.952859193218316,13.01388888888889
Skill subcat: Biology,0.0062797910999365,0.0095346296426563,51.83036331817969,13.055555555555555
Skill subcat: Ecology,0.0011468161266392,0.0017405088800222,51.76878311982283,2.8472222222222223
Skill subcat: Microsoft Development Tools,0.0027013725037782,0.0040001100308284,48.07695070686314,3.5416666666666665
Skill subcat: Media Production,0.0051086375034386,0.0072768092070907,42.44129089591332,13.319444444444445
Skill subcat: Graphic and Visual Design,0.0026299601816538,0.0037279261451048,41.748387337201635,4.972222222222222
Skill subcat: Surgery,0.0021635855483084,0.003052954567161,41.10625621196044,4.319444444444445
Skill subcat: Digital Marketing,0.0019362812604688,0.0027018683012748,39.53904096663317,3.111111111111111
Skill subcat: Enterprise Information Management,0.0009750669991907,0.0013495199471612,38.40279163188721,2.986111111111111
Skill subcat: Vehicle Repair and Maintenance,0.0645841815787772,0.0880068129456201,36.26682384799274,122.08333333333333
Skill subcat: Firmware,0.0092391488076693,0.0124772599831973,35.04772185117405,7.819444444444445
Skill subcat: Training Programs,0.0272686720466505,0.0367243909092965,34.6761252123661,39.90277777777778
Skill subcat: Computer Science,0.1586432909445692,0.2115669191041189,33.36014264734429,278.4166666666667
Skill subcat: Configuration Management,0.005838398596067,0.0077826688063177,33.301429805776614,12.472222222222221
Skill subcat: Electrical and Computer Engineering,0.1740501184346755,0.2278613408237814,30.917084615085933,262.40277777777777
Skill subcat: General Shipping and Receiving,0.1488399349031559,0.1941526802397882,30.443943264363483,234.13888888888889
Skill subcat: Data Visualization,0.0009328476654986,0.0012070983595995,29.399301112504254,3.7777777777777777
Skill subcat: Process Improvement and Optimization,0.0910191903610885,0.1170982232678149,28.65223564752275,131.5
Skill subcat: Budget Management,0.005138305882501,0.0064425734477462,25.383221533910817,13.027777777777779
Skill subcat: Risk Management,0.0088595204034814,0.0110701830706199,24.95239659101419,18.5
Skill subcat: Business Consulting,0.0102444913980707,0.0127521250622187,24.477873685561907,19.416666666666668
Skill subcat: Data Analysis,0.0235286210469271,0.0289839939180124,23.186113883192416,52.65277777777778
Skill subcat: Property Law,0.0012738887944186,0.0015404254759222,20.923072930023437,3.0277777777777777
Skill subcat: Investment Management,0.0020465576278512,0.0024743339171185,20.90223521907113,5.333333333333333
Skill subcat: Sales Analysis,0.0002692230712523,0.0003200943578835,18.895589592144002,0.7361111111111112
Skill subcat: Air Quality and Emissions,0.0006336225120564,0.0007507236202419,18.481210177563344,2.2777777777777777
Skill subcat: Manufacturing Standards,0.094965785244543,0.1114565459825801,17.36494959271104,166.80555555555554
Skill subcat: Electronics Manufacturing,0.0053248440174207,0.0062312851123925,17.02286662306535,12.0
Skill subcat: Mathematics and Mathematical Modeling,0.0722941537331251,0.0833103458352826,15.238012388697333,147.11111111111111
Skill subcat: Video and Web Conferencing,0.0019150818403554,0.0021974098733151,14.742348186399473,5.125
Skill subcat: Chemical and Biomedical Engineering,0.0044744059183954,0.0050856115566754,13.660040001448689,9.23611111111111
Skill subcat: Metal Fabrication,0.0325411142413204,0.0366962904037184,12.769003948616481,50.97222222222222
Skill subcat: Compensation and Benefits,0.0044142072140393,0.0049563101349106,12.280867086328717,5.611111111111111
Skill subcat: Groundskeeping and Yard Care,0.0179176094319311,0.0200264931092517,11.769894222397463,37.69444444444444
Skill subcat: Virtualization and Virtual Machines,0.0060029787839653,0.0066900269487422,11.445120655966521,11.333333333333334
Skill subcat: Product Development,0.0385621284787388,0.0429228945813854,11.308416507794446,69.36111111111111
Skill subcat: Language Competency,0.0945773142589167,0.1045982667331485,10.59551389543399,173.55555555555554
Skill subcat: Data Science,0.0237076861935829,0.0261532864509125,10.315642941113193,36.361111111111114
Skill subcat: Blood Collection,0.0010360354565995,0.0011426961241714,10.295078888707557,2.0416666666666665
Skill subcat: Automotive Technologies,0.0353643410448426,0.0388672795615158,9.905284286879281,69.55555555555556
Skill subcat: Operating Systems,0.0266910252125525,0.0292881982298199,9.730510523986835,49.263888888888886
Skill subcat: Telecommunications Equipment and Installation,0.0073379648294902,0.0080467629019551,9.659327741887566,13.194444444444445
Skill subcat: Financial Reporting,0.0027579645130919,0.0029748529890171,7.864077833331169,4.402777777777778
Skill subcat: Materials Science and Engineering,0.0202082805602344,0.0217120941464123,7.441571199961894,37.93055555555556
Skill subcat: Production and Assembly,0.0766280135133699,0.0820865909234248,7.123475031885692,120.72222222222223
Skill subcat: Cash Register Operation,0.0033881224460351,0.0036286278377365,7.0984858290127075,8.319444444444445
Skill subcat: Dictation,0.0008429331536011,0.0008945497718007,6.123453322376553,1.9444444444444444
Skill subcat: Hand Tools,0.1247079119263575,0.1322816700477782,6.073197766227653,206.94444444444446
Skill subcat: Emergency Services,0.0062521131032954,0.0066093954386733,5.714585284606912,9.875
Skill subcat: Inventory and Warehousing,0.142414041032687,0.1496559100919725,5.085080801564585,247.91666666666666
Skill subcat: Events and Conferences,0.0008005626872681,0.000836482457773,4.486815470687918,1.2361111111111112
Skill subcat: Customer Relationship Management (CRM),0.0119120172690122,0.0124262262752533,4.316724821905334,16.97222222222222
Skill subcat: Cost Accounting,0.007003065603906,0.0072092645756446,2.944410111246009,12.958333333333334
Skill subcat: Machinery,0.4629875654617728,0.4753312523715284,2.6660946925095765,835.2777777777778
Skill subcat: Web Design and Development,0.0069006542442918,0.0070678988634658,2.423605259057053,13.277777777777779
Skill subcat: Billing and Invoicing,0.0069562210769248,0.0071220477888371,2.383862014713432,13.708333333333334
Skill subcat: General Sales Practices,0.0508174153525835,0.0519209575552713,2.171582704533778,87.08333333333333
Skill subcat: Writing and Editing,0.1109288196415602,0.1126342124493627,1.5373757814362925,198.125
Skill subcat: Mechanical Engineering,0.1929317489125847,0.1955523688325194,1.3583144996638563,347.375
Skill subcat: Software Development,0.0599733082380439,0.0607162597745213,1.2388036583349817,107.79166666666667
Skill subcat: Hazardous Materials Management,0.0071238216489406,0.0072112439509333,1.227182631750767,15.972222222222221
"Skill subcat: Engineering, Scientific, and Technical Instruments",0.151714671596131,0.1534839326408242,1.1661766301699639,252.70833333333334
Skill subcat: Medical Equipment and Technology,0.022115708774171,0.0222493640106373,0.6043452544573096,36.875
Skill subcat: Food Science and Processing,0.0211485177445685,0.0212172321590306,0.32491361944147934,38.81944444444444
Skill subcat: Product Inspection,0.0135222702573241,0.0135165701443108,-0.042153520857295276,24.27777777777778
Skill subcat: Economics,0.0032185088206049,0.003216706384394,-0.056002214421817534,6.263888888888889
Skill subcat: Business Operations,0.3295449812618833,0.3284277159417239,-0.3390327219917705,507.8611111111111
Skill subcat: Plumbing,0.0615067148407428,0.0610334802496199,-0.7694031332159855,107.72222222222223
"Skill subcat: Welding, Brazing, and Soldering",0.1242983790456143,0.1228599614585088,-1.1572295617609287,192.40277777777777
"Skill subcat: Elements, Compounds, and Materials",0.0241381289415321,0.023764039140769,-1.5497878964406382,42.27777777777778
Skill subcat: Extensible Languages and XML,0.0025782100075852,0.0025377184730634,-1.570528948482553,4.805555555555555
Skill subcat: Radio Frequency (RF),0.0044500786200801,0.0043764676555765,-1.654149753027833,13.36111111111111
Skill subcat: Office and Productivity Equipment and Technology,0.1780105661165267,0.1744070813838483,-2.024309461675168,309.5416666666667
Skill subcat: Web Analytics and SEO,0.0004260183219841,0.0004161436873721,-2.317889654607046,1.0694444444444444
Skill subcat: Facility Management and Maintenance,0.0515780097194257,0.0501768042757758,-2.716672185049755,82.125
Skill subcat: Procurement,0.0294807811892776,0.0286734992591225,-2.7383328988877578,50.30555555555556
Skill subcat: General Repairs and Maintenance,0.160672711884166,0.1552040493937702,-3.403603777060988,279.4583333333333
