,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Environmental Health,0.0004847281284004,3781966897.977134,780224351835557.4,96.02083333333333
Category Management,0.0027329946654702,294537277.43115616,10777089364634.72,738.0208333333334
Color Theory,0.0001943720923997,1423820.9017167117,732523318519.638,71.375
Data Wrangling,0.000377867208976,1423820.9017167117,376804567191.03076,70.25
Machine Learning Algorithms,0.0004887675547143,1423820.9017167117,291308391380.48193,163.58333333333334
Internal Control System,0.0001931414926263,56302.41155549683,29150862715.600998,63.604166666666664
Big Data,0.0056412074487444,174603.84020100563,3095150039.17576,1898.4166666666667
Commodity Market,0.0003282703301091,7981.898207465376,2431501462.9991927,60.708333333333336
Mortgage Loan Processing,0.0001532992871052,2776.636932136815,1811252244.7231545,124.83333333333333
Peer-To-Peer,0.0005372887423112,5640.000327510961,1049714863.9223684,137.02083333333334
Institutional Investing,0.0001753160827796,540.9099926971937,308534053.9242598,54.3125
Lending Products,0.0006215609895025,1690.6671048461012,272003312.92321426,218.70833333333334
Maintainability,0.0006940706916763,1506.8979581549916,217110055.52545148,112.0625
Medical Social Work,0.0002857853072984,271.6797475967163,95064181.00344728,81.75
Biomarkers,0.0002237959458929,194.6661973287558,86983690.7706851,59.75
Release Engineering,0.000203728468625,133.06657789271344,65315552.14758824,72.14583333333333
Real Estate Finance,0.0003005518817529,147.8457382736776,49191319.934355825,104.45833333333333
Licensed Master Social Worker,0.0004289995176457,194.6661973287558,45376686.99432146,95.08333333333333
Interactive Voice Response,0.0002596781427513,114.80113897701584,44208911.109172806,120.29166666666667
Salesforce Service Cloud,0.0003381954454952,133.06657789271344,39345958.51887561,55.5
Cash Flow Analysis,0.0003385571076159,133.06657789271344,39303927.26729347,122.375
Artwork,0.0002454711353215,89.82151323385001,36591376.678595394,75.89583333333333
Chiropractics,0.0003177557829638,89.82151323385001,28267367.674721386,129.8125
Mainframe Computing,0.0003220595175926,89.82151323385001,27889624.826413225,128.45833333333334
Drug Development,0.0007636700818366,194.6661973287558,25490776.486949753,283.0625
Fluoroscopy,0.0004086886524725,89.82151323385001,21977880.717214543,82.91666666666667
Patient Needs Assessment,0.0001955955345332,41.87048419698535,21406566.720133293,50.125
Orthopedic Surgery,0.0004337232529161,89.82151323385001,20709306.892515674,151.375
Electronic Benefits Transfer (EBT),0.0003564949688153,55.86102459362374,15669412.750561519,50.916666666666664
Small Animal Care,0.000584330646012,76.34227164629117,13064809.767666608,147.1875
Procurement Management,0.0007258020726655,51.41189014877179,7083358.712092429,164.75
Transport Engineering,0.0001561411587457,10.720469184412012,6865782.942416198,73.16666666666667
Solid-State Drives,0.0002988123203439,19.755866103610757,6611363.035016072,56.395833333333336
Art Education,0.0002292338895983,10.720469184412012,4676551.084705722,64.70833333333333
Certified Medical Assistant,0.0021316626999022,89.82151323385001,4213583.207853241,691.0833333333334
Insecticides,0.000280014997612,10.720469184411924,3828433.927052948,15.104166666666666
Detergents,0.0002980849820248,10.720469184412012,3596347.26533727,20.354166666666668
Spotfire (Data Analytics Software),0.0004444126124855,10.720469184412012,2412178.338469026,122.47916666666667
Surveying,0.0009096333794939,20.21007932466977,2221682.9490727587,235.41666666666666
Project Cost Management,0.0001416780224541,2.9044255627387683,2049918.4237676854,50.291666666666664
