,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Language Assessment,3.3430027814186227e-05,0.0007933278949097,2273.099715379377,191.72916666666666
Life Annuities,1.0402802072569069e-05,0.0002422832913701,2229.019524546869,57.291666666666664
Registered Representative (Securities),2.025075675507194e-05,0.0002452594827275,1111.112679362331,59.0625
CNOR Certification,0.0001241341704901,0.0013826950510713,1013.8714228420877,622.9375
Microsoft Lync Servers,4.904048280936311e-05,0.0003499504555043,613.5950452704052,93.10416666666667
Internet Protocols,5.5677425386807575e-05,0.0003348031044478,501.3264839777048,102.45833333333333
Service Fulfillment,3.987510504849468e-05,0.0002388633411175,499.02874444343894,62.916666666666664
Grilling,0.0052011289341593,0.0294529578203109,466.28009405561136,1447.0416666666667
Critical Care Registered Nurse (CCRN),0.0003470112827954,0.0018622207637012,436.64559512296233,768.7916666666666
Linguistics,0.000188664713087,0.0009963684727399,428.115966381291,255.66666666666666
Apache Flume,4.101746311620465e-05,0.0002090147553599,409.5750431170014,51.479166666666664
Over-The-Road Driving,0.0004144885677865,0.001899548328904,358.2872668957285,523.9375
Tuxedo (Software),4.758083223185629e-05,0.0002155398408269,352.997206472971,60.020833333333336
Organ Transplantation,8.407012748875272e-05,0.0003785197819861,350.24290231597433,114.16666666666667
Travel Nursing,0.000326185910061,0.0014612048502177,347.96688181425134,555.9166666666666
Financial Solution Recommendation,5.241590516222517e-05,0.0002303499646851,339.4657766038303,69.39583333333333
Achievement Oriented,0.0004310837824468,0.0018929366799658,339.11108630012245,826.9375
Electronic Discovery,0.0005190098940681,0.0022649007674922,336.3887458367064,514.3958333333334
IBM Cloud Computing,7.88846734019691e-05,0.0003357405527106,325.60935886719324,67.5625
Basic Trauma Life Support (BTLS),5.4872815842078464e-05,0.0002329691156771,324.56198411172267,71.20833333333333
Microsoft Office Accounting,4.847689262959856e-05,0.0002000990455725,312.7720130525145,59.458333333333336
Long Term Acute Care,0.0003663264310651,0.0014994547783788,309.3220284485373,580.4583333333334
Security Camera Monitoring,0.0001032049991087,0.0003904388132587,278.31385749780674,109.0625
Medical Intensive Care Unit,0.0001467915855689,0.0005485394471635,273.68589285114746,161.60416666666666
Extroverted,0.000169947920107,0.0006301813531607,270.8085116687129,190.33333333333334
Pronunciation,0.0002632257080189,0.0009135848304838,247.07279823071207,231.70833333333334
Freight Handling,0.0002830954945056,0.0009726286594872,243.5691059604483,226.39583333333334
Pediatric Surgery,6.478007781374492e-05,0.0002206597946765,240.62909790096114,63.125
Package Sorting,0.0001816063377243,0.0006102677476196,236.03879427713528,230.9375
Manicure,0.0001530172822019,0.0005058023334996,230.55242272060133,137.89583333333334
Life Insurance Sales,7.049183030913444e-05,0.0002313905314468,228.2515582757057,67.25
Results Focused,0.0007609940008031,0.0024287595887926,219.15620704361095,1169.3125
Fiber Optics,0.0003392540865764,0.0010786868631552,217.95839927554704,281.0416666666667
Fact-Finding,0.000120994978644,0.0003839291872899,217.31001698799716,90.22916666666667
Sqoop,0.0001413775882917,0.0004438294872075,213.93199768817698,109.125
Language Translation,0.0003996335951422,0.0012301652862856,207.82329144472328,327.0208333333333
Apache Mesos,9.808845415094224e-05,0.0002999874869718,205.83363716810936,80.39583333333333
Circular 230,6.621105341739363e-05,0.0001956647068776,195.51668003850085,61.4375
Mortgage Loan Closing,5.4742324294668287e-05,0.0001573852244144,187.50190358601338,65.89583333333333
Tanker Truck Operation,0.0004373087156594,0.0012316648921883,181.64654581172084,354.7708333333333
Network Control,8.759745697174082e-05,0.0002454962847615,180.2550362172018,72.35416666666667
Knockout.js,0.000125869637278,0.0003358436805312,166.81866079382127,93.0625
Adobe Flash,0.000105220824256,0.0002794824387567,165.61513914462904,63.375
Cardiac Catheterization,0.0007833623858994,0.0020691633603153,164.13871760508852,714.0208333333334
Application Packaging,0.0001726559265583,0.0004468483813055,158.80859708259976,129.02083333333334
Security Investigations,0.0001480640906853,0.0003814976473214,157.6571034581551,112.5625
Orphan Drugs,9.632716876225768e-05,0.0002480696174302,157.52819336199272,82.20833333333333
Genetic Mutations,7.298408553078061e-05,0.0001876517759987,157.11327974310095,55.083333333333336
Zabbix,9.949417693486726e-05,0.0002529017603568,154.18749935723304,73.54166666666667
Pediatric Oncology,7.599454624287594e-05,0.0001926684041428,153.52925133211326,55.416666666666664
Mobile Marketing,0.0001317879061908,0.0003338657139017,153.33562354222067,91.875
Flatbed Truck Operation,0.0017172955682393,0.004333977530532,152.37225383254898,1146.4375
Clutch,0.0001091469533532,0.0002743645973828,151.37174144930552,78.79166666666667
Webcast,0.000337941908832,0.0008402205515549,148.62869315583944,221.5625
Class Action,0.0001415704671522,0.0003457835982163,144.24839811014678,112.83333333333333
Cardiovascular Disease,0.0001681521607281,0.0004072735721485,142.2053754082033,109.79166666666667
Cargo Handling,9.028666880760969e-05,0.0002159325115631,139.16322798798444,62.020833333333336
House Call,0.0001015026754917,0.0002396432884359,136.09553863976316,58.395833333333336
Telemarketing,0.0012407834567486,0.0028861445854352,132.6066300882325,762.375
Insurance Sales,0.001064753740698,0.0024751644583308,132.46356070167027,769.8958333333334
Fire-Control Systems,0.0001578017518227,0.0003647889412734,131.16913282639783,107.08333333333333
Medical Science Liaison,9.029870232450432e-05,0.0002077932298495,130.11762572485083,68.29166666666667
Akka (Toolkit),8.825119771336957e-05,0.0002020370647422,128.93407679111024,56.75
Ethical Principles,0.0001203546701427,0.0002731494733352,126.95378003307805,84.97916666666667
Encompass (Mortgage Software),0.0001482254600488,0.0003363155287607,126.894575769895,137.83333333333334
Mortgage Underwriting,6.206752085666146e-05,0.000140142261378,125.79000972448071,66.5
Risk Awareness,0.0002859258627574,0.0006428986087399,124.84800869006428,183.77083333333334
Sports Marketing,8.342021582599286e-05,0.0001860997352988,123.08709400487223,55.708333333333336
Document Review,0.0006491051384033,0.0014292390277378,120.18605972732104,422.7291666666667
Evidence Preservation,0.0001261333136615,0.0002775869497644,120.07425453782288,86.08333333333333
SharePoint Development,9.151627150009906e-05,0.0002013769813763,120.04500191649747,58.604166666666664
Addiction Counseling,0.0001094503783262,0.0002363874889566,115.97685871133628,74.33333333333333
Truth In Lending Act,0.0007419928966571,0.0015859830255806,113.74638931530583,456.3125
XPath,0.000100369762793,0.0002139831125782,113.19479754028434,60.479166666666664
Closed-Circuit Television Systems (CCTV),0.0006301491301374,0.0013341550668349,111.72052820956782,412.75
Microsoft Windows 7,0.0007604190277864,0.0015944153580917,109.67588919139561,412.5208333333333
Source Document,7.665412002656365e-05,0.0001602988583622,109.11969024841738,55.166666666666664
Postpartum Care,0.0010440521134415,0.0021376174717973,104.74241125292968,721.6041666666666
MapReduce,0.0003554251723426,0.0007254670579262,104.11245864907697,217.64583333333334
Individual Tax Returns,8.984804562982266e-05,0.0001818646478271,102.41358234589677,62.458333333333336
Annuities,0.0003601219337718,0.0007207413369659,100.13813916222476,178.0625
Preparer Tax Identification Number,0.0001629907112217,0.0003244585300422,99.0656569384935,104.47916666666667
Series 6 Investment Company And Variable Contracts License (Mutual Funds/Variable Annuities),0.0002268014944838,0.00044902478371,97.98140428129895,112.72916666666667
Pharmaceutical Sales,0.0003934995385291,0.0007776755634569,97.63061638238476,204.33333333333334
Continuing Care,0.0002789042272288,0.0005487245525255,96.74300313682657,190.39583333333334
OpenStack,0.0002772710309453,0.0005403032999153,94.86467737839189,159.97916666666666
Electronic Design Automation,9.338873703691871e-05,0.0001814116196999,94.2542810362494,51.166666666666664
VMware ESX Servers,0.0002790478880426,0.0005417464619295,94.14103641121125,144.20833333333334
Healthcare Customer Service,9.644285124364854e-05,0.0001871035977676,94.00463108967045,55.0625
Blackberry,0.0001195538906001,0.0002297467756526,92.1700536046025,66.66666666666667
Tax Software,0.0002529696818058,0.0004842522033504,91.42697255007468,135.9375
Software Sales,0.0005669761450235,0.0010783241982678,90.18863628259099,289.3958333333333
TurboTax,0.0001430252414961,0.0002709524737725,89.44381490863506,88.08333333333333
Business Coaching,0.000106826989058,0.0002011726951803,88.31635802360442,61.729166666666664
Mortgage Loan Processing,0.0001532992871052,0.000288185178503,87.9885966496609,124.83333333333333
Crystal Reports (Reporting Software),0.0003739219569819,0.0007011045658603,87.5002397610573,187.08333333333334
Vcenter,0.0001387571630347,0.0002600177019786,87.39047144800408,69.16666666666667
Truck Driving,0.0068222493755007,0.0127647470906526,87.10466868144596,3863.1041666666665
Industrial Relations,0.0001602680690346,0.000299772121511,87.0441962124612,95.83333333333333
Mercurial,0.0001067195356786,0.0001990138037837,86.48301130456227,61.833333333333336
Hybris,0.0003578860460735,0.0006670305386972,86.3807058183571,187.97916666666666
QuarkXPress Design Software,7.162189269951333e-05,0.0001334180021988,86.28103387123498,50.1875
Dependency Injection,0.0001690650415533,0.0003133772352146,85.35897920434584,81.95833333333333
Android SDK,0.0001519161017687,0.0002815650113778,85.3424410576945,85.54166666666667
Analysis Of Variance (ANOVA),0.0001724560591782,0.0003187341682015,84.82051005940585,114.20833333333333
Backbone.js,0.0002029304997644,0.0003748674314199,84.72700350864794,111.72916666666667
Property Leasing,9.344451680786293e-05,0.0001712828908018,83.29902775781419,50.541666666666664
Digital Security,0.0001178129877357,0.0002157925812328,83.16535840420757,78.25
Apache Oozie,0.0001166106906012,0.0002134657970303,83.05851370037533,59.333333333333336
Electronic Trading Platform,0.0001473866821307,0.0002693891430614,82.77712692013131,78.39583333333333
Disability Prevention,0.0002061280283354,0.0003762166242931,82.51599616571373,130.125
Windows Communication Foundation,0.0004874904837407,0.0008894467753006,82.45418217716505,241.58333333333334
Sensory Processing Disorder,9.471829948066532e-05,0.0001715882868671,81.15642680232665,50.9375
Microsoft Dynamics AX,0.0002480554760524,0.0004492442762515,81.10637321975518,152.66666666666666
Physical Security,0.0009189140066791,0.0016639736600588,81.08045453266087,457.8333333333333
Multitier Architecture,0.0003112997188147,0.0005634045533589,80.9846007905534,151.02083333333334
Neo4j,0.0001211854328771,0.0002186914296526,80.46016295901303,65.58333333333333
Apache Pig,0.0003739331326635,0.0006736513670868,80.1528958636074,187.91666666666666
Dry Van Truck Operation,0.0012391533965488,0.0022317063484181,80.09928025325081,682.0625
SAP CRM,0.0001341167757045,0.0002408785464471,79.60359185627055,67.5625
Coherent Remote File System (CRFS),0.0001569448570592,0.0002803267921586,78.61483161111803,81.6875
Cisco Certified Internetwork Expert,0.0002869200774166,0.0005123697425165,78.57577173749098,145.60416666666666
Windows Server Update Services,9.413467794253484e-05,0.0001680472823723,78.51793413994109,50.0625
Sub-Acute Care,9.431098192418137e-05,0.000168259214146,78.40893044806514,51.0
Database Security,0.0001693933567088,0.0003016477209755,78.07529577092876,84.29166666666667
Automotive Sales,0.0004078076531705,0.000725250589786,77.84133871631401,238.02083333333334
Windows Forms,0.0001101051716275,0.0001952237559609,77.30661791379532,53.541666666666664
Recruitment Tools,0.0004564481561074,0.0008090526697932,77.24963042743323,302.7708333333333
Technology Ecosystems,0.0019677488286074,0.0034848390937619,77.09775979021485,418.6041666666667
Trade Promotion Management,0.0001042634942699,0.0001840048950866,76.48065257651805,54.5625
System Center Operations Management,0.0001565488254335,0.0002755303714391,76.00283533020938,75.22916666666667
Real Estate Settlement Procedures Act,0.0001151850441185,0.0002023385872288,75.66394038156398,96.25
Commercial Driver's License (CDL),0.0122400613390237,0.0214740127889461,75.44040176075559,6405.958333333333
Sales Qualification,0.0002853722560184,0.0005004038445236,75.35125926583956,154.29166666666666
NIST Cybersecurity Framework (CSF),0.0006406948504079,0.0011228850843911,75.2605134372802,149.29166666666666
Gulp.js,0.0003093983607755,0.0005420008259815,75.1789584867183,156.27083333333334
Team Foundation Server,0.0013032692156872,0.0022792052232062,74.88368448911757,615.2291666666666
Swedish Massage,0.0001053573864279,0.0001837418383994,74.39862987218405,54.229166666666664
Medical Sales,0.0003727483070934,0.0006497750822748,74.32006260245339,193.8125
Apache HBase,0.0004052708854165,0.0007030400784758,73.47411417261823,228.04166666666666
Deep Tissue Massage,0.0001117888366193,0.0001937968801625,73.35977904706235,64.10416666666667
Microsoft Exchange Servers,0.0002453530889643,0.0004249989175298,73.21930582730073,123.8125
Microsoft Certified Systems Administrator (MCSA),0.000395079239165,0.000682479912359,72.74507103977962,179.1875
Web Navigation,0.0004852495300595,0.0008377881390542,72.65099441754691,226.97916666666666
Closing Skills,0.0007802121881148,0.0013437647598087,72.2306803557623,359.2916666666667
Microsoft Certified IT Professional,0.0001198825144241,0.0002063661603605,72.14033368573907,57.291666666666664
Apache NiFi,0.0001151929632273,0.0001979732776346,71.86230138377204,65.54166666666667
IBM Rational Clearquest,0.0001177542839948,0.0002022687303965,71.7718655615384,58.479166666666664
Outside Sales,0.0057401341624995,0.0098327302617789,71.29791714654469,2547.8333333333335
VMware Virtualization,0.0001116440709424,0.0001912085370704,71.26618140702638,55.895833333333336
Direct Selling,0.0021572473448595,0.0036875953944082,70.93985087965748,947.5625
Oracle Business Intelligence Enterprise Edition,0.0002184792318521,0.0003734108686457,70.91366784852177,104.22916666666667
Smart Buildings,0.0003066151537912,0.0005239742247129,70.88986575977194,41.895833333333336
Lumber,0.000453725792244,0.0007737954267625,70.54252590215904,247.04166666666666
Apache Subversion,0.000984978169876,0.0016776600759585,70.32459472372899,490.7291666666667
Reefer Truck Operation,0.000695751597038,0.001181383905311,69.79966849382254,356.7708333333333
Webforms,0.0002172951950043,0.0003689082607731,69.77285704168457,106.0
Electrical Industry,0.0001979205896098,0.0003359724927871,69.75115800203962,98.375
Unified Field Theories (UFT),0.0001380913144393,0.0002335497484027,69.12703695449297,66.66666666666667
Circuit Design,0.0002074628398026,0.0003504758781721,68.93429131962922,101.29166666666667
Slip Sheet,0.00010916968687,0.0001842081646025,68.73563521516401,58.125
Child And Adolescent Psychiatry,0.0001482410771394,0.000249833435582,68.53185392539115,77.16666666666667
Portuguese Language,0.00035776231189,0.0006026777512716,68.45758517372934,167.72916666666666
Sorting,0.0092375669337327,0.0154900631439156,67.68553077922222,4700.645833333333
Mail Processing,0.0002894779001276,0.0004851987455951,67.61167100536085,149.04166666666666
Secondary Market,0.0003180222666991,0.0005328816422402,67.56111066411314,160.75
Pre-Sales Engineering,0.0001567433950332,0.0002623107526567,67.35043451185912,74.0
Java Servlet,0.0002710298896237,0.000453355192542,67.27128995678,125.89583333333333
Microsoft Windows XP,0.0001734272280631,0.0002897448439335,67.06998501301008,86.6875
Visitor Management,0.0005066090643705,0.0008425974008722,66.32102742164528,261.125
Cisco PIX,0.0002086255704598,0.0003464083300562,66.04308344980623,96.97916666666667
XBRL (Extensible Business Reporting Language),9.757235618102782e-05,0.0001619542011645,65.98369405369625,52.541666666666664
Health Information Technology,0.0001727138128095,0.000286590677487,65.93384907963556,81.625
Speech Recognition,0.0001068894131954,0.0001769934455234,65.58557132299511,51.145833333333336
Seasoning,0.000224205321906,0.0003712515354607,65.58551434222885,98.20833333333333
Community Reinvestment Act,0.0001357960626835,0.0002247131555559,65.47840277198547,66.33333333333333
Music Instruction,0.000455127548457,0.0007526358634849,65.36811846185316,282.1041666666667
Sybase (Software),0.000166913631253,0.000274941519732,64.720830568509,79.22916666666667
JavaServer Faces,0.0001108284897055,0.0001822590009217,64.4513981973492,55.604166666666664
Real-Time Transport Protocol,0.0001064722266796,0.000175016766833,64.37785917605223,54.958333333333336
Pediatric Intensive Care Unit,0.0014171737267935,0.0023259811872634,64.12816179750732,692.2291666666666
Interviewing Skills,0.0002833904908145,0.0004645816420388,63.9369199381157,146.6875
Regional Sales,0.0024690544416437,0.004046519036439,63.88942131811197,1067.5
Procedure Standardization,0.0001076598472802,0.000175879284045,63.365719428571396,53.479166666666664
Google Ads,0.0007888738731585,0.0012840013410923,62.76383142864199,359.4166666666667
Microsoft Certified Systems Engineer,0.0006593492590991,0.0010728361632673,62.711362523280414,301.5833333333333
MEDITECH EHR,0.0005930316772281,0.0009647494297063,62.68092696424795,273.5833333333333
TypeScript,0.0030456340326406,0.004949772804786,62.520274981774136,575.4583333333334
DoubleClick Digital Marketing,0.0001587849349723,0.000257591652012,62.22675788287901,75.89583333333333
Windows Presentation Foundation,0.0002715204834032,0.0004403921818438,62.19482829581976,133.375
General Mathematics,0.0004278659193721,0.0006938615410592,62.167985259833905,223.4375
Ajax (Programming Language),0.0009367860127858,0.0015178436628504,62.0267213786273,474.5625
Label Printer Applicator,0.0001150404840399,0.0001863285497598,61.96780751998128,57.041666666666664
Database Schema,0.0001232846219958,0.0001994415818274,61.773284128002985,57.958333333333336
Management Training,0.0010219269996201,0.0016502524204957,61.4843742370227,449.4166666666667
Accounts Receivable Management,0.0001398003920866,0.0002257084766143,61.45053189441977,67.72916666666667
Taping,0.0001165300896722,0.0001876727926502,61.05092957374782,56.583333333333336
Logo Design,0.0008617424380184,0.0013847371433068,60.69037362150117,435.8958333333333
Cisco Adaptive Security Appliance (ASA),0.0002157603357214,0.0003457365415203,60.24101017655602,96.125
Positive Discipline,0.0001085432062621,0.0001728460605613,59.241712598693155,50.5
Microwaves,0.0001997362281649,0.0003179689906232,59.194450373163335,94.27083333333333
Desktop Publishing,0.0001540935197905,0.0002452158670442,59.1344447044799,70.64583333333333
Project Commissioning,0.0001170438148744,0.0001860714389894,58.975883680033604,55.625
Cybercrime,0.0001083981373654,0.0001723255039854,58.97459880192112,51.395833333333336
Global Delivery Model,0.0003046457414756,0.0004835151517289,58.71390467725486,145.6875
WildFly (JBoss AS),0.0003809290371387,0.0006041005486683,58.5861117876244,174.3125
Language Integrated Query,0.0002321231971087,0.0003677523166617,58.429799883157216,107.625
Java Enterprise Edition,0.000321881095009,0.0005096148996306,58.323961093878715,146.79166666666666
Less-Than-Truckload Shipping,0.0003616621925237,0.0005719307723784,58.13949707804221,178.14583333333334
Positive Reinforcement,0.0004871959314185,0.000769966133893,58.04034562669636,220.72916666666666
Fashion Knowledge,0.0001750700974865,0.0002764309526317,57.897297482807495,89.3125
Truckload Shipping,0.0006297335321006,0.0009921289337539,57.54742016745702,356.8125
Massage Oils And Lotions,0.0001550501255958,0.0002438746120133,57.28759398045019,105.8125
