,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
"Skill cat: Performing Arts, Sports, and Recreation",0.0083448597755846,0.0248131987199587,197.34710213534305,2380.7291666666665
Skill cat: Design,0.0494627083818093,0.1240461729201099,150.78726373529895,14479.458333333334
Skill cat: Analysis,0.15862969765762,0.329433070962415,107.67427274144477,47999.25
"Skill cat: Economics, Policy, and Social Studies",0.0619226681925086,0.1228518773048754,98.39564555413975,16240.583333333334
Skill cat: Science and Research,0.137828604238614,0.2683796151543727,94.71982368024558,39599.395833333336
Skill cat: Personal Care and Services,0.0072353641154025,0.0136887788226744,89.19267371125108,1868.4166666666667
Skill cat: Finance,0.2474089649969461,0.4465168365690682,80.47722586551373,76336.79166666667
Skill cat: Business,0.5336737912362421,0.9377221866399718,75.7107435363767,164215.91666666666
Skill cat: Engineering,0.0923176389338343,0.1575769976433055,70.69002139043411,26350.416666666668
Skill cat: Human Resources,0.095887122440244,0.1605595453196193,67.44641119007255,24659.770833333332
Skill cat: Public Safety and National Security,0.0424567898715632,0.0710316817975851,67.30346786100483,11864.9375
Skill cat: Energy and Utilities,0.0160792392820165,0.0265884009572183,65.35857505992563,4726.333333333333
Skill cat: Health Care,0.2593042004777219,0.4266491635953445,64.53615591622474,75751.4375
Skill cat: Media and Communications,0.5200549014262643,0.834834004366631,60.52805234160407,160138.79166666666
Skill cat: Sales,0.2632694786212897,0.4026046884246632,52.924938558413636,87691.125
Skill cat: Physical and Inherent Abilities,0.6800306258302887,1.024702760011521,50.68479581495351,204630.66666666666
Skill cat: Administration,0.2979274098916702,0.4468032789270324,49.970517680630714,93349.64583333333
Skill cat: Information Technology,0.3484055324070972,0.5028384937265618,44.32563405423084,108767.22916666667
Skill cat: Property and Real Estate,0.0158432707072756,0.0214900553981013,35.64153384207824,4773.083333333333
Skill cat: Marketing and Public Relations,0.1522460395718468,0.1952092287204445,28.219577513753872,47948.125
Skill cat: Social and Human Services,0.0356723944243313,0.0444586089640002,24.630290961562228,8481.6875
Skill cat: Environment,0.0195210151756944,0.0239237963803935,22.554058613616565,5110.729166666667
Skill cat: Customer and Client Support,0.36293667006475,0.4367533376884367,20.338718490616394,105940.1875
Skill cat: Hospitality and Food Services,0.1143774289812188,0.1361775916029657,19.059846698710594,30992.458333333332
"Skill cat: Law, Regulation, and Compliance",0.3360708537857948,0.3978976183587973,18.39694334588434,99668.64583333333
Skill cat: Manufacturing and Production,0.1236541742138638,0.1456171535263789,17.76161577411002,36398.979166666664
Skill cat: Education and Training,0.1308780307497347,0.1505208630896184,15.008502364651847,36544.125
"Skill cat: Maintenance, Repair, and Facility Services",0.1274640190782616,0.1137396734863314,-10.767231169373053,37639.479166666664
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0091144289584983,0.0058766272236322,-35.52391213546266,2382.75
Skill cat: Architecture and Construction,0.0712326180296085,0.0259385394613104,-63.586148903682286,22095.9375
"Skill cat: Transportation, Supply Chain, and Logistics",0.2166069309535808,-0.2901559381587011,-233.95505715414154,71411.58333333333
