,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Data Analysis,0.0139901801329225,2801455754.5543427,20024443773585.19,133.01388888888889
Physical Stamina,0.0142696700311624,8272279.1135735,57971060867.130455,114.84722222222223
Office Equipment,0.0056763456006496,129.32585010386012,2278229.39011078,102.36111111111111
School Psychology,0.0002708866396597,1.3856245604719912,511414.544317385,108.29166666666667
Nephrology,0.0056971564923635,15.81295022040819,277458.6424842631,96.94444444444444
Non-Verbal Communication,0.0044583982522224,11.594873890730756,259968.15081965824,101.125
Certified Rehabilitation Registered Nurse (CRRN),0.0052455857924246,12.82158705705439,244326.21976692582,34.041666666666664
Community Health,0.0124528698649937,23.40954552458928,187885.1454193376,221.16666666666666
Cardiac Catheterization,0.0083589703977286,10.946770389338436,130858.35812880764,434.44444444444446
Critical Thinking,0.0544034274535365,49.49377779759912,90875.47730769264,929.875
Loan Servicing,0.0022969642564152,1.1720055256172155,50924.10811765646,12.583333333333334
Computerized Physician Order Entry,0.0453738618649859,7.2710177586692355,15924.683506783747,815.9444444444445
Cardiac Arrest,0.0016069317681719,0.1764213412549385,10878.769898590119,13.291666666666666
Electronic Displays,0.001594915648936,0.1357600925266551,8412.054704411696,14.444444444444445
Visual Impairment Education,0.0002439705047815,0.0205754332695572,8333.574086336608,103.75
Automated External Defibrillator,0.0019658683680811,0.1141338820104767,5705.774377553249,64.68055555555556
Continuing Care,0.0012136141577173,0.0671034828067704,5429.227092487622,110.52777777777777
Cardiovascular Disease,0.0013071543526208,0.0716013580723898,5377.651352254729,51.05555555555556
Holter Monitor,0.0043312671611944,0.2269642164595072,5140.1343074140705,46.583333333333336
Surgical Instruments,0.0090968714419591,0.4463784397602709,4806.94457548736,168.79166666666666
eClinicalWorks (ECW),0.0008556369873692,0.0386140875788307,4412.9053732887605,114.73611111111111
Surgical Technology,0.0049605382868144,0.220520358399465,4345.49251813316,104.30555555555556
Employee Relations,0.0030136346675567,0.1116175420707222,3603.751595120054,74.98611111111111
Microsoft Outlook,0.0216121532234731,0.7777876773237801,3498.8439896817868,536.8888888888889
Mopping,0.0048139637588875,0.160236702272309,3228.5813998180047,103.875
Peer Review,0.0047050078983904,0.1245056999975509,2546.2378530787323,70.13888888888889
Audiology,0.0006048872528885,0.015728623589994,2500.257075163276,109.90277777777777
Supervision,0.0152993341094205,0.3304494312535465,2059.894207749039,280.4861111111111
Biotherapy,0.0048374639749659,0.0937447692767074,1837.8907990186785,55.40277777777778
Urgent Care,0.0097730666907993,0.1856293102955093,1799.3967417644565,142.625
Conflict Management,0.0028627955500938,0.0500814538631138,1649.3898179865787,39.90277777777778
Bone Marrow Transplant,0.0018483433867863,0.0288103982804262,1458.714602837875,21.083333333333332
School Counseling,0.0005870549968425,0.0087116076400268,1383.9508541589034,105.93055555555556
Splinting,0.0029860550200512,0.0436410497841222,1361.4951664009834,63.708333333333336
Registered Nurse (RN),0.5217393157975843,7.389178561972395,1316.2587212114806,11306.736111111111
Nutrition Services,0.0012860097665369,0.0174103969232685,1253.8308476577915,12.23611111111111
Governance,0.0247736895636669,0.2680371781691374,981.9429115727711,335.93055555555554
Cancer,0.0021355063492758,0.0229619919616938,975.2481241500755,35.47222222222222
Typing,0.0094140930619279,0.0921587829877354,878.9448901927715,259.15277777777777
Scripting,0.0016704959062783,0.0155986822321288,833.7755437474326,22.305555555555557
Health Assessment,0.0257161601332257,0.2319501012735554,801.9624239074172,430.7916666666667
