,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
School Counseling,0.0007011311443739,3.535507790201365e+58,5.042577010836571e+63,280.25
Audiology,0.0005311639119683,1.1557183574483515e+54,2.175822437118667e+59,242.08333333333334
Air Brake Certification,8.819809375538174e-05,4.657550904885384e+35,5.2807840924579915e+41,61.35
Payment Processing,0.0011854411629366,31023558.51927857,2617047516828.327,472.56666666666666
Visual Impairment Education,0.0001568707580408,477425.028631769,304342909053.02203,189.11666666666667
Bank Auditing,0.0003646994115598,186161.66934589512,51045234261.5504,14.316666666666666
Water Pumps,0.0001905763626741,39117.75098320664,20526024446.96911,30.216666666666665
Hydraulic Transmissions,0.0001317009531374,21182.18804917239,16083549445.06183,3.9166666666666665
Programming (Music),0.0003311442686078,22687.667724494448,6851293996.03801,20.65
Risk Based Internal Auditing,0.0007270109429875,10115.137336743048,1391332098.5466955,61.4
IBM Rational Clearquest,0.0001435565109677,263.0769995992814,183256652.21967003,55.85
Transcribing,0.0064876069902888,10879.298994413955,167693458.05151287,1426.7333333333333
Pilot Experiment,0.0001368895399362,89.77251732706566,65580160.8211744,15.916666666666666
Virtual Health,0.0001807518074257,48.400485189768645,26777217.4050634,16.883333333333333
IBM Tivoli Management Framework,0.0002415097191757,50.09917489888674,20744065.108502008,41.95
Civil Design,0.000297884797471,28.666965332576428,9623407.334363796,60.61666666666667
Anger Management,0.0003293150023505,12.010807916428766,3647109.4592414885,38.18333333333333
Mining Engineering,0.0001687724531554,3.1671413381754623,1876474.8076549345,16.533333333333335
FAA Instrument Rating,0.0007194362788368,9.223364548186147,1281926.6115991094,40.083333333333336
Engagement Marketing,0.0002383398922611,2.5403689327603414,1065759.730261765,81.48333333333333
Airline Transport Pilot Licence,0.0007660580107455,7.3308036616224115,956851.5048198946,50.46666666666667
Unmanned Aerial Systems (UAS),0.00068598786567,4.9264915436717605,718060.1585415928,40.666666666666664
Certified Flight Instructor,0.0005238334705505,3.588965196422881,685034.7609863903,23.166666666666668
Forensic Psychology,0.0016814118887924,10.11535951165557,601499.1429036749,75.18333333333334
Law Enforcement Operations,0.001187677672028,6.989397855925676,588392.8226352056,59.78333333333333
Multi-Engine Land,0.0006922647505636,2.749859748959215,397126.6024986027,35.25
Google Maps,0.0003201829416516,1.221349836623729,381353.74963564234,48.25
Surgical Drains,0.0001846433978254,0.5417776328811728,293318.36169711367,18.366666666666667
Licensed Independent Social Worker,0.0001957439996563,0.4606528339172747,235234.3319468892,10.65
Code Enforcement,0.001792552120722,4.041644848237575,225368.7493610892,103.2
Big O Notation,0.0001195331920936,0.2480197771916141,207390.2985920456,4.116666666666666
American Red Cross (ARC) Certification,0.0068435598186604,13.425803237459276,196081.57206503855,748.85
Ambulances,0.0007721278167675,1.2747030749623596,164989.64542928684,192.85
System Programming,0.0004666129025181,0.6251845491253178,133883.5537661899,99.56666666666666
Licensed Independent Clinical Social Worker,0.0002365218596334,0.2680624547035346,113235.17126874503,19.433333333333334
Board Certified/Board Eligible,0.0075269994125029,7.464152369668117,99065.0452007424,1644.3833333333334
