,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill cat: Media and Communications,0.4837055167365311,11.29514976765185,2235.129407631749,840.0416666666666
Skill cat: Social and Human Services,0.0071587395739141,0.0348430478976716,386.7204280574335,9.11111111111111
Skill cat: Administration,0.280488540618326,0.8770165390852777,212.67464159210533,448.2638888888889
Skill cat: Analysis,0.1246798516034007,0.2490303508506364,99.73584155584926,242.04166666666666
"Skill cat: Maintenance, Repair, and Facility Services",0.6219517635726364,0.9719531838766372,56.27468893946226,1088.6805555555557
Skill cat: Property and Real Estate,0.002556217668635,0.0037968878764415,48.535389729506406,6.180555555555555
"Skill cat: Transportation, Supply Chain, and Logistics",0.3469323060682833,0.4269107067629395,23.053027722046405,585.3472222222222
Skill cat: Finance,0.0880172833722703,0.1020319479472109,15.922627963493705,138.80555555555554
Skill cat: Design,0.0626880342983095,0.0707927212299576,12.928602758671362,91.58333333333333
Skill cat: Engineering,0.622382817523839,0.701201375941483,12.663999743955834,1051.5972222222222
"Skill cat: Performing Arts, Sports, and Recreation",0.0018706048380331,0.0020523202658951,9.714260551847486,2.763888888888889
"Skill cat: Economics, Policy, and Social Studies",0.0255714025322172,0.0272208514440816,6.4503654415758795,23.305555555555557
Skill cat: Hospitality and Food Services,0.046856429412598,0.049369108215134,5.362505922955435,91.30555555555556
"Skill cat: Law, Regulation, and Compliance",0.4882431149586584,0.5004673196742849,2.5037126671333794,775.9166666666666
Skill cat: Sales,0.0694867638177621,0.0664668012172456,-4.346097637294975,117.81944444444444
Skill cat: Education and Training,0.0761973242560718,0.0723295880212248,-5.075947577698305,109.15277777777777
Skill cat: Human Resources,0.0530089234635433,0.0488016990809034,-7.936822911586584,91.73611111111111
Skill cat: Energy and Utilities,0.1760208900958474,0.1512532311582886,-14.070863364042898,230.40277777777777
Skill cat: Customer and Client Support,0.1426503880936465,-0.0079800419604536,-105.5941256572081,260.18055555555554
Skill cat: Physical and Inherent Abilities,0.7964289929997179,-0.1720932007675232,-121.60810345682434,1373.25
Skill cat: Information Technology,0.4737852853831744,-0.3094580059235148,-165.31608630969623,804.0138888888889
Skill cat: Science and Research,0.170269217236517,-6.104018776763538,-3684.9220874050225,270.0
