,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Skill cat: Energy and Utilities,0.0163412680567086,0.1434501372200623,777.8396922579798,4869.5625
"Skill cat: Maintenance, Repair, and Facility Services",0.1275766799786311,0.7180053002454727,462.80293574479094,37811.8125
Skill cat: Architecture and Construction,0.0729093296650632,0.4039872377378518,454.09539436684054,22807.520833333332
Skill cat: Engineering,0.0925077673324286,0.3279033788701634,254.46037486975092,26699.729166666668
Skill cat: Manufacturing and Production,0.1238759741352974,0.339937269865152,174.417434242634,36830.645833333336
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0087590350029035,0.0225195713753815,157.1010547156915,2370.0416666666665
Skill cat: Environment,0.0195760288691132,0.0379342707771911,93.77919306730944,5106.1875
Skill cat: Public Safety and National Security,0.0411279255624667,0.0732591446139071,78.12506614912597,11785.8125
"Skill cat: Law, Regulation, and Compliance",0.3423371812500747,0.4967640655441478,45.10958573946588,103402.64583333333
"Skill cat: Transportation, Supply Chain, and Logistics",0.2131056412145703,0.1992685814994686,-6.4930518198575164,71423.47916666667
Skill cat: Media and Communications,0.5487514224409799,0.4700473946314771,-14.342382468806747,175135.0625
Skill cat: Business,0.5307028647865718,0.43573733746944,-17.89429332651582,166759.95833333334
Skill cat: Customer and Client Support,0.3238961712299685,0.2535636532141977,-21.714525907697197,103861.4375
Skill cat: Physical and Inherent Abilities,0.6668046987362147,0.5172417692040436,-22.429795383211236,208063.1875
"Skill cat: Performing Arts, Sports, and Recreation",0.0083972925613488,0.0050078050037017,-40.364052257132144,2382.6875
Skill cat: Information Technology,0.3364102610515735,0.1957976215477719,-41.79796390997864,107251.25
Skill cat: Science and Research,0.1358651082437245,0.0748449312020483,-44.912323576273806,39988.520833333336
Skill cat: Design,0.045718080832257,0.0243273538665637,-46.78833095417424,13492.854166666666
Skill cat: Property and Real Estate,0.0145751216413234,0.0068726288203886,-52.84685102796456,4716.583333333333
Skill cat: Administration,0.2960546221612858,0.1248317161028298,-57.834903845945206,94490.25
Skill cat: Education and Training,0.1277221301708208,0.0516668884761302,-59.54742658376525,36268.8125
Skill cat: Finance,0.243382510163254,0.0971433491456932,-60.08614214697177,76778.33333333333
Skill cat: Analysis,0.1582887131436771,0.057778143994057,-63.4982540153622,48741.979166666664
Skill cat: Personal Care and Services,0.0067247720628271,0.0015046357792723,-77.62547540325478,1762.3125
Skill cat: Sales,0.2650780508068857,0.0583094972211836,-78.0028949799155,89651.27083333333
Skill cat: Health Care,0.2495136928397096,0.0535154743690446,-78.55208916192686,73994.20833333333
Skill cat: Hospitality and Food Services,0.1078836595961085,0.020025351033056,-81.43801284826053,30925.979166666668
Skill cat: Social and Human Services,0.0297618444396161,0.0024591244708192,-91.73732503101908,8308.1875
Skill cat: Marketing and Public Relations,0.1488467518103065,0.0112647874395323,-92.4319561545499,48126.25
"Skill cat: Economics, Policy, and Social Studies",0.0591149486024685,0.0039517470032653,-93.31514769666857,16164.0
Skill cat: Human Resources,0.0908575162155995,0.0011459535462395,-98.73873555653864,24874.520833333332
