,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill cat: Analysis,0.1489803964814877,61.00418456904744,40847.79313909788,48967.8
Skill cat: Engineering,0.096497595110192,18.981613731420897,19570.556255568354,27570.816666666666
Skill cat: Finance,0.2393410770891681,31.04115877891726,12869.423868412136,77153.78333333334
Skill cat: Media and Communications,0.5459180242753089,61.97310202046618,11252.089373259614,176160.7
Skill cat: Physical and Inherent Abilities,0.6616697808939466,50.42065127268458,7520.213697014234,210101.26666666666
Skill cat: Marketing and Public Relations,0.1375023419786915,1.987166092421693,1345.1870883258416,47726.183333333334
Skill cat: Personal Care and Services,0.0074929152419536,0.0160223070364424,113.83275426274496,1964.7333333333333
Skill cat: Health Care,0.3021307321521508,0.4203269195009296,39.120875425958346,78488.15
Skill cat: Manufacturing and Production,0.1168315983666201,0.1444131111592344,23.607922153100134,37272.21666666667
Skill cat: Hospitality and Food Services,0.0989202202396039,0.1210285993450513,22.349706715064556,31514.433333333334
Skill cat: Social and Human Services,0.0335855977609204,0.0383172892550927,14.08845400893241,8794.6
Skill cat: Science and Research,0.1388145727602525,0.1560140300024242,12.390238935415656,41233.23333333333
Skill cat: Energy and Utilities,0.0219215674900971,0.0242609555870845,10.671627829735256,5163.016666666666
"Skill cat: Maintenance, Repair, and Facility Services",0.1306566566451023,0.1442178181828043,10.379235077580224,38633.916666666664
"Skill cat: Economics, Policy, and Social Studies",0.0688542954354748,0.0755152813203543,9.674030999448226,17315.766666666666
Skill cat: Human Resources,0.0894536505320734,0.0970446996581389,8.48601379699284,25827.5
"Skill cat: Law, Regulation, and Compliance",0.3508987590757662,0.379023957741871,8.015188979346604,105616.51666666666
Skill cat: Public Safety and National Security,0.0432356051872308,0.0454404347033905,5.099568993221536,12208.4
"Skill cat: Transportation, Supply Chain, and Logistics",0.2128206963352714,0.2215969465953354,4.123776686755205,70980.7
Skill cat: Business,0.5256608941613072,0.5225117218622366,-0.5990881829045215,168176.28333333333
Skill cat: Information Technology,0.3114469486733311,0.307798086880111,-1.1715837348104199,107004.21666666666
Skill cat: Administration,0.2948183026942443,0.2908961214196839,-1.3303723814691681,95182.58333333333
Skill cat: Education and Training,0.1383740640366098,0.1361770714419055,-1.587719931477212,37951.916666666664
"Skill cat: Performing Arts, Sports, and Recreation",0.0094550354519395,0.00929425588322,-1.7004650012869025,2483.4333333333334
Skill cat: Architecture and Construction,0.0777260465822839,0.075549615237448,-2.8001312822875035,23156.3
Skill cat: Sales,0.2523971918964794,0.2385516789113484,-5.485605002614189,88547.9
Skill cat: Customer and Client Support,0.3133927219793179,0.2740218893867712,-12.562778211277333,103903.43333333333
Skill cat: Design,0.0365271520474693,-0.0646044146283064,-276.86682647568296,13414.883333333333
