,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Skill subcat: Computer-Aided Manufacturing,0.0026672177828528,0.0628479948927836,2256.3128326762544,843.625
Skill subcat: Metal Fabrication,0.0034174707910001,0.0554243907828846,1521.7955959958629,1085.75
"Skill subcat: Welding, Brazing, and Soldering",0.0058693437659444,0.0832386693569817,1318.193799449201,1735.6041666666667
Skill subcat: Electromechanical Engineering,0.0020563878611489,0.0285717182802709,1289.4129030847291,627.8958333333334
"Skill subcat: Engineering, Scientific, and Technical Instruments",0.0094353444088937,0.1241659577759575,1215.9663536915452,2819.0625
Skill subcat: Manufacturing Processes,0.0196239363100185,0.2319919856226789,1082.1888430418587,5617.291666666667
Skill subcat: Production and Assembly,0.0091191492763303,0.1024045165230585,1022.961291892217,2864.8958333333335
"Skill subcat: Elements, Compounds, and Materials",0.0038198268136782,0.0389542646721434,919.7913824955177,1025.9791666666667
Skill subcat: Power Tools,0.0099729394939458,0.1012616660894232,915.3642880406062,2881.8333333333335
Skill subcat: Drafting and Engineering Design,0.0220619573141447,0.2191435683393193,893.3097286831329,6476.25
Skill subcat: Transportation Equipment Manufacturing,0.0002312501313884,0.002236003552475,866.919905753257,62.229166666666664
Skill subcat: Manufacturing Standards,0.0140243142691874,0.1301406417586306,827.9643857137497,4303.770833333333
Skill subcat: Hand Tools,0.0120041703810321,0.1101528826836143,817.6217863224258,3781.9375
Skill subcat: Automation Engineering,0.0092505420772514,0.0848438086509018,817.1766145418293,2649.2291666666665
Skill subcat: Telecommunications Equipment and Installation,0.0010632487334743,0.0094432040365407,788.1462765240108,359.6041666666667
Skill subcat: Equipment Repair and Maintenance,0.0180551456864978,0.1473014770173442,715.8420849935363,4912.916666666667
Skill subcat: Machinery,0.0498612416120834,0.4061730576778072,714.6067858434055,14250.104166666666
Skill subcat: Plumbing,0.0123120924713121,0.0949698533154201,671.3542887750839,3507.0208333333335
Skill subcat: Circuitry,0.0027216906073122,0.0209514583218676,669.7957389270698,908.9375
Skill subcat: Product Inspection,0.0030393089843955,0.0231974851596636,663.2486620730151,1048.0833333333333
Skill subcat: Mechanical Engineering,0.0178728041830695,0.1360278970972156,661.0887228657255,5019.770833333333
Skill subcat: Plant Operations and Management,0.0148822657596852,0.1109032639212987,645.2041625390556,4606.3125
Skill subcat: Agricultural Research and Agronomy,0.0004213884429796,0.0030828252483811,631.5875173468731,140.85416666666666
Skill subcat: Manufacturing Design,0.0023349913449752,0.0160035297888611,585.3785485458009,543.8958333333334
Skill subcat: General Repairs and Maintenance,0.0157755443681628,0.1079260797425929,584.1353757680936,4273.0
Skill subcat: Basic Electrical Systems,0.0141154602055381,0.0960297299047639,580.3159692029546,3948.7708333333335
Skill subcat: Food Science and Processing,0.004630389502055,0.0311026325332618,571.7066138703499,1622.7291666666667
Skill subcat: Lean Manufacturing,0.0126539145458309,0.0844531233772411,567.4070942344555,3745.6875
Skill subcat: Robotics,0.0014637997571199,0.0091658139963613,526.1658366712333,372.9583333333333
Skill subcat: Electronic Hardware,0.0033718680608846,0.0209048445556254,519.9781301686245,1019.875
Skill subcat: Electrical Construction,0.0020896564563376,0.0128688060256705,515.8335733436676,614.8333333333334
Skill subcat: Electrical Power,0.0046135469245787,0.026250646945744,468.99057005128776,1371.25
Skill subcat: Electronics Engineering,0.0048444966403111,0.0247084881828875,410.0321048277327,1466.5208333333333
Skill subcat: Process Engineering,0.0097767584435087,0.0467548016939375,378.22396312737436,2768.8958333333335
Skill subcat: Rail Transportation,0.0004800875494516,0.0022764993605362,374.18421142906664,135.41666666666666
Skill subcat: Oil and Gas,0.0042018542815101,0.0190606259313205,353.62415386928467,1358.1666666666667
Skill subcat: HVAC,0.0143724949166365,0.0646592335493168,349.8817632175483,4188.3125
Skill subcat: Chemical and Biomedical Engineering,0.0029239780468831,0.0121236317267286,314.62800104303585,735.0625
Skill subcat: Eye Care,0.0040473313324721,0.0166668678318619,311.7989475717527,1121.125
Skill subcat: Heavy Equipment Operation,0.0279111126871892,0.1134317333116156,306.4034801582065,9166.208333333334
Skill subcat: Environmental Regulations,0.003301686022784,0.0128921040533098,290.47032226399006,871.3125
Skill subcat: Materials Science and Engineering,0.0043529582977807,0.0167773263397613,285.4235485856827,1145.2916666666667
Skill subcat: Nuclear Energy,0.0004513308426079,0.0017349679689979,284.41156801357306,129.64583333333334
Skill subcat: Industrial Engineering,0.0040694547820438,0.0154726036741519,280.21318586518623,1098.2916666666667
Skill subcat: Vehicle Repair and Maintenance,0.0214163933240085,0.0811896902895108,279.1006686382362,6055.708333333333
Skill subcat: Optical Engineering,0.0008042768007631,0.0030332262623777,277.13710746098445,224.3125
Skill subcat: Engineering Software,0.0082671809820349,0.0305360378054162,269.3645738707416,2468.3125
Skill subcat: Mathematics and Mathematical Modeling,0.0403415478319987,0.1407037891699971,248.78133520298795,13348.375
Skill subcat: Automotive Technologies,0.0042727714615572,0.014458689874843,238.39136974514355,1143.2708333333333
Skill subcat: General Construction and Construction Labor,0.0205691102204971,0.0692416184036175,236.62913787402573,6182.916666666667
"Skill subcat: Engineering, Other",0.00665960471394,0.022158331712666,232.72743149880642,1836.5833333333333
Skill subcat: Power Generation,0.0009996437611318,0.0032896065478724,229.07788512058497,253.0
Skill subcat: Electronics Manufacturing,0.0004513535789469,0.0014852355027028,229.06252924107915,132.6875
Skill subcat: Quality Assurance and Control,0.0860516992923963,0.2667866658136132,210.03067691562367,24565.291666666668
Skill subcat: Networking Hardware,0.0069776561997749,0.0213441239907001,205.89245700280654,1945.3333333333333
Skill subcat: Carpentry,0.0076331281246826,0.0231409104040591,203.1641815264478,2315.8958333333335
Skill subcat: Facility Management and Maintenance,0.0134172888977679,0.0404992603331527,201.84384223768305,3760.0625
Skill subcat: General Shipping and Receiving,0.0458436825819117,0.1371779852855171,199.22985580491454,15365.708333333334
"Skill subcat: Water Supply, Testing, and Treatment",0.0031122762266276,0.0091930705353599,195.38093234485572,883.5416666666666
