,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
"Skill cat: Performing Arts, Sports, and Recreation",0.0048549517389434,1.399921841992385,28734.92807483715,122.79166666666667
Skill cat: Personal Care and Services,0.0028015773777505,0.0055907945478581,99.55881255534605,82.66666666666667
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0068882685675805,0.0097985711230544,42.25013190065181,173.88888888888889
Skill cat: Public Safety and National Security,0.022880373165843,0.0293613785813987,28.32561063833905,618.7083333333334
"Skill cat: Maintenance, Repair, and Facility Services",0.063058948987659,0.0764669423604497,21.26263375467091,1830.513888888889
Skill cat: Health Care,0.1335464072518437,0.1613511384993531,20.820276501392396,3769.0555555555557
"Skill cat: Transportation, Supply Chain, and Logistics",0.2123158931880725,0.2433523329397331,14.618048270257406,6218.194444444444
Skill cat: Manufacturing and Production,0.0709963797538134,0.0803545012313448,13.181124882679319,2255.0
Skill cat: Analysis,0.1931559664092302,0.2106077088286858,9.035052213961354,6057.361111111111
"Skill cat: Law, Regulation, and Compliance",0.350786942274213,0.3792155192691538,8.104228968910133,10256.902777777777
Skill cat: Property and Real Estate,0.0231758809902155,0.025003358830262,7.885257267320432,854.5972222222222
"Skill cat: Economics, Policy, and Social Studies",0.0656127836660405,0.0704804049920477,7.4187087546577715,1808.4583333333333
Skill cat: Administration,0.4607033687178258,0.4819304786811358,4.607543900186089,15042.75
Skill cat: Customer and Client Support,0.5174612928620276,0.5409844505223618,4.545877727439267,17251.98611111111
Skill cat: Energy and Utilities,0.0113397436750633,0.0115773952553802,2.0957403194175286,291.68055555555554
Skill cat: Hospitality and Food Services,0.0628580309287593,0.0618157778391508,-1.658106488874505,1830.986111111111
Skill cat: Marketing and Public Relations,0.2916452438236262,0.267261294024863,-8.360825460095466,9958.833333333334
Skill cat: Sales,0.5464961934021465,0.4997709032288892,-8.549975413803825,18771.416666666668
Skill cat: Education and Training,0.0841533781964398,-0.1875094510391339,-322.818685426305,2384.2083333333335
