,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill subcat: Agricultural Management and Operations,0.0,0.0003367115168413,inf,0.2777777777777778
Skill subcat: Search Engines,0.0,1.80666232519044e-05,inf,0.1111111111111111
Skill subcat: Science Software,0.0,3.956846776760668e-05,inf,0.6805555555555556
Skill subcat: Augmented and Virtual Reality (AR/VR),0.0,0.0001246201780801,inf,0.3333333333333333
Skill subcat: Road and Bridge Construction,0.0,9.14383230763066e-05,inf,0.8611111111111112
Skill subcat: Aquaculture,2.027081148226871e-05,110.66343811525566,545924951.9499687,0.041666666666666664
Skill subcat: Urban and Regional Planning,0.000126522439268,0.0733222814439448,57851.99797613247,20.02777777777778
Skill subcat: Health Care Administration,0.1193874330236634,33.88732225541433,28284.32940316058,2667.5555555555557
Skill subcat: Human Resources Management and Planning,0.0088397672553234,0.9341158949210892,10467.20010765617,191.08333333333334
Skill subcat: Office Management,0.0072800264319489,0.5157508399577018,6984.463837854949,197.66666666666666
Skill subcat: Insurance,0.0015684849513493,0.075803513346487,4732.913014643621,58.111111111111114
Skill subcat: Electrical Construction,7.07242597786865e-05,0.0029421852006312,4060.0791720380203,1.2916666666666667
Skill subcat: Technical Support and Services,0.0025884807157909,0.0751791489993239,2804.373540073031,40.416666666666664
Skill subcat: Web Content,5.758606638922844e-05,0.0015516342743182,2594.4613022021513,0.7638888888888888
Skill subcat: Student Support and Services,0.0024594253978508,0.0598091388239782,2331.8338290010006,139.30555555555554
Skill subcat: Manufacturing Standards,0.0013746466248979,0.033417579899486,2330.994212928581,46.65277777777778
"Skill subcat: Ear, Nose, and Throat",0.0022002757394245,0.0498917957346739,2167.524694324153,149.98611111111111
Skill subcat: Special Education,0.00392792488431,0.084229657400546,2044.3805541444874,170.36111111111111
Skill subcat: Employee Training,0.0111168617295203,0.1985574819569144,1686.0929351100444,265.65277777777777
Skill subcat: Blockchain,4.090163926504177e-05,0.0006611717753626,1516.4921192478878,0.2361111111111111
Skill subcat: Biotechnology,0.0007114414287633,0.0102358261769261,1338.7447459615978,25.916666666666668
Skill subcat: Microsoft Windows,4.346659074289062e-06,5.865790599144668e-05,1249.494059435539,0.7083333333333334
Skill subcat: Radio Frequency (RF),0.0006372578664678,0.0073256276473828,1049.5546830967141,8.86111111111111
Skill subcat: Nuclear Medicine,0.0022012538190675,0.0212375897022567,864.7951325873638,30.805555555555557
Skill subcat: Logistics,0.0001939904363839,0.0017454247334848,799.7478257282066,3.4166666666666665
Skill subcat: Hotels and Accommodations,4.57050838817465e-05,0.0004088790969801,794.6030993794902,0.2916666666666667
Skill subcat: Environmental Engineering and Restoration,3.748621654227464e-05,0.0003346494749069,792.726729381993,1.0555555555555556
Skill subcat: Malware Protection,1.740771770381301e-05,0.0001493002839621,757.6671939561443,0.6666666666666666
Skill subcat: Air Transportation,3.996167470806078e-05,0.0003000709050815,650.896721105064,2.2916666666666665
Skill subcat: Enterprise Application Management,0.0001109374259802,0.0008162604181549,635.7845298308845,2.611111111111111
