,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Skill subcat: Automotive Technologies,0.0042727714615572,0.0885597210505667,1972.6528869459203,1143.2708333333333
Skill subcat: Vehicle Repair and Maintenance,0.0214163933240085,0.1478579035836699,590.3959100242906,6055.708333333333
Skill subcat: Material Handling,0.0378864321301807,0.2546574234351031,572.1599504542434,12472.020833333334
"Skill subcat: Welding, Brazing, and Soldering",0.0058693437659444,0.0343924429153173,485.9674315699828,1735.6041666666667
Skill subcat: Oil and Gas,0.0042018542815101,0.0210255073523998,400.3863995217717,1358.1666666666667
Skill subcat: Roads and Drainage,0.0014653565411276,0.0069884062196095,376.90824884378526,459.0833333333333
Skill subcat: Product Inspection,0.0030393089843955,0.0121222659074354,298.84940852259035,1048.0833333333333
Skill subcat: General Shipping and Receiving,0.0458436825819117,0.1540174800323372,235.96227736972213,15365.708333333334
Skill subcat: Heavy Equipment Operation,0.0279111126871892,0.0911313511997533,226.50561882321978,9166.208333333334
Skill subcat: Radio Frequency (RF),0.0019441066402041,0.0063242676691828,225.30456603547498,715.2916666666666
Skill subcat: Hazardous Materials Management,0.0052428584895989,0.0162860091891049,210.63224806494532,1532.5625
Skill subcat: HVAC,0.0143724949166365,0.0412223122256712,186.81389323683396,4188.3125
Skill subcat: Inventory and Warehousing,0.103026152555447,0.2779758251953699,169.81093470006834,36450.354166666664
Skill subcat: Ground Passenger Transportation,0.0005691391322555,0.0015116192407138,165.5974883897455,157.29166666666666
Skill subcat: Machinery,0.0498612416120834,0.1292565382574919,159.23249016359793,14250.104166666666
Skill subcat: Logistics,0.0090108898509306,0.0186997092893598,107.52344772507219,2617.6458333333335
Skill subcat: Hand Tools,0.0120041703810321,0.0236296223226429,96.84510942947199,3781.9375
Skill subcat: Electrical and Computer Engineering,0.0181088521877139,0.0345258045995599,90.65705679007206,4876.875
Skill subcat: Power Tools,0.0099729394939458,0.0186877016972303,87.38408779653088,2881.8333333333335
Skill subcat: General Repairs and Maintenance,0.0157755443681628,0.027269996437179,72.86247498510143,4273.0
Skill subcat: Plant Operations and Management,0.0148822657596852,0.0255042149833469,71.37319945216719,4606.3125
Skill subcat: Waste Management,0.0021572047230068,0.0035640346460798,65.21541085410304,616.5208333333334
Skill subcat: Basic Electrical Systems,0.0141154602055381,0.0222981414000718,57.96963808040266,3948.7708333333335
Skill subcat: Equipment Repair and Maintenance,0.0180551456864978,0.0282215487339865,56.307510468284114,4912.916666666667
Skill subcat: Mechanical Engineering,0.0178728041830695,0.0266645210120955,49.19047251328469,5019.770833333333
Skill subcat: Physical Abilities,0.1097524928235464,0.1505433865593039,37.166257172252756,33999.708333333336
Skill subcat: Transportation Operations,0.0118162204442764,0.0155971550386445,31.997833928356755,3699.3125
Skill subcat: Language Competency,0.0884092996505473,0.1166893198781569,31.987608022449184,31181.020833333332
Skill subcat: Supply Chain Management,0.0321881978404363,0.0409560579752305,27.23936325437769,9251.208333333334
Skill subcat: Production and Assembly,0.0091191492763303,0.011430063269409,25.341333089884998,2864.8958333333335
Skill subcat: Manufacturing Standards,0.0140243142691874,0.0174844226970283,24.67221114292233,4303.770833333333
Skill subcat: Regulation and Legal Compliance,0.1508366308549703,0.1875811772348464,24.36049265460329,46648.5
Skill subcat: Transportation Security,0.0004229221582053,0.0005213096597008,23.263737684734785,111.70833333333333
Skill subcat: Metal Fabrication,0.0034174707910001,0.0039966639915551,16.948007341578567,1085.75
Skill subcat: Basic Technical Knowledge,0.0962293334838812,0.1077977903264122,12.021757216544326,33302.125
Skill subcat: Construction Painting,0.0068758422585642,0.007486479453914,8.88090756574908,1895.8958333333333
Skill subcat: Occupational Health and Safety,0.1006565045555513,0.1052617936996852,4.57525240367581,28043.520833333332
Skill subcat: Military Technology and Weapons,0.0003006100361056,0.0002982064438283,-0.7995715340839992,178.22916666666666
Skill subcat: Transportation Equipment Manufacturing,0.0002312501313884,0.0002239867811351,-3.140906433086828,62.229166666666664
Skill subcat: Agriculture and Crop Farming,0.0023466589060983,0.0022070547980159,-5.949058370588439,663.3333333333334
Skill subcat: Merchandising,0.0599907529568466,0.0548007015270188,-8.651419050467974,19772.0625
Skill subcat: Administrative Support and Clerical Tasks,0.1030068047956258,0.0935526677992799,-9.178167418263,32640.604166666668
Skill subcat: Cleaning and Janitorial Services,0.0487814696077991,0.0439284565242567,-9.948476588672735,14827.979166666666
Skill subcat: Communication,0.466441092839658,0.4052440174325215,-13.120000863254432,146151.58333333334
Skill subcat: Library and Archiving,0.0041145284049641,0.0033512260742741,-18.551392907364306,1107.7708333333333
Skill subcat: Training Programs,0.0102652140259198,0.0083345300490351,-18.808024577078438,2774.9583333333335
Skill subcat: Mathematics and Mathematical Modeling,0.0403415478319987,0.0323551543486611,-19.796943628927487,13348.375
Skill subcat: Roofing,0.0035749526554122,0.0028474870399983,-20.348958029208408,1225.375
Skill subcat: Rail Transportation,0.0004800875494516,0.0003821077866672,-20.408728136424596,135.41666666666666
Skill subcat: Business Solutions,0.0432983808449874,0.0328354912975633,-24.164620808529314,13098.333333333334
Skill subcat: Forestry,0.0004946212653511,0.0003739420380386,-24.398309528167488,169.3125
Skill subcat: Food Science and Processing,0.004630389502055,0.0034900696334841,-24.626867093250322,1622.7291666666667
Skill subcat: Scheduling,0.0646577663438855,0.0486752188485571,-24.718681759472535,20729.0625
Skill subcat: Environmental Regulations,0.003301686022784,0.0023251269511434,-29.577587478083693,871.3125
Skill subcat: Groundskeeping and Yard Care,0.0091436873141165,0.0063868908735149,-30.149723474746494,2481.5833333333335
Skill subcat: Insulation,0.0004551446660586,0.000306605266166,-32.635645536374476,120.10416666666667
Skill subcat: Air Transportation,0.0022502880509498,0.0015099656268858,-32.89900702941231,536.8541666666666
Skill subcat: Earth and Space Science,0.0027555618825713,0.0018359288502404,-33.37370276993243,763.1666666666666
Skill subcat: Geospatial Information and Technology,0.0027040936986009,0.0017789306785109,-34.21342317275027,805.0208333333334
Skill subcat: General Construction and Construction Labor,0.0205691102204971,0.0134013628035422,-34.84714380018367,6182.916666666667
Skill subcat: Construction Management,0.0141864604341264,0.0091461689872112,-35.528886647373085,4319.895833333333
"Skill subcat: Elements, Compounds, and Materials",0.0038198268136782,0.0024040444659652,-37.064045486127945,1025.9791666666667
Skill subcat: Personal Attributes,0.3440959338353446,0.2159238721208628,-37.24893237936783,108174.70833333333
Skill subcat: Retail Sales,0.03646706790889,0.0225805330063815,-38.07965843923311,13206.625
Skill subcat: Agricultural Research and Agronomy,0.0004213884429796,0.0002547837177182,-39.53708936186121,140.85416666666666
Skill subcat: Customer Service,0.294853594479653,0.1758389057839287,-40.363994512516335,94950.97916666667
Skill subcat: Sea and Waterway Transportation,0.0001505671594602,8.959984637324019e-05,-40.49177344218647,47.770833333333336
Skill subcat: Manufacturing Processes,0.0196239363100185,0.0114005596845949,-41.90482732674466,5617.291666666667
Skill subcat: Aerospace Engineering,0.0009366007584867,0.0005091410652445,-45.63947758625161,256.3541666666667
Skill subcat: Landscaping and Horticulture,0.0048779697158078,0.0026072182046586,-46.55116049184328,1359.0625
Skill subcat: Billing and Invoicing,0.0554660570057876,0.0294464718890677,-46.91082532512612,17456.333333333332
Skill subcat: Business Operations,0.2408526028709285,0.1271128293951144,-47.2238091347373,71845.83333333333
Skill subcat: Electronics Engineering,0.0048444966403111,0.0025420747702329,-47.52654488228409,1466.5208333333333
Skill subcat: Natural Gas,0.0006518511996242,0.0003287329798531,-49.56932194914752,175.02083333333334
Skill subcat: Emergency Services,0.0108022407042957,0.0053851314735919,-50.148014462865945,2571.125
Skill subcat: Road and Bridge Construction,0.0007945387906714,0.0003827072817963,-51.83277565681781,238.41666666666666
Skill subcat: Environmental Engineering and Restoration,0.0011311186842767,0.0005265613174793,-53.44773941065145,298.875
Skill subcat: Log Management,0.0009238345361283,0.0004281023355911,-53.6602801855368,438.9791666666667
"Skill subcat: Engineering, Scientific, and Technical Instruments",0.0094353444088937,0.0043350239209589,-54.0554776477186,2819.0625
Skill subcat: Initiative and Leadership,0.4289251133461503,0.1968891130574464,-54.09708899498422,131174.75
Skill subcat: Food and Beverage,0.0888955953488589,0.0382123801972577,-57.014315448028306,25830.6875
Skill subcat: Writing and Editing,0.1508013024726217,0.064531990008646,-57.20727278177063,46038.083333333336
Skill subcat: Manufacturing Design,0.0023349913449752,0.0009518327657256,-59.23613302576462,543.8958333333334
Skill subcat: Facility Management and Maintenance,0.0134172888977679,0.0053080811474235,-60.43849701778016,3760.0625
Skill subcat: Procurement,0.0454522196483569,0.0179069659749788,-60.60265898229651,13226.520833333334
Skill subcat: Specialized Sales,0.0200829841121406,0.007733258995417,-61.49347650610311,8142.333333333333
Skill subcat: Environmental Geology,0.0008559023304254,0.0003237580323159,-62.173483958737904,239.02083333333334
Skill subcat: Agricultural Management and Operations,0.0002875993251274,0.0001083089538557,-62.34033101165256,61.770833333333336
Skill subcat: Auditing,0.0638678442354475,0.0238161100348245,-62.710327364382465,19427.75
Skill subcat: Business Management,0.2606444744047371,0.0965490039912075,-62.957586493361404,82229.4375
Skill subcat: Social Skills,0.1200276049041955,0.0440483666471843,-63.30146995572965,35028.333333333336
Skill subcat: Critical Thinking and Problem Solving,0.3126452597933495,0.1127280469956455,-63.94378502007169,94904.33333333333
Skill subcat: Carpentry,0.0076331281246826,0.0027364527842098,-64.15030981386039,2315.8958333333335
Skill subcat: General Sales Practices,0.2148448871644699,0.0747465945514425,-65.20904195675746,73968.91666666667
Skill subcat: Electronics Manufacturing,0.0004513535789469,0.0001567820517294,-65.26402823808232,132.6875
Skill subcat: Office and Productivity Equipment and Technology,0.1939976762265628,0.0669232491468404,-65.50306660957979,62015.0
Skill subcat: Concrete and Masonry,0.002314226454144,0.0007962305744754,-65.59409417131072,634.8958333333334
Skill subcat: Safety and Surveillance Technology,0.0060117092602316,0.0019328143566669,-67.84917112587647,1915.125
Skill subcat: Textiles,0.0016370917030354,0.0005184172410775,-68.33303594928243,507.6875
Skill subcat: Accounts Payable and Receivable,0.0208477380681231,0.0065043944966976,-68.8004786157447,6801.1875
Skill subcat: Computer Hardware,0.0078942334129992,0.0024328761116574,-69.18160403451898,2422.6041666666665
Skill subcat: Telecommunications,0.0136550056515194,0.0040779617336132,-70.13577410596352,4239.020833333333
Skill subcat: Power Generation,0.0009996437611318,0.0002943852979875,-70.55097931545174,253.0
Skill subcat: Signal Processing,0.0012807100767434,0.0003747444764195,-70.73932006747357,351.5625
"Skill subcat: Company, Product, and Service Knowledge",0.027226472844604,0.0079070423686303,-70.958256643231,9682.416666666666
Skill subcat: Safety and Security,0.0178120997677291,0.0051241732534628,-71.23206516759764,5698.166666666667
Skill subcat: Process Improvement and Optimization,0.1114987313328448,0.0309335396323418,-72.2565994585182,31322.8125
Skill subcat: Plumbing,0.0123120924713121,0.003355423371443,-72.74692844241275,3507.0208333333335
Skill subcat: Document Management,0.0209463746509958,0.0056427584499103,-73.0609303808951,6113.916666666667
Skill subcat: Cash Register Operation,0.0460917853306629,0.0122757869547515,-73.36664903152504,13963.5
Skill subcat: Electronic Hardware,0.0033718680608846,0.0008883876108541,-73.65295453995213,1019.875
Skill subcat: Dictation,0.0043011164861994,0.0011155174459968,-74.064467921851,1394.9166666666667
Skill subcat: General Accounting,0.0823851328330917,0.0212286834888137,-74.23238543315578,25848.0
Skill subcat: Audio Production and Technology,0.0016253000914807,0.0004100536816245,-74.77058644284405,508.8541666666667
Skill subcat: Pulmonology,0.0051386791910326,0.001295421948652,-74.79076041733421,1548.0416666666667
Skill subcat: Employee Training,0.0342991983540211,0.008555833671757,-75.0552955102697,9816.1875
Skill subcat: Nuclear Medicine,0.0006170714579521,0.0001530832620604,-75.19197167724407,147.58333333333334
Skill subcat: People Management,0.0766248290898198,0.018890467428838,-75.34680644221137,24415.604166666668
Skill subcat: Criminal Investigation and Forensics,0.0021455304379533,0.0005251101594602,-75.52539222136966,723.2916666666666
"Skill subcat: Water Supply, Testing, and Treatment",0.0031122762266276,0.0007532256898184,-75.79823785003235,883.5416666666666
Skill subcat: Mergers and Acquisitions,0.008631055960196,0.0020668443945086,-76.05340060312082,2972.9583333333335
Skill subcat: Electrical Power,0.0046135469245787,0.0010982458696455,-76.19519455205736,1371.25
Skill subcat: Optical Engineering,0.0008042768007631,0.0001903126312097,-76.33742126726385,224.3125
Skill subcat: Appliance Repair and Maintenance,0.0027870002196757,0.0006454615979056,-76.84027459528843,810.2916666666666
Skill subcat: Customer Relationship Management (CRM),0.0476236350677319,0.0109573377450853,-76.99180726229442,15896.145833333334
Skill subcat: Project Management,0.1567055783580921,0.0353827226177931,-77.42089146505104,46521.208333333336
Skill subcat: Digital Design,0.0032152057368805,0.0007176093645209,-77.68076374430866,1012.875
Skill subcat: Geological Engineering,0.0012438746761528,0.0002758203110084,-77.82571537982516,335.9583333333333
Skill subcat: Medical Equipment and Technology,0.0141714187845112,0.0031314238912206,-77.90324357189188,4428.791666666667
Skill subcat: Construction Estimating,0.0020591271397237,0.0004493352668612,-78.17836217138621,676.2291666666666
Skill subcat: Automation Engineering,0.0092505420772514,0.0020141406012677,-78.22678298798509,2649.2291666666665
Skill subcat: Presentation Design,0.0017620292911211,0.000383299895989,-78.24667853590995,577.75
Skill subcat: Business Analysis,0.0584578789359206,0.0125575278758876,-78.51867343724068,16456.6875
Skill subcat: Drafting and Engineering Design,0.0220619573141447,0.0046971102601207,-78.70945812632311,6476.25
Skill subcat: Computer Science,0.1058629590959856,0.0216244873915123,-79.57313155028525,31422.416666666668
Skill subcat: Office Management,0.0181193870705236,0.0036949326663663,-79.60784958130746,5670.875
Skill subcat: Internet of Things (IoT),0.0031793044646526,0.0006348619852235,-80.03141906407913,948.5208333333334
Skill subcat: Energy Management,0.002759021092011,0.0005464815230238,-80.19291970597152,805.1458333333334
Skill subcat: Property Law,0.0035014404264334,0.0006879132373663,-80.35342163262179,1007.6666666666666
Skill subcat: Electrical Construction,0.0020896564563376,0.0004073817460044,-80.50484591527592,614.8333333333334
Skill subcat: Mobility Assistance,0.0018602649894743,0.0003602912599398,-80.6322614262812,629.1666666666666
Skill subcat: Payment Processing and Collection,0.0200321388174851,0.0038613504987566,-80.72422254089906,6636.1875
Skill subcat: Performance Management,0.0321459954864668,0.0060712077184051,-81.1136422234582,9115.208333333334
Skill subcat: Physics,0.0041701690319771,0.0007779536451268,-81.34479348051828,1220.6041666666667
Skill subcat: Contract Management,0.0286257618473191,0.0052969925858445,-81.49571489451701,8588.791666666666
Skill subcat: Childhood Education and Development,0.0159620129628201,0.0029218780404894,-81.69480223268046,5669.875
Skill subcat: Materials Science and Engineering,0.0043529582977807,0.0007930108971426,-81.78225374805666,1145.2916666666667
Skill subcat: Brand Management,0.016756619316528,0.0030073816369924,-82.05257528273589,5446.791666666667
Skill subcat: Electronic Trading,0.0005536405960848,9.894278481510962e-05,-82.12869765786562,226.52083333333334
Skill subcat: Electromechanical Engineering,0.0020563878611489,0.0003588743709376,-82.54831310193119,627.8958333333334
Skill subcat: Insurance and Warranty Claims Processing,0.004484522645293,0.0007749317621968,-82.71986065205455,1298.7916666666667
Skill subcat: Wireless Technologies,0.00422311404435,0.0007115751777406,-83.1504626617271,1215.4583333333333
Skill subcat: General Finance,0.0857568467110514,0.0142491989403938,-83.38418506873863,26207.479166666668
Skill subcat: Employee Relations,0.0145680022649278,0.0023958758633432,-83.55384753672624,3457.6875
Skill subcat: Financial Accounting,0.0137539749100156,0.0022513581981786,-83.63121779043549,4557.395833333333
Skill subcat: Air Quality and Emissions,0.0008414602004799,0.0001371086004578,-83.70587219935007,160.70833333333334
Skill subcat: Civil and Architectural Engineering,0.0072344120375347,0.0011684699884931,-83.84844570048455,2020.5833333333333
Skill subcat: Process Engineering,0.0097767584435087,0.0015747739075715,-83.89267857367311,2768.8958333333335
Skill subcat: Networking Hardware,0.0069776561997749,0.0011190156917566,-83.96287148981774,1945.3333333333333
Skill subcat: General Networking,0.0178614333616584,0.0028264433647287,-84.17571922981286,5683.520833333333
Skill subcat: Child Care,0.0004650007728064,7.288996583722614e-05,-84.32476458107449,168.79166666666666
Skill subcat: Industrial Engineering,0.0040694547820438,0.0006126011832861,-84.94635728625953,1098.2916666666667
Skill subcat: Telecommunications Equipment and Installation,0.0010632487334743,0.0001596902807915,-84.98091032098466,359.6041666666667
Skill subcat: Supplier Management,0.0146758971785322,0.0022021156840158,-84.99501831317652,4147.291666666667
Skill subcat: Business-to-Business (B2B) Sales,0.0161817325931755,0.0024264406077377,-85.0050630007257,5459.833333333333
Skill subcat: Environment and Resource Management,0.0078748431565157,0.0011683118897068,-85.16399798083431,1824.7083333333333
Skill subcat: Natural Language Processing (NLP),0.0014011142142481,0.0002071402272457,-85.21603555661159,407.0625
Skill subcat: Cost Accounting,0.011939633594447,0.0017541839231748,-85.3078914918239,3669.6458333333335
Skill subcat: Eye Care,0.0040473313324721,0.0005784740621788,-85.70727191179898,1121.125
Skill subcat: Biology,0.0088816358856996,0.0012589174983754,-85.82561236942404,2504.9375
Skill subcat: Disaster Management,0.0056403652858615,0.0007988983606182,-85.83605280635334,1407.0416666666667
Skill subcat: General Science and Research,0.1008932298617566,0.0142223972033932,-85.90351679405977,30086.958333333332
Skill subcat: Animal Care,0.0016134258690525,0.0002257943441253,-86.00528549490161,470.6041666666667
Skill subcat: Mainframe Technologies,0.0010305344274521,0.0001432916114168,-86.09540762543226,379.5625
Skill subcat: Cannabis,0.0011388291522103,0.0001579775669355,-86.128071394301,254.72916666666666
Skill subcat: Technical Support and Services,0.0242961838433708,0.0033061652945278,-86.39224449468476,7279.895833333333
Skill subcat: Counseling Services,0.0099355635097825,0.0013449649757314,-86.46312336077209,2742.125
Skill subcat: Livestock Farming,0.0004862054143438,6.42454711050454e-05,-86.78635218578276,122.66666666666667
Skill subcat: Advertising,0.0066236360651303,0.0008666271468327,-86.9161418545472,2176.4791666666665
Skill subcat: Sales Management,0.0250441210291397,0.003254506691826,-87.00490750687848,9984.375
Skill subcat: Artificial Intelligence and Machine Learning (AI/ML),0.0124121149900873,0.0016094372972788,-87.03333558733425,3341.875
Skill subcat: Promotions and Campaigns,0.0154674686707701,0.0019546705114475,-87.36269939798636,4904.854166666667
Skill subcat: Sales Analysis,0.0046056984636972,0.0005798506861342,-87.41014656724339,1657.1458333333333
Skill subcat: First Aid,0.0182226696070208,0.0022871562271387,-87.4488410509429,4785.416666666667
Skill subcat: Surgery,0.0142967826791528,0.00178866899575,-87.48901038862267,4479.5
Skill subcat: Litigation and Civil Justice,0.0159836882980692,0.0019692398789619,-87.67969043040097,4759.770833333333
