,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Synapse Citrix,0.0005801033987892,0.000752572435952,29.73074067877896,98.81666666666666
Infrastructure Architecture,0.0004380005986606,0.0005054581925063,15.401256083207295,294.26666666666665
Companionship,0.0027054000736307,0.0030657892921543,13.321106258415632,1448.5333333333333
User Interface (UI) Design,0.001034250307695,0.0011510583126607,11.293978265863542,522.1
Psychology,0.0154602191251336,0.0165249610839505,6.886978445770891,3703.7166666666667
Futures Exchange,0.0012034117939807,0.001282535473806,6.574946350124365,335.73333333333335
Supply Chain Strategy,0.0002933021967485,0.0003121605447563,6.429664767894872,106.45
Retail Sales,0.0161735874908619,0.0170798328552513,5.6032427246053516,6152.616666666667
Public Cloud,0.0023787132339044,0.0025046636071545,5.294895217081982,838.8666666666667
Product Promotion,0.0012496948077907,0.0013036983474928,4.3213382471814334,358.9166666666667
Statistical Programming,0.0003474211765074,0.0003621511562893,4.239804818456781,112.2
Coordinating,0.0733813177443028,0.0761653865167008,3.793974894398982,20513.366666666665
Promotional Strategies,0.0007180931385679,0.000744325373108,3.653040689459192,273.51666666666665
Amazon DynamoDB,0.000727216725406,0.0007534840088374,3.612029607368452,313.8666666666667
Splunk,0.0015309248844137,0.0015795071135273,3.1733907788823728,610.0833333333334
Goal-Oriented,0.0050174482736855,0.0051427055391378,2.4964336176463253,2377.45
Microservices,0.0054627218909714,0.0055590038289277,1.7625268113214965,2019.7
Overcoming Obstacles,0.002043069033303,0.0020744195411438,1.5344810835939395,627.0333333333333
Specimen Preparation,0.0005405452910427,0.000547564374032,1.2985189410789948,206.05
International Trade,0.0003029490095343,0.0003047198525901,0.5845350207687293,89.88333333333334
Go (Programming Language),0.0019575481293885,0.0019623629454826,0.2459615690575141,772.9166666666666
Node.js (Javascript Library),0.0031738166105877,0.0031767759925973,0.093243636060372,1647.9
Team Effectiveness,0.0006750854990081,0.0006741033309814,-0.14548794606655552,222.63333333333333
NoSQL,0.0037275821167449,0.0037189705783166,-0.23102209847008617,1550.6666666666667
Legislation,0.0008428352938802,0.0008390491461267,-0.44921561555278466,213.36666666666667
Detail Oriented,0.1259934959447645,0.1251130491229267,-0.6988033907907332,43346.433333333334
Business Continuity,0.0013961384142304,0.0013830919071999,-0.9344708875224097,503.8
Visualization,0.0001911022707386,0.0001887617579312,-1.2247435880034585,86.35
Contingency Planning,0.0017817667868069,0.0017594762086701,-1.251037919319786,515.05
Ballasts,0.0004412727418313,0.0004347032385421,-1.488762542172051,118.71666666666667
User Research,0.000859001758709,0.0008456924645429,-1.5493907935767932,441.26666666666665
Communications,0.3671571434381659,0.3614434330727511,-1.5562029685463703,115179.93333333333
Sprinklr,0.0001762000726967,0.0001715634808952,-2.6314358050698137,59.43333333333333
Mental Health,0.0104205631510147,0.0101349184265548,-2.7411639881678114,2246.766666666667
Snow Removal,0.0025118251248201,0.0024429480426478,-2.7421129557031967,809.0666666666667
Interpersonal Communications,0.088068808471262,0.085509460102972,-2.9060781140523178,26596.15
Accounting,0.0565262946456565,0.0547575172669352,-3.129123162608024,18124.083333333332
Reverse Logistics,0.0012227485024291,0.0011837705753815,-3.1877305079635514,390.65
TypeScript,0.0020292925880806,0.0019623569602169,-3.298471016789691,657.6666666666666
Middle Management,0.0001722421491517,0.0001665401069298,-3.3104801873309206,61.28333333333333
Memos,0.0081421018802185,0.0078434899529515,-3.6675041857740363,2616.4
Care Coordination,0.0087646968456368,0.0084345394879376,-3.7668999112451735,2059.0833333333335
Backup Devices,0.0019774214224556,0.0019028313111081,-3.7720897781552605,577.8
