,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Audit Risk,0.0066943584649437,414525177.2930171,6192156865472.081,11.541666666666666
Risk Based Internal Auditing,0.0075114449019138,786484.625892286,10470483757.132492,10.0
Auditor's Report,0.0103476304317786,7403.226833787343,71545041.49491943,33.625
Business Operations,0.0160940479896191,1077.6614734444595,6695924.978548389,121.41666666666667
Electrical Wiring,0.0071255416484483,22.573073314179965,316690.98134379176,44.763888888888886
Database Management Systems,0.0091217867356497,4.290202504665379,46932.4798090098,35.708333333333336
Emerging Risk,0.0084931816834185,2.974092454187799,34917.412379087706,16.75
Consolidation,0.0048034213532133,0.7187489373336609,14863.270645679375,49.47222222222222
Triage,0.0225130117125655,2.8080543579933006,12373.028459475292,169.83333333333334
Cisco Meraki,0.0104791356393878,0.886100728182995,8355.85703512052,58.43055555555556
Test Design,0.0072262211473784,0.5118938848231563,6983.839179331873,20.27777777777778
Accounting,0.0531430974233422,3.3731720766436237,6247.338111989715,323.59722222222223
Taking Meeting Minutes,0.0109706222796317,0.6702178891274074,6009.205768315885,34.263888888888886
Top Secret-Sensitive Compartmented Information (TS/SCI Clearance),0.008722052034852,0.4888030135357394,5504.220332354777,30.055555555555557
Expectation Management,0.0192649073405585,0.8012392765705965,4059.061148888807,116.61111111111111
Model Based Systems Engineering,0.0055746517287333,0.1810379277859403,3147.51996349513,10.402777777777779
C# (Programming Language),0.0224197331120061,0.6300093454965794,2710.0662142101955,233.75
Internal Auditing,0.0238793188889626,0.6613294414069405,2669.465261894959,140.41666666666666
Internet Protocol Telephony,0.0068036057137595,0.1684081886191385,2375.2784876782694,18.819444444444443
Business Administration,0.0317251383134362,0.5737080878159695,1708.3706433298455,159.375
Integrated Product Team,0.0064097981049412,0.11372823991196,1674.2873964203163,16.208333333333332
Top Secret Clearance,0.0082176072289612,0.1448048645087051,1662.1292971799785,24.583333333333332
Training And Development,0.0165433596378062,0.284688056473051,1620.859986761451,151.26388888888889
Mechanical Engineering,0.010794470631851,0.1672009576205592,1448.9500441754237,41.388888888888886
Auditing,0.1053487580383232,1.602443978071335,1421.0848309084067,751.8055555555555
Antenna,0.0065064539297281,0.0798779511617829,1127.6725851668475,21.25
Apache Maven,0.0039835659322325,0.0456815308381748,1046.7497115724557,67.81944444444444
Software Design,0.0087487131192496,0.0947313890114696,982.8036960434126,80.26388888888889
Product Lining,0.0098751016314684,0.1013371348158449,926.1882722595974,48.80555555555556
Project Stakeholders,0.0118570015670668,0.1199261375063072,911.4373083951162,75.33333333333333
Stakeholder Communications,0.0096268644143853,0.0846076952886015,778.8707480098433,51.513888888888886
