,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill subcat: Poison Control,0.0,3.0349243077967536e-78,inf,0.08333333333333333
Skill subcat: Digital Design,0.000801382832677,0.0011094229542754,38.438572557063566,45.93055555555556
Skill subcat: Data Storage,0.002223984625197,0.0029055202704423,30.644800216859846,92.375
Skill subcat: Virtualization and Virtual Machines,0.0019610526267599,0.0024490371696529,24.883806596218694,80.04166666666667
Skill subcat: Animal Care,0.001098732649689,0.0013664091737875,24.36229815999979,38.47222222222222
Skill subcat: Animation and Game Design,0.0008837153045883,0.0010759654680366,21.75476224640745,35.02777777777778
Skill subcat: Education Software and Technology,0.0035543126270966,0.0042845999674737,20.546513967558553,99.81944444444444
Skill subcat: Genetics,0.0011802844280862,0.001413314804145,19.743577947279434,32.47222222222222
Skill subcat: Augmented and Virtual Reality (AR/VR),0.0004759158848767,0.0005682716482977,19.40590057104891,15.722222222222221
Skill subcat: Intelligence Collection and Analysis,0.0014471378130135,0.0017165383761103,18.616095901454177,55.56944444444444
Skill subcat: Medical Imaging,0.0025201987200569,0.0029656912639782,17.676881603655517,78.79166666666667
Skill subcat: Statistical Software,0.0035353514790239,0.0040869209658783,15.60154598848222,126.31944444444444
Skill subcat: Industrial Engineering,0.0014036284215147,0.0016154269320122,15.089357500252202,44.083333333333336
Skill subcat: Computer-Aided Manufacturing,0.0004879873684504,0.0005564068766167,14.020753935407296,16.25
Skill subcat: Other Programming Languages,0.0026238393583917,0.0029858364567786,13.796465748908822,93.625
Skill subcat: Government Assistance,0.0016705484009119,0.0018979617864823,13.613097677760313,47.458333333333336
Skill subcat: General Medical Tests and Procedures,0.0056414972067368,0.0063097420576999,11.845168515994553,177.61111111111111
Skill subcat: IT Automation,0.0027129547535128,0.0030119471570844,11.020913754070435,96.58333333333333
Skill subcat: Mobile Development,0.0011013232675074,0.0012110208963898,9.960529493822104,45.68055555555556
Skill subcat: Cardiology,0.0014833805302818,0.0016296813963447,9.862665922621137,54.236111111111114
Skill subcat: Emergency Services,0.0049043905223093,0.005346466198717,9.01387592192684,126.05555555555556
Skill subcat: Animal Health and Veterinary Medicine,0.0016002590948942,0.0017410895446366,8.800478009575748,49.84722222222222
Skill subcat: Heavy Equipment Operation,0.0055931343278076,0.0060835984943502,8.769039643910213,163.5
Skill subcat: Clinical Trials,0.0036071560591571,0.0039131000060971,8.481583328321303,94.29166666666667
Skill subcat: Laboratory Research,0.0044700365805377,0.0048332508000737,8.12553125666612,125.34722222222223
Skill subcat: Distributed Computing,0.0018982338974058,0.0020520938172541,8.105424734990287,55.736111111111114
Skill subcat: Software Quality Assurance,0.0061823840841181,0.0066705952835238,7.8968112100939125,208.54166666666666
Skill subcat: Nutrition and Diet,0.0013582181446558,0.0014606968742517,7.545086185096592,40.27777777777778
Skill subcat: Infectious Diseases,0.0062369808019628,0.0066842123928462,7.170642416321936,107.04166666666667
Skill subcat: Graphic and Visual Design,0.0107009561192145,0.0114154629896975,6.677037663952669,310.4583333333333
Skill subcat: Student Support and Services,0.0027030422730304,0.0028789211700275,6.50670168024863,70.04166666666667
Skill subcat: Office Management,0.0271480915411094,0.0289005328106423,6.455117726707381,986.4305555555555
Skill subcat: Application Programming Interface (API),0.003614308393515,0.0038381521341771,6.193266215570679,116.125
Skill subcat: Identity and Access Management,0.0049600665535751,0.0052587656528314,6.022078454592616,149.79166666666666
Skill subcat: Business Intelligence Software,0.0213362625426801,0.0225723655327976,5.793437288488818,582.4861111111111
Skill subcat: Cloud Computing,0.0060987353538114,0.0064457009386942,5.689139874973648,234.79166666666666
Skill subcat: Creative Design,0.0095101204155408,0.0100249944789788,5.413959455199192,301.5
Skill subcat: Manufacturing Standards,0.0038295013195899,0.004028898099389,5.2068601929729414,112.76388888888889
Skill subcat: Statistics,0.0085296474416884,0.0089587890730526,5.03117666114525,297.4861111111111
Skill subcat: Groundskeeping and Yard Care,0.0063097740071165,0.0066153892617056,4.84352140416457,162.18055555555554
Skill subcat: Query Languages,0.0116613152206856,0.0122129336706155,4.730327921771658,350.31944444444446
Skill subcat: Injury Treatment,0.0006582636849402,0.000689319333849,4.717812879442256,26.569444444444443
Skill subcat: Photo/Video Production and Technology,0.0070672152291264,0.007383648906718,4.477487487397705,234.23611111111111
Skill subcat: Employee Relations,0.0121697572547196,0.01271251378266,4.459879655610316,331.25
Skill subcat: Agile Software Development,0.0172979314696659,0.0180390219600854,4.2842723230757125,546.625
Skill subcat: User Interface and User Experience (UI/UX) Design,0.0046334768725759,0.0048307902051382,4.2584292096100835,158.66666666666666
"Skill subcat: Molecular, Cellular, and Microbiology",0.0016905766650104,0.0017610684101583,4.169686392037496,47.583333333333336
Skill subcat: Journalism,0.0043478923804067,0.0045283285988717,4.14996974805808,158.75
Skill subcat: Medical Science and Research,0.0056744434003514,0.0059003421599885,3.980985335462347,168.04166666666666
Skill subcat: Content Development and Management,0.0184800018060288,0.0192116963423479,3.9593856320966285,636.0
Skill subcat: Air Transportation,0.0023969654326595,0.0024887707130618,3.8300627598304473,64.93055555555556
Skill subcat: Product Development,0.0307256798032206,0.0318577145342421,3.6843276968044165,1128.361111111111
Skill subcat: Network Security,0.0024819670257601,0.0025706959299059,3.5749429071736727,81.06944444444444
Skill subcat: Aerospace Engineering,0.0006082381673209,0.0006286441653731,3.354935475700601,18.555555555555557
Skill subcat: Energy Management,0.0013825609391316,0.0014285792054156,3.328480140116244,51.34722222222222
Skill subcat: Insurance and Warranty Claims Processing,0.0053574711262121,0.0055284970043545,3.192287445202166,188.79166666666666
Skill subcat: Networking Hardware,0.0016846798486431,0.001737302372312,3.1235919223040596,67.18055555555556
Skill subcat: Social Media,0.0274111933390079,0.0282651734935622,3.115443184077038,942.5
Skill subcat: Emergency and Intensive Care,0.0048663787199873,0.0050118687083633,2.989697200886577,129.51388888888889
Skill subcat: Engineering Practices,0.0032868874218851,0.0033844632558585,2.9686393675582115,112.18055555555556
Skill subcat: Enterprise Information Management,0.0034315483316876,0.0035238747852907,2.69051881771674,104.81944444444444
Skill subcat: Data Collection,0.0103790384936184,0.0106495701076128,2.606519035079572,316.9583333333333
Skill subcat: Public Health and Disease Prevention,0.0033202871526538,0.0034066523239919,2.601135605668057,95.76388888888889
Skill subcat: Databases,0.0101914870837061,0.0104182288684556,2.224815504226167,335.7361111111111
Skill subcat: Mental Health Therapies,0.0026062282715665,0.002660094765435,2.0668371399456493,83.59722222222223
Skill subcat: Enterprise Application Management,0.006751567584226,0.00688697027265,2.0055000077366834,268.40277777777777
Skill subcat: Inventory and Warehousing,0.0750821504667529,0.076524179666029,1.9206018878143847,2300.6111111111113
Skill subcat: Oncology,0.002610709177163,0.0026603348823807,1.9008515253938443,79.80555555555556
Skill subcat: Public Relations,0.022853254582615,0.0232477750645385,1.726320776313501,800.0
Skill subcat: Web Design and Development,0.0122701166896095,0.0124582080460016,1.532922311581419,466.5138888888889
Skill subcat: Content Management Systems,0.0043802517416345,0.0044473826484517,1.5325810199244332,178.75
Skill subcat: Personal Attributes,0.4509957125658773,0.457456564642742,1.4325750548949967,15353.055555555555
Skill subcat: Data Management,0.0292076236227973,0.0296020188648915,1.3503160927695792,870.7361111111111
Skill subcat: Media Production,0.0062678382209467,0.0063519523251211,1.3419954569551082,204.88888888888889
Skill subcat: Operating Systems,0.007783618590233,0.0078748843124987,1.1725358996935074,264.1388888888889
