,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill cat: Design,0.034910521176116,0.0366918615412731,5.102588861881007,1145.8055555555557
Skill cat: Manufacturing and Production,0.0709963797538134,0.0720734011055142,1.517008832612983,2255.0
Skill cat: Environment,0.0109602030506938,0.0110864300745106,1.1516850849657403,261.15277777777777
Skill cat: Customer and Client Support,0.5174612928620276,0.5180220911929755,0.10837493329137503,17251.98611111111
Skill cat: Media and Communications,0.7055533236561927,0.7026456011988099,-0.41211944723255195,23344.63888888889
Skill cat: Administration,0.4607033687178258,0.4584731892834318,-0.48408142545186655,15042.75
Skill cat: Science and Research,0.1461160625438798,0.1448582674745818,-0.8608191648473037,4680.097222222223
Skill cat: Sales,0.5464961934021465,0.5414864479382209,-0.9167027189591315,18771.416666666668
Skill cat: Business,0.7090914027657064,0.6964831740444465,-1.7780822996983674,22720.777777777777
Skill cat: Health Care,0.1335464072518437,0.1299965865568888,-2.65811770455238,3769.0555555555557
"Skill cat: Maintenance, Repair, and Facility Services",0.063058948987659,0.060776904811939,-3.6189061383922008,1830.513888888889
Skill cat: Analysis,0.1931559664092302,0.1856305992654593,-3.896005535665027,6057.361111111111
Skill cat: Information Technology,0.3499253060449156,0.3358919607663937,-4.010383083503145,11507.541666666666
"Skill cat: Economics, Policy, and Social Studies",0.0656127836660405,0.0626853478847691,-4.461685082851571,1808.4583333333333
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0068882685675805,0.0065807583261507,-4.464260334985936,173.88888888888889
Skill cat: Finance,0.4855761132809012,0.4626213027931918,-4.727335192130894,15283.861111111111
"Skill cat: Law, Regulation, and Compliance",0.350786942274213,0.3340991190024691,-4.757253267055446,10256.902777777777
Skill cat: Engineering,0.0419840866774223,0.0399589269971503,-4.823636383546888,1171.5972222222222
Skill cat: Human Resources,0.1179943328269102,0.1112768133528244,-5.693086534876175,3217.1805555555557
Skill cat: Physical and Inherent Abilities,0.7848289783818228,0.7370728473910919,-6.084909235792421,25756.23611111111
Skill cat: Public Safety and National Security,0.022880373165843,0.0213969670481403,-6.4833126057454615,618.7083333333334
Skill cat: Social and Human Services,0.0188074041129013,0.01756093329749,-6.627553743880369,539.4583333333334
"Skill cat: Transportation, Supply Chain, and Logistics",0.2123158931880725,0.1919447245530454,-9.594745041993646,6218.194444444444
Skill cat: Property and Real Estate,0.0231758809902155,0.0208123566541651,-10.198207080232427,854.5972222222222
Skill cat: Personal Care and Services,0.0028015773777505,0.0024694333457625,-11.855608009466872,82.66666666666667
Skill cat: Energy and Utilities,0.0113397436750633,0.0098592449915397,-13.055839055509647,291.68055555555554
Skill cat: Architecture and Construction,0.0366153807274431,0.0316449781508621,-13.574630327019117,1117.638888888889
Skill cat: Marketing and Public Relations,0.2916452438236262,0.2436574905336941,-16.45415253846997,9958.833333333334
"Skill cat: Performing Arts, Sports, and Recreation",0.0048549517389434,0.0039380824824834,-18.885239354810583,122.79166666666667
Skill cat: Hospitality and Food Services,0.0628580309287593,0.049895624712568,-20.62171853725797,1830.986111111111
Skill cat: Education and Training,0.0841533781964398,0.0414163765907408,-50.784653595174426,2384.2083333333335
