,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill subcat: Funeral and Mortuary Services,0.0,0.173855179895061,inf,0.3194444444444444
Skill subcat: Aquaculture,0.0,3.0010714765231667e-06,inf,0.16666666666666666
Skill subcat: Data Storage,0.0397155017569794,108.83491025329404,273936.34711518645,346.7638888888889
Skill subcat: Statistical Software,0.0066404906982287,2.577550126208404,38715.65750699637,78.77777777777777
Skill subcat: Food Science and Processing,0.0020855381112452,0.1573444661869703,7444.5500294897765,11.097222222222221
Skill subcat: Backup Software,0.0310115011534306,2.192355474397304,6969.491617160164,268.0
Skill subcat: Genetics,0.0014663349144148,0.0505511980700236,3347.4523912020522,10.708333333333334
Skill subcat: Pathology,0.0028322483932465,0.0920259305975773,3149.2182118282158,18.916666666666668
Skill subcat: Urology,5.473094268575681e-06,0.0001662752370999,2938.0481120996938,0.5694444444444444
Skill subcat: Equipment Repair and Maintenance,0.0129297622724141,0.3527193517322654,2627.9647088701618,94.76388888888889
"Skill subcat: Ear, Nose, and Throat",0.0001278203739003,0.0023049320679228,1703.2587431802142,1.5555555555555556
Skill subcat: Fundraising and Crowdsourcing,0.0029378952720626,0.028350358917715,864.988751890095,16.208333333333332
Skill subcat: Transportation Equipment Manufacturing,0.000159718183766,0.0015199822977954,851.6651529310504,1.3055555555555556
Skill subcat: Air Transportation,0.0062700262868727,0.0592478287755595,844.9374861410755,23.444444444444443
Skill subcat: Mining Engineering,1.1920087731845703e-05,7.618429444802778e-05,539.1252829833948,0.6388888888888888
Skill subcat: Clinical Trials,0.0028845698632523,0.0166681816306538,477.8394152624451,32.56944444444444
Skill subcat: Health Information Management and Medical Records,0.0224805495916607,0.1229705351451301,447.00858021169904,211.09722222222223
Skill subcat: Animation and Game Design,0.0038166673646251,0.0186581274098456,388.85914404747535,38.22222222222222
Skill subcat: Natural Language Processing (NLP),0.0027706497553723,0.012933196790633,366.7929161943145,20.75
Skill subcat: Mathematical Software,0.0109867765048922,0.0412820917765476,275.7434381063952,44.15277777777778
Skill subcat: Property Management,0.0022713361808807,0.0080817987933144,255.81693548247534,21.27777777777778
Skill subcat: Hotels and Accommodations,0.0006656941340384,0.0023446067899581,252.20481450462256,4.083333333333333
Skill subcat: Wind Energy,6.67920532025355e-05,0.0002318388011079,247.1053665694157,0.4166666666666667
Skill subcat: Photo/Video Production and Technology,0.008901881047779,0.030895445258773,247.06648058930588,58.56944444444444
Skill subcat: Process Engineering,0.0233069252880386,0.0729029430656729,212.79519784228077,127.31944444444444
Skill subcat: Financial Advisement,0.0002725392686428,0.000848868211992,211.4663865575122,4.513888888888889
Skill subcat: Cardiology,0.0015203260170235,0.0044853606161139,195.02623555014574,8.833333333333334
Skill subcat: Agricultural Management and Operations,0.0002758769219166,0.0008071273888742,192.56792603993227,3.2083333333333335
Skill subcat: Audio Production and Technology,0.0059329063493666,0.0172346038949294,190.4917569914006,25.569444444444443
Skill subcat: Energy Efficiency,0.0007854425001931,0.0022638273668011,188.22318199544094,3.888888888888889
Skill subcat: Dance,4.295187773884409e-05,0.0001203876867183,180.28503771192715,0.20833333333333334
Skill subcat: Climate Change,2.830211423413435e-05,7.879281537738958e-05,178.3990437094621,0.5138888888888888
Skill subcat: Digital Design,0.0017794322877683,0.0047160223464107,165.02960403878959,26.416666666666668
Skill subcat: Sales Analysis,0.0015032985270683,0.0038514430003078,156.19947940871072,12.944444444444445
Skill subcat: Supply Chain Management,0.0466099376371054,0.1112912644234494,138.7715368553771,338.125
Skill subcat: Green Architecture,0.0004904463838027,0.0011220173788577,128.77472765893054,2.8194444444444446
Skill subcat: Military Technology and Weapons,0.000322325896282,0.0007351606219127,128.07991240936926,4.875
Skill subcat: Nuclear Energy,0.0006532328001676,0.0014145590997333,116.54746965712168,3.1527777777777777
Skill subcat: Construction Inspection,0.0080099303108748,0.0154778711277123,93.23353046778122,44.0
Skill subcat: Hospitality Services,0.0020657773557969,0.0039643116552493,91.90411029169287,10.88888888888889
Skill subcat: Electronic Hardware,0.0062226347931704,0.0119208074332159,91.57170281469,39.52777777777778
Skill subcat: Journalism,0.0022618951407809,0.0043049870950753,90.32655481938212,14.472222222222221
Skill subcat: Clean Energy,0.0026580069771228,0.005028013726638,89.16480543179952,7.486111111111111
Skill subcat: Civil and Architectural Engineering,0.0077589429480531,0.0145907723941918,88.0510333930599,39.81944444444444
Skill subcat: Manufacturing Processes,0.011066842961021,0.0204341694370368,84.64316796586762,65.91666666666667
Skill subcat: Pharmacology and Drug Discovery,0.0028150816923675,0.0049984277599771,77.55888838072738,27.86111111111111
Skill subcat: Media Production,0.0083326751094669,0.014397528396005,72.78398841744965,73.34722222222223
Skill subcat: Obstetrics and Gynecology (OBGYN),0.0009827511604544,0.0016975232766562,72.73174990414734,4.097222222222222
Skill subcat: Construction Painting,0.000325162476776,0.0005545207903192,70.5365255601746,7.527777777777778
Skill subcat: Simulation and Simulation Software,0.008184913984704,0.0135963871254908,66.11521087331869,43.0
Skill subcat: Employee Relations,0.0052758608671564,0.0087207613382217,65.29551399868592,44.583333333333336
Skill subcat: Graphic and Visual Design Software,0.0079150913835545,0.0130654745851733,65.07041993627459,77.15277777777777
Skill subcat: Engineering Software,0.0125680031856861,0.0207018216100424,64.7184624652231,72.23611111111111
Skill subcat: Automotive Technologies,0.0066241374957388,0.0107876144323682,62.85311769732582,22.166666666666668
"Skill subcat: Engineering, Other",0.0134439300179724,0.0217943464952928,62.11291241591721,81.98611111111111
Skill subcat: Student Support and Services,0.002348639691911,0.0037877007717826,61.2721093332409,16.319444444444443
Skill subcat: Art and Illustration,0.0012240783046228,0.0019337386555264,57.975077919731774,8.36111111111111
Skill subcat: Pediatrics,0.0008345840998881,0.0012782968364405,53.16573088462773,4.0
Skill subcat: Compensation and Benefits,0.0078395562583124,0.0117577342654971,49.97958912572631,51.18055555555556
Skill subcat: Occupational Health and Safety,0.0256452075510951,0.0384522257703098,49.939226242167095,149.79166666666666
