,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill subcat: Digital Marketing,0.0,5.041786443935851e-32,inf,0.3194444444444444
Skill subcat: Image Analysis,0.0,8.231462050429957e-43,inf,0.08333333333333333
Skill subcat: Data Storage,0.0,2.6292110199793526e-05,inf,2.2777777777777777
Skill subcat: General Lending,0.0,1.9171772632686538e-29,inf,0.6527777777777778
Skill subcat: Genetics,0.0,3.9037770650118864e-58,inf,0.125
Skill subcat: Ground Passenger Transportation,0.0,1.5131788707038497e-39,inf,0.08333333333333333
Skill subcat: Servers,0.0,1.901648383111132e-05,inf,1.3472222222222223
Skill subcat: Anesthesiology,0.0,3.998627310176575e-36,inf,0.2361111111111111
Skill subcat: Beauty and Body Treatments and Alterations,0.0,6.048658883743685e-38,inf,0.06944444444444445
Skill subcat: Sports and Recreation,0.0,4.1487028207768905e-35,inf,0.25
Skill subcat: Middleware,0.0,3.609351656483294e-05,inf,0.4305555555555556
Skill subcat: Biotechnology,0.0,1.2401709048861184e-38,inf,0.1111111111111111
Skill subcat: Java,0.0,5.360138178599457e-52,inf,0.16666666666666666
Skill subcat: Content Management Systems,0.0,1.963366142425111e-06,inf,0.08333333333333333
Skill subcat: Mental Health Diseases and Disorders,0.0,6.98954595095939e-35,inf,0.1527777777777778
Skill subcat: Education Software and Technology,0.0,3.085195136890808e-44,inf,0.25
Skill subcat: Clinical Trials,0.0,1.1495403352585158e-22,inf,0.041666666666666664
Skill subcat: Online Advertising,0.0,4.911412144158701e-05,inf,0.1111111111111111
Skill subcat: Alternative Therapy,0.0,7.003537359501766e-18,inf,0.041666666666666664
Skill subcat: Theatre and Performance Art,0.0,3.3059813200394603e-15,inf,0.08333333333333333
Skill subcat: Dermatology,0.0,3.811077062045295e-42,inf,0.041666666666666664
Skill subcat: Banking Services,0.0,0.0001704740055757,inf,0.4583333333333333
Skill subcat: Query Languages,0.0,4.5719388485853494e-34,inf,0.2361111111111111
Skill subcat: Mainframe Technologies,0.0,1.419503879615887e-38,inf,0.05555555555555555
Skill subcat: Surgery,0.0,0.0003388373207692,inf,0.2777777777777778
Skill subcat: Configuration Management,0.0,1.7432856857188184e-31,inf,0.4166666666666667
"Skill subcat: Extraction, Transformation, and Loading (ETL)",0.0,9.55508434138379e-05,inf,0.375
Skill subcat: Web Services,0.0,4.8103674098094474e-39,inf,0.2777777777777778
Skill subcat: Neurology,0.0,1.5121060827186456e-54,inf,0.125
Skill subcat: Scripting,0.0,4.5490618111207927e-63,inf,0.1527777777777778
Skill subcat: Medical Support,0.0,8.169878494905414e-05,inf,1.0138888888888888
Skill subcat: Statistical Software,0.0,1.255877735888962e-40,inf,0.06944444444444445
Skill subcat: Conservation,0.0,2.4781986794084437e-35,inf,0.125
Skill subcat: Real Estate Development,0.0,3.3111333442195204e-11,inf,0.08333333333333333
Skill subcat: Structured Finance,0.0,2.2487792414423355e-88,inf,0.1388888888888889
Skill subcat: Pediatrics,0.0,5.349683578021057e-54,inf,0.1527777777777778
Skill subcat: Hepatology,0.0,1.6323935885836973e-37,inf,0.09722222222222222
Skill subcat: Fundraising and Crowdsourcing,0.0,3.386112443952375e-30,inf,0.5694444444444444
Skill subcat: Commercial Lending,0.0,8.578986056635078e-52,inf,0.06944444444444445
Skill subcat: Data Visualization,0.0,1.7281531033182384e-40,inf,0.125
Skill subcat: Electronics Manufacturing,0.0,0.0006127633341252,inf,1.3055555555555556
Skill subcat: Business Continuity,0.0,0.0008145270184585,inf,1.4305555555555556
Skill subcat: Firmware,0.0,5.1317581243352296e-39,inf,0.09722222222222222
Skill subcat: Industry Specific Marketing,0.0,1.3530047080373166e-63,inf,0.16666666666666666
Skill subcat: Microsoft Windows,0.0,0.0003664012751672,inf,0.9166666666666666
Skill subcat: Dictation,0.0,5.610852216066734e-75,inf,0.6527777777777778
Skill subcat: Science Software,0.0,1.071069894257326e-57,inf,0.027777777777777776
Skill subcat: Content Development and Management,0.0,0.00067509480563,inf,0.7916666666666666
Skill subcat: Speech Language Pathology,0.0,3.557490470553089e-56,inf,0.041666666666666664
Skill subcat: Mortgage Lending,0.0,0.0002006552211282,inf,0.1388888888888889
Skill subcat: Extensible Languages and XML,0.0,7.487225849878785e-41,inf,0.1388888888888889
Skill subcat: Test Automation,0.0,3.102959818089215e-34,inf,0.125
Skill subcat: JavaScript and jQuery,0.0,1.2304343651340545e-43,inf,0.027777777777777776
Skill subcat: Livestock Farming,0.0,0.0001659531019334,inf,0.041666666666666664
Skill subcat: Animal Care,0.0,1.429784963314572e-38,inf,0.1388888888888889
Skill subcat: Injury Treatment,0.0,3.1886468173898467e-60,inf,0.125
Skill subcat: Version Control,0.0,3.559760650215817e-37,inf,0.08333333333333333
Skill subcat: Wind Energy,0.0,3.045033108334397e-51,inf,0.09722222222222222
Skill subcat: Air Transportation,0.0,1.7128198126252054e-05,inf,1.3333333333333333
Skill subcat: Web Analytics and SEO,0.0,5.57297804068556e-38,inf,0.08333333333333333
Skill subcat: Scripting Languages,0.0,2.902251912877577e-05,inf,0.8611111111111112
Skill subcat: Animation and Game Design,0.0,1.5464263262556999e-34,inf,0.1111111111111111
Skill subcat: Insurance and Warranty Claims Processing,0.0,3.733780212994545e-35,inf,0.2777777777777778
Skill subcat: Simulation and Simulation Software,0.0,1.0414762662546236e-06,inf,0.3611111111111111
Skill subcat: Special Education,0.0,3.252618507123974e-48,inf,0.2361111111111111
Skill subcat: Financial Advisement,0.0,1.7359323985827535e-81,inf,0.041666666666666664
Skill subcat: Journalism,9.19793966151582e-05,0.0011661675748319,1167.8573873572418,1.9722222222222223
Skill subcat: Emergency and Intensive Care,0.0013233816090835,0.0041278108227308,211.91387234023077,1.0694444444444444
Skill subcat: Photo/Video Production and Technology,0.0001580587951737,0.0004829892487713,205.57568671867642,1.8055555555555556
Skill subcat: Digital Design,0.0004128321776582,0.0011340861363291,174.7087552046523,1.0833333333333333
Skill subcat: Accounts Payable and Receivable,0.0009994577160448,0.002723870954919,172.5348867882375,3.138888888888889
Skill subcat: Environmental Engineering and Restoration,0.00354541779629,0.008988145444877,153.51442231384928,2.5972222222222223
Skill subcat: Cloud Solutions,0.0003655326736911,0.0008970170859098,145.3999739207556,1.0833333333333333
Skill subcat: Identity and Access Management,0.0004421962738138,0.0010444711306738,136.20079872351118,1.8055555555555556
Skill subcat: Cash Register Operation,0.00090420661105,0.0021089660775098,133.23940034687277,2.4444444444444446
Skill subcat: Market Analysis,0.0012438200553708,0.002893666001332,132.64345906284314,2.7916666666666665
Skill subcat: Sales Management,0.0017334032398643,0.0038801898724807,123.84808007999698,3.3333333333333335
Skill subcat: Military Operations,0.0006279586822103,0.0013917832475245,121.636118259513,1.0138888888888888
Skill subcat: Web Design and Development,0.0012017023121174,0.0022044565219581,83.44447703307208,2.5694444444444446
