,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill subcat: Medical Equipment and Technology,0.0070578014245837,0.696954170056797,9774.947283571477,219.19444444444446
Skill subcat: Rehabilitation,0.0032581325494602,0.2287904065275603,6922.133171514639,81.65277777777777
Skill subcat: Clinical Trials,0.0036071560591571,0.056726164368501,1472.6007812857547,94.29166666666667
Skill subcat: Solar Energy,0.0003850335507303,0.004900003475975,1172.61727365864,6.722222222222222
Skill subcat: Hardware Description Languages (HDL),7.463117770416044e-06,9.18928323874809e-05,1131.2928083722063,0.75
Skill subcat: Environmental Geology,0.0002883800096336,0.0025640746503315,789.1305099785781,15.194444444444445
Skill subcat: Hepatology,0.0008006781680828,0.0067683049707503,745.3215337389307,9.416666666666666
Skill subcat: Neurology,0.001216423772508,0.00950619793259,681.4873523057098,36.5
Skill subcat: Property Management,0.0082931524282181,0.0474493879428142,472.1514026603918,288.19444444444446
Skill subcat: Supply Chain Management,0.0402234781406912,0.2130789000527909,429.7376306133861,1016.7916666666666
Skill subcat: Clean Energy,0.0018055193452065,0.008780787656668,386.3303004745001,25.694444444444443
Skill subcat: Cryptocurrency,0.001533693293983,0.0064692284402909,321.8071804624195,16.76388888888889
Skill subcat: Digital Design,0.000801382832677,0.0033143027515256,313.5729661757604,45.93055555555556
Skill subcat: Infectious Diseases,0.0062369808019628,0.0244699186848341,292.3359628930288,107.04166666666667
Skill subcat: Carpentry,0.0013516731725529,0.0052263914820362,286.6608872738914,53.90277777777778
Skill subcat: Equipment Repair and Maintenance,0.0054631906745845,0.0186399218946189,241.1911281320334,134.11111111111111
Skill subcat: Oncology,0.002610709177163,0.0083001132631926,217.9256171387174,79.80555555555556
Skill subcat: Aquaculture,2.182498512757091e-05,6.824791221312623e-05,212.70542368851605,0.5277777777777778
Skill subcat: Physical Therapy,0.0044946787052831,0.0135587171845974,201.66154409792,104.52777777777777
Skill subcat: Solution Sales Engineering,0.0330571277676768,0.0983581913077874,197.54004037810526,1179.4444444444443
Skill subcat: Funeral and Mortuary Services,0.0002295831969645,0.0006245909763825,172.05430738865408,5.888888888888889
Skill subcat: Childhood Education and Development,0.0039572947168861,0.0104228454333302,163.3830982781006,81.97222222222223
Skill subcat: Ecology,0.0002468295399777,0.0006133668763501,148.49816452500585,6.930555555555555
Skill subcat: Content Management Systems,0.0043802517416345,0.0108019184885767,146.60496989029085,178.75
Skill subcat: Ground Passenger Transportation,0.0002921523975706,0.0006793339290764,132.52724767122123,7.722222222222222
Skill subcat: Technical Support and Services,0.0179522640519631,0.0417243102433179,132.41809569281207,530.375
Skill subcat: Electrical Power,0.0031944931815887,0.0074056813929991,131.8264892747736,66.69444444444444
Skill subcat: Construction Inspection,0.0068918884550648,0.0158547697716915,130.04971532932953,140.18055555555554
Skill subcat: Human Resources Management and Planning,0.0336211725876776,0.0769697687185548,128.9324339233926,882.4027777777778
Skill subcat: Product Inspection,0.000220128959235,0.0005000683136045,127.17061641610228,9.86111111111111
Skill subcat: Plumbing,0.0041864363928345,0.0089506303616508,113.80070116366011,141.97222222222223
Skill subcat: Data Storage,0.002223984625197,0.004743326032153,113.28052264447813,92.375
Skill subcat: Sea and Waterway Transportation,0.0003922215819799,0.0008294200150923,111.46720455959125,6.013888888888889
Skill subcat: Financial Management,0.0744777369730825,0.1564100249445262,110.0090997677002,1882.875
Skill subcat: Microsoft Development Tools,0.0014632388158055,0.003034437881937,107.37817020433327,39.458333333333336
Skill subcat: Blood Collection,0.0014275254375991,0.0029336077102623,105.50300772196547,38.81944444444444
Skill subcat: Bioinformatics,4.255592749273262e-05,8.478585913524822e-05,99.23395900542246,1.4722222222222223
Skill subcat: Electrical Construction,0.0003921783846198,0.0007787482922841,98.56991686042636,9.430555555555555
Skill subcat: Cannabis,0.0015696034942012,0.003104673907063,97.79988503676371,37.208333333333336
Skill subcat: Hotels and Accommodations,0.0030763169939032,0.0060053395317734,95.21198705058951,62.763888888888886
Skill subcat: Recruitment,0.016742128304312,0.0323589082630733,93.27834355886003,340.43055555555554
Skill subcat: Air Quality and Emissions,0.0009109537213806,0.0017204011974793,88.85714576937434,11.319444444444445
Skill subcat: Food Science and Processing,0.0025457243870262,0.0046038680482774,80.84707330220576,69.125
Skill subcat: Natural Language Processing (NLP),0.0005483147032693,0.0009806161984967,78.84185717614778,21.65277777777778
Skill subcat: Telecommunications Equipment and Installation,0.0003613907477573,0.0006427749650132,77.86148898445786,7.458333333333333
Skill subcat: Web Content,0.0008089028716889,0.0014305090080542,76.8455840770419,30.180555555555557
Skill subcat: Materials Science and Engineering,0.0029735201063659,0.0052237729607176,75.67639611833181,71.30555555555556
Skill subcat: Geriatrics,0.0021039551697026,0.0036365923847243,72.84552623040645,58.0
Skill subcat: Human Resources Software,0.0118204585804214,0.0203275615198666,71.9693138939278,288.34722222222223
Skill subcat: Animation and Game Design,0.0008837153045883,0.0014914438619552,68.76972190156026,35.02777777777778
Skill subcat: Heavy Equipment Operation,0.0055931343278076,0.0090704853494292,62.17177735805702,163.5
Skill subcat: Statistics,0.0085296474416884,0.0136782414317333,60.36115824531385,297.4861111111111
Skill subcat: Structured Finance,0.001115670869218,0.0017802504379856,59.56770828240945,27.86111111111111
Skill subcat: Mobility Assistance,0.0001962316691948,0.0003128806538861,59.44452552941498,5.138888888888889
Skill subcat: Environmental Engineering and Restoration,0.0006297444629284,0.0010000851288066,58.80808608559479,13.208333333333334
Skill subcat: Quality Assurance and Control,0.0568688573907931,0.0890098846478136,56.51780030703421,1416.8194444444443
Skill subcat: Artificial Intelligence and Machine Learning (AI/ML),0.0080678929109691,0.0123932923462367,53.61250431803314,237.25
Skill subcat: General Medical Tests and Procedures,0.0056414972067368,0.0086409820833571,53.168241810675035,177.61111111111111
Skill subcat: Pharmacy,0.0226767270347187,0.0344760673879162,52.03281908862941,560.6944444444445
Skill subcat: Environment and Resource Management,0.0045593631755448,0.0068672361253289,50.61831797394228,106.02777777777777
Skill subcat: User Interface and User Experience (UI/UX) Design,0.0046334768725759,0.0069593355808099,50.19683430384708,158.66666666666666
Skill subcat: Software Development Tools,0.0039709978865537,0.0059594191314351,50.07359111457716,114.70833333333333
Skill subcat: Oil and Gas,0.002126684408489,0.0031632644445782,48.74160133734586,75.63888888888889
Skill subcat: Civil and Architectural Engineering,0.0033078217648059,0.0048504100369215,46.63456442932372,90.80555555555556
