,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
"Skill cat: Agriculture, Horticulture, and Landscaping",0.005089563206327,0.0283470436955166,456.9641744556288,33.763888888888886
Skill cat: Design,0.0793693298509977,0.2904857151714584,265.992399982204,714.0555555555555
Skill cat: Personal Care and Services,0.0001826658111202,0.0006229294138959,241.02134935693704,2.7777777777777777
Skill cat: Engineering,0.1943901234415506,0.462174246045041,137.75603300339893,1350.0
Skill cat: Hospitality and Food Services,0.0221726384973101,0.0497917370917438,124.5638790249719,167.95833333333334
"Skill cat: Economics, Policy, and Social Studies",0.055283718390419,0.1008526834973486,82.42746044163879,445.1666666666667
Skill cat: Customer and Client Support,0.2900190490448301,0.4758180172192553,64.0644015578801,2453.75
Skill cat: Social and Human Services,0.0239631707363286,0.0345007205371279,43.9739378262835,169.61111111111111
"Skill cat: Law, Regulation, and Compliance",0.3473931802363023,0.4712498253233254,35.653159628169405,2732.0833333333335
Skill cat: Energy and Utilities,0.0196784979866824,0.0239682224154286,21.799043969968185,126.27777777777777
Skill cat: Sales,0.1980963906946415,0.224386930042769,13.271589278299082,1844.0833333333333
Skill cat: Analysis,0.2458989207596066,0.2714006144055286,10.370803404563427,2061.7083333333335
Skill cat: Environment,0.0368519578862683,0.0401724561062788,9.010371254244209,264.5833333333333
Skill cat: Public Safety and National Security,0.1287150174264936,0.1401335054729502,8.871138950804593,1073.1944444444443
Skill cat: Business,0.8208306751500372,0.8871554510235725,8.080201907830997,7161.75
Skill cat: Media and Communications,0.6666526534454315,0.7033165887782382,5.499705902814331,5775.111111111111
Skill cat: Physical and Inherent Abilities,0.8210586411147841,0.8400098195775976,2.3081394572600438,6989.097222222223
Skill cat: Finance,0.275054604401194,0.2753859746687122,0.12047435753332668,2250.847222222222
Skill cat: Education and Training,0.1582407581816963,0.1537643193059277,-2.8288785564517,1290.1527777777778
Skill cat: Marketing and Public Relations,0.1255323119145445,0.1199666716734046,-4.433631593536394,1169.0833333333333
Skill cat: Administration,0.3468211262493951,0.327648166019688,-5.528198480019942,2851.5416666666665
Skill cat: Information Technology,0.8761413948139958,0.8094631063132178,-7.610448370029784,7804.208333333333
Skill cat: Manufacturing and Production,0.1309322538934643,0.1187672926577707,-9.291034770998346,1046.8472222222222
Skill cat: Human Resources,0.090316432752477,0.0755478864646928,-16.352003547636965,717.0694444444445
Skill cat: Property and Real Estate,0.0070554291820788,0.0048057099951701,-31.886354874386914,60.791666666666664
Skill cat: Science and Research,0.1690419057607839,0.0498695706559523,-70.4986935449461,1400.5277777777778
"Skill cat: Transportation, Supply Chain, and Logistics",0.1917538451351884,0.0401213344141335,-79.07664673642003,1496.5416666666667
Skill cat: Health Care,0.1310124802260426,-0.0057846507596145,-104.41534329373351,1064.3194444444443
"Skill cat: Performing Arts, Sports, and Recreation",0.0016500400037713,-0.0022028454186608,-233.50254621863823,18.47222222222222
