,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Audit Planning,0.0103830043427398,8482307401143.165,8.169415249329365e+16,122.19444444444444
International Standards,0.0041373226037659,24564737313.99023,593735119703419.4,20.65277777777778
Digital Currency,0.0012261412126641,4438815288.591161,362015014481528.8,3.7916666666666665
Institute Of Internal Auditors (IIA),0.0073345134314399,3758964432.9960656,51250358570149.58,59.31944444444444
Event Monitoring,0.0011895149741022,45732177.92992553,3844607165475.399,3.2083333333333335
Technical Management,0.0023593714326471,3473212.6170453094,147209234062.3605,26.555555555555557
Fraud Prevention And Detection,0.0017695188261713,226864.8555490594,12820708682.167967,23.833333333333332
Database Systems,0.0024728116987608,136249.45210049185,5509899912.555365,65.36111111111111
Public Company Accounting Oversight Board,0.0029990844965283,44803.62413897284,1493909931.2390966,40.18055555555556
Risk Based Internal Auditing,0.0047244248736758,47146.06312687739,997921644.7095478,37.97222222222222
Certified Information System Auditor (CISA),0.0091110248339189,71515.74743547512,784936268.1814733,127.5
Audit Command Language,0.0022660328611094,323.96623280248184,14296525.541602919,27.541666666666668
Audit Engagements,0.0094100228047522,683.3462466957292,7261797.881380578,101.18055555555556
Cash Or Share Options,0.0040707334181931,279.0839537889729,6855764.167908384,63.138888888888886
Environmental Science,0.0017873468643479,54.66482473509272,3058334.030097273,14.63888888888889
Operational Risk,0.0043803047831883,75.96157185593488,1734061.790464375,49.763888888888886
Social Media Strategy,0.0036795788625611,54.364311509653966,1477360.1534648107,112.58333333333333
Human Capital Management (HCM),0.0034139040916142,36.86953451945786,1079881.5557215842,44.44444444444444
Window Cleaning,0.0023989824584049,17.296954949144126,720912.1478189128,18.47222222222222
Technology Solutions,0.0061245563238147,39.57906433747832,646135.616832835,212.47222222222223
Certified Regulatory Compliance Manager,0.0016185416256062,9.548744349005029,589859.7636501128,10.444444444444445
Emerging Risk,0.0039301906970399,21.536817242537296,547884.0267994673,30.944444444444443
Corporate Governance,0.0038127434469402,20.850008756358054,546750.5564697931,62.875
Control Objectives For Information And Related Technology (COBIT),0.002792570057345,13.73711539100701,491816.58969757037,31.569444444444443
Online Marketing,0.001933618172653,8.771468391393087,453529.8073449676,114.97222222222223
Incident Management,0.0019163425008037,5.983892110769733,312155.8784904125,28.125
International Taxation,0.0020883230367822,3.784780096866727,181135.37547612935,47.55555555555556
Kronos (Timekeeping Software),0.0027328652681428,4.404012142724962,161049.99133191226,30.805555555555557
Spanish Language,0.0218324806597608,32.905534882005824,150618.25961881486,918.3194444444445
Configuration Management,0.0016130269870119,1.3800375447750877,85455.76291575751,16.625
Risk Analysis,0.0139221978813018,8.18509340403709,58691.67552294366,262.8611111111111
Needs Assessment,0.0061363486338012,3.607461223915412,58688.40071185374,144.13888888888889
Operating Cost,0.0021202025471907,1.0097109835657403,47523.32659696227,48.94444444444444
Notetaking,0.002314728373354,1.0344700678342902,44590.77580516981,47.291666666666664
Auditor's Report,0.009148086489983,2.8262138896412843,30794.044265278215,150.02777777777777
Working Capital,0.002800850261852,0.7936125596422422,28234.701445891777,55.458333333333336
Tax Research,0.00473345898199,0.6822568580036172,14313.494668475794,99.36111111111111
Business Administration,0.0346679302115351,4.30613729555621,12321.09716178967,861.9305555555555
Relational Databases,0.0014063651892822,0.1287807553366821,9056.992530681948,50.77777777777778
Project Accounting,0.0041290751453366,0.3695484212617077,8849.907866876138,107.41666666666667
Wholesaling,0.0094071642426771,0.8351655210723374,8777.973207733272,268.5833333333333
Revenue Cycle Management,0.0099441333169231,0.8431945727381003,8379.316858143255,149.09722222222223
Certified Internal Auditor,0.0151265019981146,1.257770528511311,8215.0124772276,247.08333333333334
Safety Culture,0.0034855040375445,0.2639544671467591,7472.920998040563,39.958333333333336
Application Security,0.0019431354707421,0.1274766648209959,6460.359107248013,13.597222222222221
Standard Accounting Practices,0.0056829871930661,0.3221639022386285,5568.918322246189,130.43055555555554
Commercialization,0.0038830960852322,0.2010526663000078,5077.638201244389,74.33333333333333
Financial Policy,0.0064168270436781,0.3250998649682531,4966.364774293607,87.23611111111111
Mental Health,0.0023729252741868,0.1156090075851592,4772.003718059699,41.97222222222222
ServSafe Certification,0.0029481608257518,0.1403743045396054,4661.419503083216,25.208333333333332
