,,Skill subcat: Scripting Languages
"Cook, IL",2022-08-01,0.04056516007240732
"Cook, IL",2022-09-01,0.0397716008315211
"Cook, IL",2022-10-01,0.0394522229749219
"Cook, IL",2022-11-01,0.0390998394246379
"Cook, IL",2022-12-01,0.03813932180807549
"Cook, IL",2023-01-01,0.0374328485716438
"Cook, IL",2023-02-01,0.03688730511014611
"Cook, IL",2023-03-01,0.0358738088917086
"Cook, IL",2023-04-01,0.0348041126402917
"Cook, IL",2023-05-01,0.03443001534748281
"Cook, IL",2023-06-01,0.03394119133779749
"Cook, IL",2023-07-01,0.03317518052596688
"Cook, IL",2023-08-01,0.03275866638851659
"Cook, IL",2023-09-01,0.03230900859801449
"Cook, IL",2023-10-01,0.0325041752194668
"Cook, IL",2023-11-01,0.032907774613467
"Cook, IL",2023-12-01,0.03322119453473211
"Cook, IL",2024-01-01,0.0335631648111207
"Cook, IL",2024-02-01,0.03498302195887061
"Cook, IL",2024-03-01,0.03592099762647051
"Cook, IL",2024-04-01,0.036533680499872
"Cook, IL",2024-05-01,0.0366667764643232
"Cook, IL",2024-06-01,0.036600197720988
"Cook, IL",2024-07-01,0.0376261748164849
"Cook, IL",2024-08-01,0.03851687744804708
"Cook, IL",2024-09-01,0.03993088743008019
"DuPage, IL",2022-08-01,0.04056516007240732
"DuPage, IL",2022-09-01,0.0397716008315211
"DuPage, IL",2022-10-01,0.0394522229749219
"DuPage, IL",2022-11-01,0.0390998394246379
"DuPage, IL",2022-12-01,0.03813932180807549
"DuPage, IL",2023-01-01,0.0374328485716438
"DuPage, IL",2023-02-01,0.03688730511014611
"DuPage, IL",2023-03-01,0.0358738088917086
"DuPage, IL",2023-04-01,0.0348041126402917
"DuPage, IL",2023-05-01,0.03443001534748281
"DuPage, IL",2023-06-01,0.03394119133779749
"DuPage, IL",2023-07-01,0.03317518052596688
"DuPage, IL",2023-08-01,0.03275866638851659
"DuPage, IL",2023-09-01,0.03230900859801449
"DuPage, IL",2023-10-01,0.0325041752194668
"DuPage, IL",2023-11-01,0.032907774613467
