,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities
0,0.34713268,0.11172304,0.06685134,0.045887478,0.083535,0.5185806,0.5324786,0.23061694,0.25458598,0.07310737,0.10898268,0.15828587,0.016050788,0.32818964,0.115021914,0.036195923,0.122368716,0.15269156,0.014281775,0.21035103,0.3083658,0.6517309
1,0.342942,0.11236959,0.06734849,0.04439514,0.08268348,0.51193684,0.5254573,0.23193517,0.25094023,0.07168287,0.10856841,0.1542068,0.016060315,0.32464132,0.11362128,0.03592818,0.12038534,0.15080187,0.014164988,0.21601978,0.30699608,0.6451762
2,0.33803782,0.112694465,0.06767117,0.042932216,0.08154265,0.5037784,0.5166268,0.23328532,0.24652149,0.07016127,0.10809131,0.15001182,0.015933273,0.31981993,0.112061344,0.035594214,0.11839196,0.14864385,0.014066694,0.22385795,0.30447558,0.636444
3,0.3326024,0.113081634,0.06806822,0.04152095,0.080242716,0.49542287,0.5072165,0.23536654,0.24182835,0.068698786,0.107740134,0.14612453,0.015756676,0.31482017,0.11053959,0.035284817,0.11651266,0.14632037,0.014008179,0.23187329,0.3017528,0.627435
4,0.3268444,0.11359787,0.068600066,0.04015224,0.07872856,0.48747703,0.497817,0.238427,0.23685315,0.06729812,0.107360475,0.1424703,0.015531322,0.31049278,0.1091884,0.035026126,0.11470536,0.14392121,0.014016887,0.23859276,0.29940435,0.619125
5,0.32165867,0.114365056,0.06925679,0.03896613,0.07727273,0.48081627,0.489655,0.24251327,0.23224443,0.066205546,0.10705964,0.13913693,0.015312574,0.30688527,0.10820135,0.034907516,0.113345936,0.14189316,0.014143368,0.2433627,0.29774296,0.6122556
6,0.31752566,0.11541786,0.07002475,0.038046654,0.07619326,0.47523054,0.48345426,0.24655822,0.22818394,0.06556184,0.1071182,0.1362298,0.0151614705,0.3036986,0.107484214,0.034888245,0.11248479,0.14069399,0.014392987,0.24733412,0.2968333,0.60689473
7,0.31458625,0.116594024,0.070740275,0.037436984,0.07552547,0.4705658,0.47864327,0.25002828,0.22462152,0.06519298,0.1075986,0.13395795,0.0149880415,0.300938,0.10697591,0.03486553,0.11183854,0.14019656,0.01468578,0.2507083,0.2965235,0.60277086
8,0.31242293,0.11767341,0.07139047,0.037091386,0.07514014,0.46657616,0.47426122,0.25271693,0.22155574,0.06491554,0.10826893,0.13213949,0.014751759,0.29846203,0.10644235,0.034788262,0.1112756,0.1398637,0.015004149,0.2532407,0.29640922,0.5993591
9,0.31000063,0.118577726,0.071990624,0.03689037,0.07481886,0.46295547,0.4702589,0.2541984,0.21868974,0.06477671,0.10884541,0.13073002,0.014499267,0.29672706,0.10541881,0.034612164,0.11074984,0.13947128,0.015368507,0.2554257,0.29640073,0.59646773
10,0.30791026,0.11914291,0.07244606,0.036916837,0.074505895,0.4609197,0.46788335,0.25448442,0.21657489,0.06505872,0.10935666,0.13017716,0.014223706,0.296427,0.10428419,0.034338742,0.1105738,0.13948177,0.015708,0.25723013,0.29704624,0.595233
11,0.30701077,0.11977084,0.072840974,0.037249632,0.074386954,0.4616615,0.4681415,0.25411126,0.21551041,0.06586148,0.11038985,0.13038956,0.013963321,0.29778188,0.10386195,0.034104086,0.111142404,0.14013523,0.0159614,0.25826636,0.29904056,0.59706473
12,0.30770218,0.12066615,0.073369876,0.037845638,0.074658275,0.46447065,0.4705213,0.25348052,0.2153801,0.066997424,0.11207949,0.13101643,0.013771094,0.2999842,0.10427107,0.034096166,0.11226155,0.14135754,0.01617308,0.2577548,0.3021785,0.6013696
13,0.31070688,0.12180687,0.07408658,0.038715042,0.075455114,0.4692273,0.47501943,0.25315645,0.21656919,0.06856486,0.11405109,0.1323788,0.013667484,0.30297825,0.105234385,0.034387555,0.113795064,0.14281455,0.016380988,0.25432283,0.30632198,0.6078066
14,0.31590998,0.12314262,0.07465444,0.039738078,0.07637782,0.47495013,0.48090777,0.25267532,0.21850692,0.07053777,0.115667574,0.13440667,0.013601052,0.30695567,0.106445394,0.03488683,0.115495406,0.14420845,0.016557671,0.24856107,0.31113037,0.615403
15,0.32187977,0.124423265,0.074779205,0.040715408,0.077104405,0.4801762,0.4864397,0.2515335,0.22016816,0.07259515,0.116581455,0.13647585,0.013519072,0.3108909,0.107952,0.035448425,0.116959654,0.1451225,0.016695825,0.24243979,0.3156241,0.6222387
16,0.32773277,0.12552516,0.07460745,0.041701585,0.07787758,0.48465154,0.4912439,0.24961016,0.2215292,0.07459718,0.117138416,0.1382578,0.013492596,0.31406778,0.109689765,0.035982046,0.11830249,0.14576751,0.016804488,0.23715268,0.31923628,0.6278175
17,0.33283764,0.12626371,0.074378036,0.04275888,0.078930266,0.4887157,0.4955859,0.24683717,0.22308768,0.07638372,0.11780797,0.13973446,0.013577524,0.31802925,0.11120704,0.036476947,0.11968762,0.14671803,0.016879497,0.23361044,0.3218802,0.6326755
18,0.33684292,0.12697561,0.074241094,0.043685514,0.080180176,0.49284613,0.49970528,0.24408954,0.22507933,0.078102,0.118797794,0.14118499,0.013753693,0.32484427,0.11242027,0.036981236,0.121069334,0.14756626,0.016902447,0.23105621,0.32396567,0.63771385
19,0.3395455,0.12787162,0.074229,0.044251423,0.08132606,0.49616486,0.5032866,0.24147238,0.22698656,0.079842605,0.11975994,0.1422906,0.013975099,0.3338984,0.11335764,0.037459478,0.122236975,0.14794554,0.016919538,0.22949758,0.32580444,0.64239967
20,0.341212,0.12867121,0.0741634,0.044577856,0.08236987,0.4984646,0.50625926,0.23935384,0.22851588,0.081521444,0.12062778,0.14299601,0.014219776,0.34361297,0.11421749,0.037961822,0.123212054,0.14828052,0.016977556,0.22891441,0.3274604,0.646255
21,0.34268534,0.12908879,0.073879875,0.044971213,0.083307296,0.5006405,0.5093524,0.23841152,0.23007445,0.083206445,0.12141408,0.1437639,0.014424317,0.35227156,0.11550295,0.038595285,0.12443983,0.14900854,0.017058775,0.22785868,0.32909563,0.6499341
22,0.34446812,0.12910311,0.073456675,0.04553941,0.08425924,0.5028461,0.51281524,0.23821574,0.23187199,0.08494808,0.12208149,0.14476648,0.014583689,0.35805988,0.11701235,0.039275147,0.12600917,0.150141,0.017144116,0.22619526,0.33062428,0.6534683
23,0.34681022,0.1287092,0.07287196,0.04625671,0.0853888,0.50468576,0.5161916,0.23881373,0.23404306,0.08673961,0.12240614,0.14605618,0.014728245,0.36084908,0.11847641,0.03990342,0.1276381,0.15146025,0.017308872,0.22446151,0.33148542,0.65626967
24,0.34898496,0.12821114,0.07210532,0.046949767,0.08654033,0.5062998,0.51903576,0.24065214,0.23634224,0.0885525,0.12224633,0.1473449,0.014885053,0.362183,0.12016315,0.040444892,0.12921658,0.15260252,0.0175802,0.22305743,0.33162132,0.65868115
25,0.3501423,0.12798713,0.071341485,0.047491662,0.08766344,0.50786775,0.5212952,0.24333327,0.23831105,0.09015396,0.122095235,0.14828442,0.015115405,0.36319408,0.12200969,0.040929995,0.13074315,0.15351899,0.017895378,0.22200893,0.33160025,0.66125125
