,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2022-03-01,0.35219535,0.108465254,0.06389944,0.0491939,0.08392961,0.5264375,0.5444554,0.22184102,0.2580231,0.07623889,0.10855144,0.16792153,0.015081539,0.3348341,0.11582372,0.036509257,0.1276118,0.15641865,0.014901615,0.20245741,0.3079311,0.6581644,0.30911598,0.026399495,0.30116507,0.0078011765,0.052252397,0.006786714,0.0048790863,0.09954669,0.016055215
2022-04-01,0.3517364,0.108487695,0.06422391,0.04890848,0.08385756,0.526576,0.54381,0.22256461,0.25835648,0.07603133,0.108556576,0.1671615,0.0152415335,0.3349152,0.11528095,0.036303565,0.1269126,0.15617396,0.014787378,0.20313318,0.30864343,0.6586187,0.30942836,0.026391484,0.30060595,0.007737206,0.051921528,0.006842369,0.0050041573,0.0995321,0.016082332
2022-05-01,0.35226154,0.10876935,0.06471213,0.0486662,0.0839905,0.5268095,0.5434181,0.22396593,0.25886178,0.0758538,0.10876201,0.16626586,0.015432019,0.33435217,0.11537805,0.03621643,0.1263909,0.15612717,0.0146258,0.20404665,0.30908173,0.6590919,0.30966997,0.026473584,0.2994838,0.007743629,0.051660076,0.006909615,0.0050799,0.09856611,0.016106557
2022-06-01,0.35240906,0.109430104,0.06534608,0.048194308,0.084116995,0.52594453,0.5416745,0.2262334,0.25869343,0.075318515,0.10901177,0.16449937,0.015646864,0.33277512,0.11579769,0.036228668,0.1256174,0.15569569,0.014491625,0.2053314,0.30905247,0.6583744,0.30882496,0.026554164,0.2971751,0.007757916,0.051242854,0.0069956267,0.005095912,0.09698119,0.016068842
2022-07-01,0.35059518,0.11054717,0.06611964,0.047241624,0.083996415,0.52312607,0.5378366,0.22867253,0.25722614,0.07435606,0.10910329,0.16178223,0.015880225,0.33059096,0.11580408,0.03627075,0.124222524,0.1544734,0.014395533,0.20720787,0.30875742,0.6558713,0.30629832,0.026515314,0.2941101,0.0077092657,0.050546482,0.0071039447,0.0051140185,0.09561172,0.0159439
2022-08-01,0.34713268,0.11172304,0.06685134,0.045887478,0.083535,0.5185806,0.5324786,0.23061694,0.25458598,0.07310737,0.10898268,0.15828587,0.016050788,0.32818964,0.115021914,0.036195923,0.122368716,0.15269156,0.014281775,0.21035103,0.3083658,0.6517309,0.30260837,0.026321292,0.29060656,0.0075741764,0.04966331,0.007200589,0.0051805424,0.094687685,0.015761554
2022-09-01,0.342942,0.11236959,0.06734849,0.04439514,0.08268348,0.51193684,0.5254573,0.23193517,0.25094023,0.07168287,0.10856841,0.1542068,0.016060315,0.32464132,0.11362128,0.03592818,0.12038534,0.15080187,0.014164988,0.21601978,0.30699608,0.6451762,0.2980576,0.026015518,0.28625685,0.0074024904,0.048657835,0.0072714426,0.005263373,0.09298052,0.015533337
2022-10-01,0.33803782,0.112694465,0.06767117,0.042932216,0.08154265,0.5037784,0.5166268,0.23328532,0.24652149,0.07016127,0.10809131,0.15001182,0.015933273,0.31981993,0.112061344,0.035594214,0.11839196,0.14864385,0.014066694,0.22385795,0.30447558,0.636444,0.29301116,0.02566463,0.28116462,0.0072405045,0.047606662,0.007332425,0.0053198277,0.09057458,0.0152843725
2022-11-01,0.3326024,0.113081634,0.06806822,0.04152095,0.080242716,0.49542287,0.5072165,0.23536654,0.24182835,0.068698786,0.107740134,0.14612453,0.015756676,0.31482017,0.11053959,0.035284817,0.11651266,0.14632037,0.014008179,0.23187329,0.3017528,0.627435,0.2881993,0.025340684,0.27593702,0.0070994673,0.046736356,0.0073788613,0.005336976,0.08825042,0.015041296
2022-12-01,0.3268444,0.11359787,0.068600066,0.04015224,0.07872856,0.48747703,0.497817,0.238427,0.23685315,0.06729812,0.107360475,0.1424703,0.015531322,0.31049278,0.1091884,0.035026126,0.11470536,0.14392121,0.014016887,0.23859276,0.29940435,0.619125,0.28362298,0.02509947,0.2706796,0.006983399,0.04603603,0.007400119,0.005314353,0.086459965,0.014805538
2023-01-01,0.32165867,0.114365056,0.06925679,0.03896613,0.07727273,0.48081627,0.489655,0.24251327,0.23224443,0.066205546,0.10705964,0.13913693,0.015312574,0.30688527,0.10820135,0.034907516,0.113345936,0.14189316,0.014143368,0.2433627,0.29774296,0.6122556,0.27975497,0.024966227,0.26582903,0.0068738614,0.045594677,0.0074448683,0.0052599884,0.08502325,0.01460549
