,,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
"Cook, IL",2022-03-01,0.35500124678914463,0.10492989534678035,0.06235297343078619,0.0501984149518366,0.08324579331545283,0.5152711253581704,0.5355438686493053,0.2205997109587656,0.2508861877054243,0.07542858915912018,0.10819857574689842,0.1665982343807251,0.014434720232219148,0.32544248422085253,0.11683703493073735,0.036812493272544294,0.12979247288495796,0.1537262551232419,0.015160895440513234,0.1994835520818985,0.2971990682073103,0.6433751696830593,0.3024213037624881,0.025899887900922475,0.2941236807706393,0.008228591920062193,0.05158036611876968,0.006165781679939557,0.0046655138339977,0.09152720518979571,0.015475853135909285
"Cook, IL",2022-04-01,0.35513566417944054,0.1064635417536292,0.0627665294540438,0.050361756929195776,0.08347715505694728,0.5184614673084496,0.5392130992470334,0.2205832987989931,0.2533835801964864,0.0758802317577464,0.1079736982776387,0.16809570948032088,0.014585960008548452,0.3285364359539517,0.11635965813306823,0.03698819937765299,0.1301500796375328,0.15445541423356104,0.015147830724648953,0.1998046983565367,0.2993297545517355,0.6485083511469115,0.3034425278758625,0.026211983795410326,0.296327424871576,0.008182928121561607,0.05217459535352422,0.006300891546444615,0.004634411863951206,0.0934076212445958,0.01568424041796109
"Cook, IL",2022-05-01,0.3555736064519586,0.10755954594524418,0.0630226609962567,0.05039718852291077,0.08372138531995936,0.5219793514191391,0.5402075007260672,0.2207146027671906,0.2546576734258274,0.07615902562289198,0.10854329153014122,0.1679729212733964,0.014664036924481684,0.3312799974112148,0.1167897803873603,0.0370605328669134,0.13019246503676782,0.15551435596420274,0.01496988069590647,0.1999330395898602,0.3012327529816356,0.65090729304282,0.30488772067260406,0.0263654484835244,0.2983862920011502,0.008153975060541906,0.05246695008642304,0.0064280203059974145,0.004657410177593393,0.095191872983781,0.01589830877893151
"Cook, IL",2022-06-01,0.35466491288518626,0.1079749822099114,0.063287607643553,0.050233044895498825,0.08381618014043764,0.5245541257784392,0.5464774968734614,0.22004728038535362,0.2572252995711681,0.0765697338916639,0.10870653892000783,0.1684918164444548,0.014779120123994518,0.3331530222752645,0.11733562676752327,0.0371101053902132,0.12924641135891915,0.1563418219737813,0.0149935674332739,0.19986264115983093,0.3043194533764859,0.6548915828823674,0.30677629082870206,0.0264509648730565,0.29924975512392676,0.008157502998193686,0.0527059558712094,0.0065848409040233,0.004681396472267506,0.0966879669660617,0.015940312682391593
"Cook, IL",2022-07-01,0.3548138511611144,0.10913300669864376,0.0635286783693305,0.05003414245244973,0.08439789021304415,0.5262774043181269,0.5450373090423228,0.2213133449478052,0.2562249315331549,0.0767632063867818,0.1088328359768642,0.1690516889812708,0.0149282683921296,0.33443253298603637,0.11637919342443884,0.037111809960031876,0.12889339721914353,0.15677687817011285,0.014932240312427347,0.2006161209286177,0.3057299996331682,0.657177425033291,0.3093094094277006,0.026473219547989275,0.3026748198274885,0.008009785549490712,0.0528234245562661,0.006668329759582257,0.004737534620691993,0.0978029965242507,0.0160209505816703
"Cook, IL",2022-08-01,0.35290800666889366,0.10888800171189299,0.06370288607360271,0.0496601451167226,0.0841760723955228,0.5264167896342655,0.5436035922643785,0.22178894255191522,0.2578930260540004,0.07652569852019929,0.10835475807613507,0.16827289201208323,0.015019684288370666,0.33491207985390686,0.11664630795679369,0.03683733597049228,0.1288272286625924,0.15668802645436977,0.014888410589194469,0.2016553921680185,0.3070454373835712,0.6580337650368246,0.3089989997192713,0.026448425838468275,0.3027705609491103,0.0079237772321198,0.0526529565996764,0.006771497038693785,0.0047819420487442066,0.09826773260119692,0.016068492998069707
"Cook, IL",2022-09-01,0.35351975265729796,0.10813545293820123,0.06391379708366901,0.04926307256111567,0.08406155348423897,0.5262701229799613,0.5433564787400973,0.2220600062552093,0.2568945685372881,0.07629905154690021,0.10874260433381812,0.1679215468455239,0.0150815397851613,0.33497826722418644,0.11613028704229036,0.03654322058531968,0.12736596900917616,0.1564186443513693,0.014829928597432769,0.20292861152595526,0.3074613822272061,0.6567462209606285,0.3091160048865737,0.02646316812518607,0.30225467097072284,0.0078011768935307,0.0522523983599763,0.0067867140542804,0.0048790861400754,0.09929837229334681,0.01609118743718211
"Cook, IL",2022-10-01,0.35107422126764465,0.10914728513508296,0.0642095506774793,0.04883931272755542,0.08379159445789983,0.5265759592883272,0.5438100628238675,0.2232215615842671,0.25948505075285516,0.07615164169641303,0.10836541246439528,0.1669258893503151,0.015217992540409533,0.3347710705844338,0.11574079791577876,0.0363035624125439,0.12642092328608803,0.15641980065492825,0.014835168387687253,0.2033687801686186,0.3091131559128708,0.6579096306558526,0.3094283915402806,0.026412707869358325,0.29842676188773837,0.00776314462345124,0.05195757080373852,0.006826204197031059,0.005016670712047287,0.0995320985891943,0.0160823308302781
"Cook, IL",2022-11-01,0.35093716349515325,0.10975874034786134,0.06468341443660919,0.04859703629081522,0.08392452940617842,0.5266420906748807,0.5434181413812533,0.2235279557700451,0.2588617925072754,0.0758538031789713,0.10857085267183468,0.1662658750914057,0.015455561640624366,0.3343521619344859,0.11507148469725123,0.03628436156864128,0.1263909055416401,0.15588133345004399,0.014673590303485553,0.20451784336339346,0.3095514596545612,0.6590919162716676,0.3096699928163824,0.0264735820880202,0.2994838108490452,0.007726336945020306,0.05164205752054934,0.0069096158813868,0.005073643087215507,0.0985661113713611,0.0161065583664935
"Cook, IL",2022-12-01,0.3524090773420193,0.10877051144426034,0.0653317199257109,0.04812514002791962,0.0841169951061532,0.5259445108239591,0.5394766136938656,0.2266713509366593,0.2586934334199968,0.07525834883823888,0.10958525781602985,0.1647349866122521,0.0156468642398507,0.3327751243328297,0.11564441531291471,0.03626263043291929,0.12512573882149705,0.1556957033979822,0.014443834313258047,0.20580258109904787,0.3090524878990513,0.6590834835213059,0.30948715566563506,0.026511713430040253,0.29826472517693353,0.0077406242496557065,0.05126087750364756,0.006979461876421159,0.0050959117441738,0.09673286605385611,0.0160688428410293
