date,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
3/1/2022,0.3537855,0.10938539,0.06662867,0.04779515,0.08459421,0.5199366,0.5356255,0.22948128,0.25548038,0.07469694,0.11050439,0.15976565,0.015546385,0.32517958,0.113883615,0.03590215,0.12427089,0.15431513,0.014413095,0.20771138,0.30675444,0.6534692,0.30750918,0.025920575,0.2872575,0.007585568,0.050516732,0.007157315,0.005047994,0.092489414,0.015634842
4/1/2022,0.35082266,0.11061516,0.06751862,0.046406183,0.08424451,0.51590216,0.5317701,0.23074521,0.25263703,0.07359481,0.11051053,0.15650538,0.015704041,0.32402188,0.11289153,0.035953317,0.12270335,0.15334463,0.014296977,0.20955344,0.3074672,0.6511571,0.30388582,0.025809607,0.28417757,0.007482494,0.04977393,0.007257712,0.005143516,0.09193376,0.015456821
5/1/2022,0.34785601,0.11142298,0.0679119,0.045016814,0.083380006,0.51150906,0.52709913,0.23264983,0.24983028,0.07248493,0.11009533,0.15301152,0.015707703,0.32220244,0.11218095,0.03592978,0.121100664,0.15233131,0.014245541,0.21256305,0.30742806,0.6468808,0.29951245,0.02562395,0.28084144,0.007353134,0.048873033,0.007401112,0.005234185,0.09059796,0.015329891
6/1/2022,0.34341547,0.111652106,0.0680943,0.043644488,0.08242582,0.504123,0.51939607,0.23400742,0.24593471,0.0711608,0.10962796,0.14901373,0.01570352,0.31727165,0.111055925,0.035736233,0.11952627,0.15089546,0.014179146,0.22072475,0.30522212,0.6382285,0.29423505,0.025304807,0.2759945,0.007162372,0.047892332,0.007511639,0.005302165,0.08796422,0.015095715
7/1/2022,0.33804598,0.11168863,0.06848357,0.04234847,0.08144872,0.4958616,0.5101068,0.23504062,0.24124429,0.06965335,0.10942325,0.14554761,0.015536361,0.31201264,0.10965086,0.035501752,0.11776304,0.1490782,0.014076748,0.23037578,0.3020548,0.62891877,0.28923973,0.02501954,0.27099478,0.007040611,0.047033038,0.007534919,0.005320986,0.08545174,0.01482999
8/1/2022,0.33329254,0.11233285,0.06907847,0.041237917,0.08026123,0.48979667,0.5022197,0.23828413,0.23729676,0.068445005,0.1093648,0.14260356,0.015299962,0.30865392,0.10881863,0.035478592,0.11631695,0.1472587,0.014103446,0.23571639,0.30023712,0.62224394,0.28547838,0.024841685,0.26681888,0.006958796,0.046460558,0.007542181,0.005310259,0.084119864,0.014638973
9/1/2022,0.3284504,0.11307784,0.06976825,0.040167272,0.078888476,0.48352602,0.49507985,0.24147731,0.23281704,0.067477755,0.1090811,0.13944781,0.015224577,0.30527428,0.10815226,0.035559267,0.115218684,0.14582005,0.014305214,0.24059507,0.2988513,0.61577404,0.28127587,0.02471316,0.2626094,0.006851167,0.046123527,0.007577767,0.005280289,0.083109796,0.014439642
10/1/2022,0.3242572,0.114066124,0.07045085,0.03923922,0.077816166,0.47860527,0.4900473,0.24443157,0.2289948,0.06692166,0.108865924,0.13696806,0.015191939,0.30252147,0.10792585,0.0357622,0.114531785,0.14537933,0.014567768,0.24534813,0.29801482,0.61080164,0.27821,0.024793264,0.25944862,0.006792523,0.046081025,0.007740791,0.005176758,0.08162912,0.014273911
11/1/2022,0.32168514,0.11560149,0.071250364,0.038560603,0.07718893,0.47518978,0.48675203,0.24765407,0.22652145,0.06674768,0.10922674,0.13501602,0.015043576,0.30079564,0.10783705,0.035846375,0.11404437,0.14528927,0.014894067,0.24826801,0.2984312,0.6080402,0.27658325,0.024905685,0.2569552,0.006727564,0.0459702,0.007897006,0.005026824,0.080503814,0.014159343
12/1/2022,0.31984314,0.117144175,0.07206731,0.03824876,0.07698719,0.47152463,0.48269525,0.24992864,0.22379671,0.06640465,0.11003684,0.1333413,0.01490482,0.29838538,0.107296735,0.035839282,0.11337615,0.14512576,0.015268852,0.25025785,0.29838958,0.60491526,0.2737193,0.02479811,0.25398928,0.006598447,0.045653127,0.007962129,0.00490811,0.07983831,0.014064353
1/1/2023,0.3176562,0.11786645,0.07262863,0.038106844,0.07666637,0.46642318,0.47725046,0.25100282,0.22097875,0.06603753,0.110391274,0.13191314,0.01472876,0.29507723,0.1062035,0.035662923,0.112490736,0.1447987,0.015686044,0.25199687,0.29724157,0.59989995,0.26972556,0.024518413,0.2511102,0.006350553,0.045470636,0.007999232,0.004838987,0.07908686,0.013930919
2/1/2023,0.31543252,0.11823984,0.072885975,0.0381665,0.076289125,0.46364984,0.47486356,0.25029138,0.21898487,0.066422,0.11057081,0.13170372,0.014465702,0.2949448,0.10459057,0.035126247,0.11215721,0.14470966,0.015972624,0.25397724,0.2974174,0.59787744,0.26867974,0.024283377,0.2506652,0.006152268,0.045619696,0.007978634,0.004892769,0.0798047,0.013865137
3/1/2023,0.31465912,0.118794516,0.07302804,0.038676392,0.076050445,0.46520132,0.47597805,0.24909541,0.21814401,0.0673433,0.11163168,0.13248804,0.014165892,0.29697725,0.10428457,0.034675572,0.112558104,0.14551787,0.016135259,0.25476208,0.29901055,0.5998906,0.2701903,0.024236865,0.25162292,0.006163308,0.0460378,0.0080068,0.004943702,0.08167711,0.013873441
4/1/2023,0.31446323,0.11946293,0.07357634,0.03934011,0.07603979,0.46769428,0.47687623,0.24885829,0.21787539,0.06823777,0.11316973,0.13302313,0.013978412,0.2977277,0.10518091,0.034493152,0.11354994,0.14590822,0.016356492,0.25476936,0.30106723,0.6024281,0.27179965,0.024242131,0.25197154,0.00619682,0.046496868,0.008093939,0.004905136,0.08373354,0.013802165
5/1/2023,0.31628048,0.12016154,0.07448182,0.04010247,0.07693072,0.47096464,0.47996545,0.247711,0.2187343,0.0694383,0.115107514,0.13388439,0.01394205,0.29941076,0.10552304,0.034577683,0.11511574,0.14706017,0.016567279,0.25406563,0.3044761,0.6072948,0.27494434,0.024190594,0.25294182,0.006253892,0.046977583,0.008064438,0.004846001,0.08619499,0.0137875
6/1/2023,0.32144207,0.12135478,0.07525791,0.04107526,0.078065135,0.47698802,0.4862098,0.24746893,0.22121166,0.0713185,0.11716024,0.13609964,0.013835971,0.30370465,0.10648561,0.034969296,0.11676582,0.14844093,0.016755434,0.24837466,0.3091734,0.615578,0.27932113,0.024276512,0.25533804,0.00645543,0.047743578,0.008024653,0.004823699,0.089256845,0.013885101
7/1/2023,0.3273903,0.123230815,0.07548062,0.04180405,0.07831525,0.4816933,0.49144587,0.24723627,0.22268471,0.07362516,0.11772851,0.13811475,0.013724622,0.30773354,0.108120956,0.035372388,0.11793787,0.14827767,0.0169015,0.24030659,0.31406596,0.6224477,0.28245908,0.02440688,0.25735888,0.006653107,0.048395187,0.008032841,0.005088697,0.092793494,0.013929606
8/1/2023,0.33243987,0.12405954,0.075086944,0.042579897,0.07873728,0.48401588,0.49469176,0.24458227,0.22309913,0.07547948,0.11766085,0.13929048,0.013692704,0.30953363,0.10958295,0.035715315,0.11893494,0.14838527,0.017005567,0.23611063,0.31703156,0.6259574,0.2837671,0.024477087,0.25785604,0.00672868,0.048872817,0.00800636,0.0055248,0.09484959,0.013914526
9/1/2023,0.33802173,0.124411464,0.074812606,0.044018842,0.08018648,0.4896616,0.4999099,0.2434033,0.22542027,0.077315725,0.11872603,0.14166689,0.013710356,0.31217524,0.11173589,0.036210854,0.12106573,0.1496431,0.017055746,0.23192228,0.31966597,0.63189363,0.2867859,0.024830695,0.25930288,0.006890192,0.0497825,0.008005316,0.005857883,0.09585339,0.014002175
10/1/2023,0.34269038,0.12524852,0.07481847,0.045236576,0.08146509,0.49473748,0.50481075,0.241994,0.2282567,0.07926353,0.119818166,0.14378645,0.013851541,0.31750166,0.11335209,0.036583964,0.12305039,0.15034291,0.017071525,0.22795308,0.32215935,0.6377836,0.28978488,0.025081614,0.2615162,0.007126808,0.05047898,0.007980417,0.006112974,0.097410366,0.014201053
11/1/2023,0.34506854,0.12587076,0.074715205,0.045817774,0.08264682,0.49626657,0.5070278,0.23861136,0.22979167,0.08078414,0.12069529,0.14472172,0.014142457,0.3259157,0.1135683,0.03688107,0.12390059,0.15028855,0.017054906,0.22700503,0.32302186,0.64024633,0.29027426,0.02511362,0.26270282,0.007278803,0.05081918,0.008012068,0.006513241,0.09926693,0.014339172
12/1/2023,0.34586018,0.12644279,0.074345276,0.046045516,0.08365956,0.49756032,0.50916046,0.23684876,0.23102385,0.08246321,0.121382184,0.14523269,0.014346567,0.33683693,0.114333235,0.03733261,0.124638736,0.15020208,0.017120454,0.22668241,0.3241771,0.64301574,0.29097474,0.025428921,0.26378474,0.007394371,0.0513551,0.008131679,0.007007458,0.10107063,0.01440504
1/1/2024,0.34699425,0.12697384,0.074125156,0.0463995,0.08452215,0.5003706,0.5129136,0.23619197,0.23263273,0.08434011,0.12209395,0.14604503,0.014558099,0.3462588,0.11597264,0.037955392,0.12610407,0.15093938,0.017165715,0.22584596,0.3264414,0.6477292,0.2930869,0.026076041,0.26466706,0.007530628,0.052018046,0.008228966,0.007365031,0.102772884,0.01458839
2/1/2024,0.34967992,0.12690306,0.073778264,0.047254898,0.08573265,0.5030585,0.5169597,0.23607472,0.2347358,0.086039804,0.12310529,0.14750004,0.014785454,0.35081622,0.11763889,0.038743198,0.12814774,0.15267378,0.017258286,0.22387594,0.3281668,0.65148115,0.294616,0.026879802,0.26460198,0.007645381,0.052949317,0.008284107,0.007546098,0.104022644,0.014868737
3/1/2024,0.3519446,0.1261282,0.0730897,0.048053756,0.08676965,0.5042114,0.5195668,0.23738077,0.23703276,0.0877542,0.122886926,0.1489164,0.014863527,0.3525914,0.1188138,0.039410472,0.12988862,0.15396029,0.017511116,0.22187701,0.32886836,0.6533641,0.2953879,0.027795142,0.26406616,0.007720723,0.054095354,0.008259014,0.007684089,0.104913466,0.015075983
4/1/2024,0.353952,0.12554102,0.072044306,0.048732903,0.08787454,0.50528413,0.52155393,0.23890743,0.23926039,0.08957423,0.12231745,0.15004516,0.01500342,0.35432738,0.12002273,0.039995685,0.13116805,0.15495269,0.017772112,0.22059703,0.328776,0.65514165,0.29606882,0.028777203,0.26347458,0.007812324,0.055217657,0.008229925,0.007850193,0.105719954,0.01520473
5/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
