,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
3/1/2022,0.35085825,0.127903719,0.07086612,0.047953682,0.089000133,0.509711188,0.524010604,0.246586941,0.240881943,0.091492765,0.122383528,0.14914195,0.015453997,0.36493242,0.123541563,0.041450302,0.132463867,0.154653308,0.018251547,0.220775666,0.332025493,0.664926764,0.295109962,0.031293615,0.265515777,0.007952343,0.057381495,0.008355733,0.007942831,0.110675136,0.015202762
4/1/2022,0.351868139,0.127587121,0.07060843,0.048513886,0.090634801,0.512086967,0.527961197,0.249958391,0.244609027,0.092809925,0.123046614,0.150076046,0.015841623,0.368178943,0.124332961,0.041982191,0.134396061,0.156753345,0.018603651,0.219451596,0.333207058,0.670322953,0.295727402,0.032446877,0.265371891,0.008008309,0.058744999,0.008469486,0.008007617,0.110814704,0.015391846
5/1/2022,0.353422005,0.1267721,0.070080526,0.049304775,0.092359908,0.515046598,0.5322922,0.25282656,0.248377149,0.094135919,0.123606862,0.150718519,0.016111501,0.371570172,0.124648843,0.042424491,0.136269186,0.159950373,0.018859619,0.218301649,0.334580707,0.676276443,0.296913184,0.033508013,0.265138346,0.008115806,0.060080776,0.008512717,0.008007417,0.110573838,0.015591022
6/1/2022,0.355951902,0.125947438,0.069182291,0.050342371,0.094210498,0.518855474,0.536654399,0.25561972,0.25178954,0.09551311,0.123996746,0.151117701,0.016253717,0.373187886,0.125284433,0.042879332,0.138393119,0.163448803,0.019026366,0.216401487,0.335955413,0.682202397,0.298324695,0.034446861,0.264831531,0.008292928,0.061454176,0.008510316,0.008044784,0.110081668,0.015753828
7/1/2022,0.359089525,0.125229544,0.068209526,0.051660653,0.096266307,0.524000464,0.541898902,0.259089987,0.255585005,0.096801985,0.124386337,0.151452918,0.016361306,0.372499658,0.126469416,0.043418189,0.14104358,0.167145529,0.019205853,0.21295404,0.337917345,0.68886197,0.300158332,0.035255809,0.264353702,0.008506657,0.06303874,0.00846572,0.008155674,0.109673096,0.015897951
8/1/2022,0.361767656,0.12431716,0.067395832,0.053135063,0.098349349,0.531036996,0.547806979,0.263570729,0.260220018,0.097900879,0.124719352,0.151672867,0.016422155,0.370055891,0.127963326,0.043947945,0.144066063,0.171166069,0.019455632,0.207648367,0.340537936,0.696577706,0.30284103,0.035960119,0.263928368,0.00876594,0.064811962,0.008324744,0.008242461,0.109447677,0.016047845
9/1/2022,0.363976809,0.12361007,0.066786548,0.054566088,0.10037398,0.539716696,0.553928374,0.268459127,0.265297628,0.099051738,0.125129029,0.151670333,0.016475717,0.366837858,0.129468843,0.044532382,0.147540389,0.175246842,0.019747082,0.200674708,0.343751608,0.704860483,0.30635554,0.036568408,0.264628332,0.009103814,0.066571597,0.008150352,0.008287315,0.109641217,0.016163263
10/1/2022,0.366473458,0.123452852,0.06622913,0.056098006,0.102486871,0.549392176,0.561117629,0.273374795,0.270484251,0.100458188,0.12584957,0.151463684,0.016623682,0.36435883,0.130840492,0.045244877,0.151387393,0.179644738,0.020017553,0.192465608,0.347529582,0.713621066,0.310531814,0.037048898,0.266825434,0.009506242,0.068331201,0.008015838,0.008364619,0.109956667,0.016216732
11/1/2022,0.369591875,0.123665476,0.065329094,0.057957203,0.104547778,0.559605314,0.569817381,0.278853486,0.2758433,0.102001707,0.1265711,0.151157422,0.016775136,0.362446818,0.132287952,0.046018913,0.155144625,0.184599649,0.02019498,0.182016776,0.351211609,0.722712131,0.31521452,0.03741457,0.26944229,0.009970188,0.070024531,0.007870447,0.00853043,0.10970384,0.016278759
12/1/2022,0.372664633,0.123923607,0.063852117,0.060085644,0.106432387,0.570171866,0.578954868,0.2849315,0.28144202,0.103509327,0.126975829,0.150872073,0.016791428,0.359622658,0.133622438,0.046939781,0.158848565,0.189883715,0.020266295,0.168541085,0.354101444,0.731046184,0.319989943,0.037683837,0.271835505,0.01047309,0.07159706,0.007705244,0.008801152,0.108723707,0.016412833
1/1/2023,0.374516797,0.124240474,0.062073307,0.062275783,0.108261877,0.581263255,0.588078421,0.291168032,0.287427242,0.105118174,0.127223817,0.150861786,0.01674676,0.356658041,0.134260961,0.048058486,0.162863114,0.195212925,0.020298834,0.152858926,0.356338955,0.73817231,0.324544904,0.037825068,0.274772317,0.010984369,0.073251707,0.007544105,0.009150931,0.107755868,0.01657408
2/1/2023,0.375032227,0.124629902,0.060392864,0.064382508,0.109966804,0.593343307,0.597909805,0.297118781,0.293412455,0.106998328,0.127231654,0.150710767,0.016671194,0.355112924,0.134235832,0.049103461,0.167202028,0.200723902,0.020296474,0.13617121,0.358677015,0.745333682,0.329233981,0.037767039,0.278662648,0.011509708,0.075134299,0.00733574,0.009493066,0.107472482,0.016678801
3/1/2023,0.375631996,0.124813548,0.059007347,0.066562244,0.111733881,0.606382964,0.608942926,0.302519287,0.298760195,0.108994049,0.127206089,0.149920109,0.016562015,0.354372089,0.134122081,0.049998187,0.171767706,0.20669703,0.020239249,0.118611649,0.361132408,0.753154528,0.334500848,0.037476045,0.282973714,0.012071757,0.077053695,0.007116483,0.009807677,0.107623283,0.016748106
4/1/2023,0.377338276,0.124867935,0.058035884,0.069086326,0.113860431,0.618890569,0.62140298,0.307996781,0.304331659,0.11098937,0.127736712,0.149384764,0.016614111,0.35429874,0.134152748,0.050998785,0.176563378,0.212624836,0.020214212,0.099388369,0.362997447,0.760707613,0.339896304,0.037052835,0.28822086,0.012684828,0.078949283,0.006981258,0.010077895,0.107964274,0.016886491
5/1/2023,0.379698473,0.125031289,0.057323191,0.072003774,0.116083739,0.630096774,0.636267817,0.314147379,0.311043475,0.113222807,0.128752548,0.150069755,0.016931353,0.355911534,0.133928533,0.052118931,0.181294226,0.218137787,0.020266444,0.079749122,0.364521491,0.768603786,0.345308379,0.036636622,0.295061622,0.013331344,0.081045279,0.006876635,0.010259493,0.108895468,0.017091059
6/1/2023,0.382605498,0.124940034,0.056028582,0.075205901,0.117915045,0.64069311,0.653133099,0.320783687,0.317931154,0.115770509,0.129616723,0.151469434,0.017302493,0.358186583,0.13337545,0.053253586,0.1858237,0.22372671,0.020347767,0.061819722,0.365936273,0.777777036,0.351025026,0.036335155,0.302568862,0.014006986,0.083365316,0.006731546,0.010443375,0.110584366,0.017306311
7/1/2023,0.386999113,0.124440956,0.053539141,0.078666201,0.119413152,0.651689594,0.670794027,0.328044933,0.324343897,0.118613377,0.130153076,0.153036827,0.017675851,0.35976463,0.13309509,0.054489345,0.190826644,0.229737995,0.020445627,0.045279586,0.36650634,0.787932501,0.356993022,0.036294414,0.31020491,0.014701785,0.085839866,0.006592938,0.01069213,0.112466906,0.017529061
8/1/2023,0.393581403,0.123974413,0.050356614,0.082564122,0.121137569,0.6646093,0.691089275,0.336463087,0.33129412,0.1219054,0.130787336,0.1554654,0.018190797,0.360676081,0.133323659,0.055840237,0.196711831,0.236524347,0.020574842,0.027330848,0.366517713,0.800397101,0.363841722,0.036536183,0.318351681,0.015397034,0.088591169,0.006484859,0.010933821,0.114248132,0.017772086
9/1/2023,0.402461514,0.123624523,0.047471507,0.086863247,0.123439495,0.679864111,0.71513897,0.345999904,0.339926496,0.125527224,0.13177507,0.159093251,0.018710787,0.36140357,0.133819548,0.057268178,0.203011183,0.244158201,0.02072972,0.005411049,0.366842269,0.816784042,0.371664727,0.036932664,0.326513672,0.016131967,0.09161528,0.006408103,0.011151979,0.116089205,0.018064545
10/1/2023,0.412514618,0.123336652,0.045552538,0.091055817,0.126290273,0.695409648,0.739938404,0.356157192,0.349570221,0.129141276,0.133141367,0.162862295,0.019198059,0.363431355,0.134270444,0.05880384,0.209218791,0.251506784,0.020928297,-0.019495553,0.36755208,0.835853812,0.378989217,0.037409393,0.334293522,0.016909206,0.094699951,0.006442406,0.011288018,0.118208096,0.018366413
11/1/2023,0.422046221,0.123113374,0.044543465,0.094801036,0.129367269,0.708409391,0.763022335,0.3656771,0.358828557,0.132679611,0.134649949,0.166133363,0.019904353,0.368917396,0.134293857,0.060251055,0.214959687,0.25785179,0.021248342,-0.045024934,0.368629041,0.855406305,0.384632199,0.037804172,0.342678398,0.017647091,0.097631381,0.006565202,0.011331737,0.120709088,0.018604542
