,tot,counts,mean
Product Testing,100690764.0,1519.0,66287.53390388413
Economics,500340301.5,5952.0,84062.55065524194
Applied Economics,146616.0,3.0,48872.0
Personal Health Records,42515104.5,847.0,50194.92857142857
File Manager,2181509.0,34.0,64162.029411764706
Garage Doors,40660274.0,592.0,68682.89527027027
Kronos (Timekeeping Software),43256234.0,708.0,61096.37570621469
Power Plant Equipment,1793054.5,22.0,81502.47727272728
Oracle Hyperion,41281526.0,393.0,105042.05089058525
Consumer Relationship Systems,6682352.0,120.0,55686.26666666667
Calipers,251516532.0,6018.0,41794.03988035892
Transact-SQL,136753807.5,1225.0,111635.76122448979
Caesarean Section,6042372.0,62.0,97457.6129032258
Immunization Certification,1290248.0,18.0,71680.44444444444
Electrical Codes,26542960.0,433.0,61300.13856812933
Infectious Diseases,67347596.0,903.0,74582.0553709856
Emergency Lighting,7955431.5,178.0,44693.43539325843
Readers' Advisory,9790242.0,207.0,47295.85507246377
Mathematical Sciences,28188266.0,296.0,95230.62837837837
Model Validation,8836985.5,69.0,128072.2536231884
Cryptographic Keys,0.0,0.0,
Heading (Metalworking),5171186.0,97.0,53311.19587628866
High-Level Architecture,9972880.0,76.0,131222.1052631579
Design And Technology,5626130.5,64.0,87908.2890625
Pega Certified Business Architect,135200.0,1.0,135200.0
ADO.NET (Programming Language),40242839.5,331.0,121579.57552870091
Salesforce Marketing Cloud,30068432.0,319.0,94258.40752351098
Retrospective Reviews,3926852.5,45.0,87263.38888888889
Eloqua,17615969.5,187.0,94203.04545454546
Team Building,536524508.0,8206.0,65381.9775773824
Self-Sufficiency,37891680.5,669.0,56639.283258594915
Multi-Touch Marketing,7288882.5,76.0,95906.34868421052
Spinal Cord Injuries,19448377.5,224.0,86823.11383928571
Mass Spectrometry,18482167.5,268.0,68963.31156716419
Microsoft Windows 8,9667592.5,216.0,44757.37268518518
Product Innovation,18165250.5,186.0,97662.6370967742
Clinical Pharmacy,49615392.0,471.0,105340.53503184713
Assertiveness,195215051.5,3389.0,57602.55281794039
National Council Licensure Examination,71450004.5,738.0,96815.72425474254
Tricentis Tosca,1494670.0,13.0,114974.61538461539
Adaptive Behavior,599625.0,14.0,42830.357142857145
Wound Healing,1668434.5,24.0,69518.10416666667
Failover Testing,192868.0,2.0,96434.0
Business Process Mapping,68051332.5,620.0,109760.21370967742
HyperText Markup Language (HTML),690220385.0,7548.0,91444.14215686274
Finish Carpentry,16661602.0,309.0,53921.04207119741
Certified Clinical Research Associate,252720.0,2.0,126360.0
Vestibular System,4003533.0,63.0,63548.142857142855
Oracle GoldenGate,6390041.0,51.0,125294.92156862745
American Registry Of Radiologic Technologists (ARRT) Certified,82698932.0,864.0,95716.35648148147
Web Application Development,62333526.5,549.0,113540.12112932604
Operational Risk,31373422.0,261.0,120204.68199233717
Adult Learning Principles,14345295.5,180.0,79696.08611111112
Pest Control,149039044.0,3053.0,48817.24336717982
Property Management,292982263.0,5749.0,50962.30005218299
Probability And Statistics,2800532.5,27.0,103723.42592592593
Secondary Market,34394154.5,371.0,92706.61590296496
Fraud Investigation,6690180.0,93.0,71937.41935483871
JAX-WS,6599282.0,56.0,117844.32142857143
Public Company Accounting Oversight Board,9818126.5,96.0,102272.15104166667
HP/OpenText Exstream,1773291.5,17.0,104311.26470588235
Software Deployment,55246067.5,523.0,105633.01625239005
Differentiated Services,867000.0,8.0,108375.0
