,tot,counts
Valves (Piping),248709200.5,4331.0
Security Requirements Analysis,179074599.0,2034.0
Waste Treatment,4912917.0,82.0
Uikit,10412258.0,83.0
Certified Information Security Manager,148361245.0,1120.0
Bayesian Inference,3711028.0,29.0
Educational Psychology,4897917.0,58.0
Net Present Value,16820085.0,163.0
Shift-Left Testing,10726961.0,89.0
Individualized Education Programs (IEP),227688722.5,3831.0
Eye Examination,1627705.5,27.0
Market Exposure,1388320.0,22.0
Web Content Management,24174394.0,239.0
Relational Database Design,37964188.5,337.0
Acceptance Test-Driven Development,16975105.0,138.0
Digital Architecture,3339791.0,25.0
PTC Creo (CAD Suite),40575271.5,453.0
Hoppers,73219257.0,1839.0
Cyber Investigations,2824479.0,21.0
Dimensionality Reduction,3483620.0,26.0
Registered Health Information Technician (RHIT),46072877.5,735.0
WebRTC,6988220.0,59.0
Twilio,9782156.5,82.0
Employee Coaching,43571540.5,676.0
Active Pharmaceutical Ingredients,5987853.5,99.0
Contract Manufacturing,7002973.5,78.0
Google Optimize,7368805.0,73.0
Arduino,1093303.5,20.0
Social Advertising,18250522.5,214.0
Servant Leadership,52583050.5,651.0
Integrated Reporting,655695.0,5.0
White Space Development,18677863.0,164.0
Cleaning Products,79166385.0,2278.0
E-Kanban,464974.5,6.0
Machine Guarding,15025369.0,249.0
Tooling Design,30015159.0,361.0
Community Leadership,34735174.0,222.0
Feasibility Studies,135282206.5,1325.0
Machine Controls,57061552.0,947.0
Sensory Integration Therapy,4713148.0,67.0
Certified Respiratory Therapist (CRT),15404184.0,228.0
Gaskets,14930181.5,316.0
Vlookups,334866105.0,5203.0
Electronic Submission,11021836.5,167.0
Brand Architecture,4762770.5,35.0
Cascading Style Sheets (CSS),947773617.0,8936.0
Karate (Software),5181746.5,42.0
Remote Infrastructure Management,10752106.5,166.0
Regulatory Documents,88547179.5,988.0
Student Development,53941435.5,1029.0
Recruitment Planning,60744717.5,972.0
Object-Oriented Programming (OOP),456346369.0,3822.0
Physical Fitness,82061339.5,1640.0
Fire-Control Systems,21374840.5,624.0
Data Architecture,254317852.0,1898.0
Riveting,22824088.0,555.0
Sales Receipts,18068359.0,437.0
Literature Reviews,19685964.0,235.0
General Ledger,727992133.5,10730.0
Functional Process,17899217.0,172.0
Organic Compounds,1439111.5,24.0
AutoCAD Civil 3D,36147850.5,428.0
Machine Operation,715468257.5,19619.0
VA SAR/LAPP Designation,23856879.0,219.0
Pathologic Findings,646000.0,7.0
Post-Production,99996607.5,1369.0
Reliability Availability Maintainability And Safety Software,2923610.0,48.0
Procedure Codes,17719356.0,250.0
Call Center Experience,1168616396.5,25754.0
Printed Circuit Board,88512991.0,1507.0
Topographic Surveying,9897799.0,167.0
Data Interfaces,13731935.5,127.0
Cyber Risk,65886820.0,486.0
Special Effects,2394471.0,44.0
Accounting Software,443190380.0,8106.0
Freight Handling,126826289.0,2090.0
Professional Speaking,8550763.5,201.0
School Nursing Certification,8407352.0,129.0
Special Needs Children,40428884.5,962.0
Surgical Oncology,8117740.0,65.0
LTE (Telecommunication),41536127.5,478.0
Carrier Management,673968.0,10.0
Certified Construction Manager,1565619.0,14.0
Medical Physics,2251108.5,19.0
Performance Systems Analysis,24915290.0,251.0
Patient Referral,39661179.0,696.0
Operational Efficiency,216203454.5,2524.0
Folding Machines,40279966.5,1225.0
Scripting,1418777268.0,13858.0
Visual Basic (Programming Language),155309913.0,1589.0
Emergency Medical Services,108043440.0,1950.0
Mortgage Laws,2579714.0,30.0
Value Engineering,99771695.0,963.0
Informed Consent,61568808.5,669.0
Tissue Culture,3985372.0,61.0
Accident Analysis,18255836.5,240.0
Airway Management,15025919.0,174.0
Resilience,686746060.0,7951.0
Markup Languages,5381902.5,58.0
International Education,7145729.0,112.0
Jitterbit Integration Servers,6560198.0,58.0
Network Bridges,2245762.0,25.0
Distributed Team Management,11435336.0,91.0
American Red Cross (ARC) Certification,75485695.0,1366.0
Derivative Valuation,1527960.0,12.0
Black-Box Testing,7226054.0,70.0
Cash Flow Forecasting,119940066.0,1553.0
In Vitro Fertilisation,7240952.5,82.0
Mortgage Loan Closing,23375533.5,404.0
Nadcap,10163055.0,127.0
Dressing Changes,104958596.0,1168.0
Azure Active Directory,104562964.0,960.0
Visual Marketing,4301130.5,74.0
Financial Close,81877479.5,904.0
DB2 SQL,10840944.5,91.0
Third-Party Logistics,91490518.0,1304.0
Property Tax,101969172.5,1256.0
Diagnostic Skills,57060486.0,834.0
Solrj,0.0,0.0
Talent Acquisition,456810396.5,6179.0
Applied Psychology,215000.0,3.0
Staffing Software,2419606.5,38.0
Providing Legal Advice,36234987.5,326.0
Cytogenetics,1378666.5,21.0
Certified Quality Engineer,16980330.0,176.0
Press Brake,31700802.0,771.0
Indexed Sequential Access Method (ISAM),3515688.0,33.0
Forklift Truck,2223721028.5,58495.0
Infection,46056902.5,583.0
Diabetes Mellitus,67547712.0,823.0
Google Sites,1079548.0,21.0
Business Planning,420824262.0,4149.0
SolidWorks (CAD),162454661.5,2073.0
Political Sciences,65679542.0,929.0
Sed (Programming Language),4049611.0,33.0
Pharmacokinetic Dosing,559627.0,5.0
Project Evaluation,18059952.0,197.0
FastTrack,4884142.0,44.0
Corporate Social Responsibility,28710685.5,418.0
Athletic Training,30727463.0,583.0
SAP Applications,1425641310.0,19705.0
Cardiovascular Disease,4567295.0,65.0
Pathology,107963146.5,1302.0
Withholding Tax,14719948.0,152.0
Workflow Management,2499936061.0,31126.0
Performance Improvement,372889910.0,4208.0
Reference Management,2388192.0,23.0
E-Marketing,7006486.0,116.0
Stock Management,13437412.0,301.0
Syntax,31793514.0,402.0
Construction Surveying,4240830.0,112.0
Bookkeeping,780991754.0,16441.0
Internal Medicine And Pediatrics (Med-Peds),3468403.5,26.0
Human Nutrition,12159508.5,317.0
Object-Oriented Design,182724448.0,1470.0
Commercial Driving,280379253.0,4545.0
Infertility,8296584.5,78.0
Quantitative Research,118235528.0,1175.0
Blood Films,134038.5,4.0
Press Releases,176390820.5,2798.0
Iometer,0.0,0.0
Contract Review,154489088.5,1815.0
Video Editing,61499202.0,1107.0
Business-To-Consumer,195328057.0,2144.0
Android Software Development,9752760.0,81.0
Doubles Endorsement,98973784.5,1470.0
Orofacial Granulomatosis,1447697.5,15.0
Netscaler,16128954.0,136.0
Android Development,36245182.5,319.0
Data Capture,43477635.5,553.0
Voltage,56233993.0,854.0
National Council Licensure Examination,112874138.5,1108.0
Functional Behavior Assessment,17318373.5,260.0
Debugging,908291951.5,8056.0
Data Classification,20145006.0,151.0
Civil Drawing,1930058.0,31.0
MarinOne (Software),1093490.0,11.0
Teaching English As A Second Language,20415212.5,418.0
Subrogation,48441386.5,599.0
Consulting,2196359289.5,20831.0
Luxury Goods,4567640.0,97.0
Financial Risk,59873915.0,569.0
Test Planning,516457074.5,4840.0
Category Management,142961052.5,1477.0
Medical Science,122891064.0,1638.0
SAP Warehouse Management,10236168.5,88.0
Direct Instruction,14395732.5,264.0
Meal Planning And Preparation,473258445.5,14611.0
Global Positioning Systems,46604862.5,829.0
Enterprise Planning Systems,22223628.0,196.0
MySQL,468214350.5,3968.0
Health Maintenance,78114056.0,614.0
Medical Management,110395886.0,1461.0
Bayesian Modeling,2209945.0,20.0
Learning Platforms,18823343.0,299.0
Hadoop Cloudera,3028560.0,20.0
Cryotherapy,12225009.0,196.0
Emergency Medicine,121692240.0,1403.0
Conveyor Systems,150773004.5,3059.0
Neonatal Resuscitation Program Certification (NRP),84084121.5,712.0
Chartered Accountant,3567042.0,35.0
American Medical Technologists (AMT) Certification,40507162.5,745.0
Salesforce Object Search Language (SOSL),9360538.0,78.0
HP WinRunner,226000.0,3.0
Empathy,855999670.0,15359.0
Medical Coding Certification,23228998.5,403.0
Lecturing,50906500.5,835.0
Artificial Cardiac Pacemakers,21818604.5,208.0
Structural Load,1842268.0,25.0
Internet Research,135472153.0,2738.0
Brainspace (eDiscovery Software),2546512.5,23.0
Oil Filter,12652605.5,358.0
Headsets,1682624.5,40.0
Organ And Tissue Donation,2839443.5,43.0
Litigation Strategy,9737302.5,104.0
Customer Experience Improvement,31126035.0,392.0
Firmware Updates,5238668.0,64.0
Single Sign-On (SSO),153246236.0,1263.0
Manufacturing Operations,171769656.0,2344.0
File Copying,6068489.5,167.0
Services Marketing,21126094.0,192.0
Early Childhood Mental Health,2830483.0,47.0
Advanced Cardiac Sonographer (ACS),529642.5,8.0
Currency Transaction Reports (CTR),7937153.0,151.0
Embedded SQL,3439550.0,28.0
Entity Relationship Models,18617495.0,161.0
Electrical Control Systems,22350243.5,314.0
Back End Testing,9689290.5,91.0
