,0
Skill cat: Administration,65530.041666666664
"Skill cat: Agriculture, Horticulture, and Landscaping",1002.2916666666666
Skill cat: Analysis,31279.208333333332
Skill cat: Architecture and Construction,11944.083333333334
Skill cat: Business,152288.375
Skill cat: Customer and Client Support,48566.104166666664
Skill cat: Design,10947.5
"Skill cat: Economics, Policy, and Social Studies",6344.125
Skill cat: Education and Training,19226.541666666668
Skill cat: Energy and Utilities,2128.0625
Skill cat: Engineering,18912.8125
Skill cat: Environment,2254.6041666666665
Skill cat: Finance,74022.20833333333
Skill cat: Health Care,97253.0625
Skill cat: Hospitality and Food Services,16132.666666666666
Skill cat: Human Resources,13404.895833333334
Skill cat: Information Technology,183471.79166666666
"Skill cat: Law, Regulation, and Compliance",52658.5625
"Skill cat: Maintenance, Repair, and Facility Services",23195.604166666668
Skill cat: Manufacturing and Production,22230.75
Skill cat: Marketing and Public Relations,34866.666666666664
Skill cat: Media and Communications,91080.85416666667
"Skill cat: Performing Arts, Sports, and Recreation",1044.5208333333333
Skill cat: Personal Care and Services,751.125
Skill cat: Physical and Inherent Abilities,187358.72916666666
Skill cat: Property and Real Estate,2067.25
Skill cat: Public Safety and National Security,5823.6875
Skill cat: Sales,68066.45833333333
Skill cat: Science and Research,22722.354166666668
Skill cat: Social and Human Services,3361.4166666666665
"Skill cat: Transportation, Supply Chain, and Logistics",45283.645833333336
Postings count,105056.58333333333
month,6.5
