Unnamed: 0,name,degree,degree_type,description,transfer,url,courses,course_count,updated,group_id,groupType_id,demand_share,demand_growth,avg_demand_share,avg_demand_growth
0,Accounting,Advanced Certificate,Certificate,,0,https://catalog.ccc.edu/academic-program-requirements/accounting-advanced-certificate/,"[{'id': '6092d22a166e430009c90570', 'title': 'Introduction to Business'}, {'id': '6092d22a166e430009c90571', 'title': 'Business Mathematics'}, {'id': '6092d22b166e430009c90577', 'title': 'Financial Accounting'}, {'id': '6092d22b166e430009c90578', 'title': 'Managerial Accounting'}, {'id': '6092d22b166e430009c9057a', 'title': 'Introductory Cost Accounting'}, {'id': '6092d22c166e430009c9057b', 'title': 'Computer Applications for Accounting'}, {'id': '6092d22c166e430009c9057c', 'title': 'Intermediate Accounting'}, {'id': '6092d22c166e430009c9057d', 'title': 'Auditing'}, {'id': '6092d22d166e430009c9057f', 'title': 'Federal Income Tax'}, {'id': '6092d22f166e430009c9058e', 'title': 'Introduction to Finance'}]",10,2021-05-25T18:25:28.829Z,6092d52c18d082000919c081,6091cb45d60b04000837e6a7,2.407433429,-7.529679338820589,0.24074334290000002,-0.752967933882059
1,Accounting,Associate in Applied Science,Associate Degree,"The Associate in Applied Science degree program in Accounting is the study of basic accounting skills. Completion of the program can lead to various levels of accounting positions in accounting firms, retail stores, manufacturing, service business, and small business employment as a junior member of an accounting staff, estimator, credit analyst, budget or general accountant, bank teller, and accounts receivable or accounts payable clerk.",0,https://catalog.ccc.edu/academic-program-requirements/accounting-aas/,"[{'id': '6092d22a166e430009c90570', 'title': 'Introduction to Business'}, {'id': '6092d22a166e430009c90571', 'title': 'Business Mathematics'}, {'id': '6092d22b166e430009c90577', 'title': 'Financial Accounting'}, {'id': '6092d22b166e430009c90578', 'title': 'Managerial Accounting'}, {'id': '6092d22b166e430009c9057a', 'title': 'Introductory Cost Accounting'}, {'id': '6092d22c166e430009c9057b', 'title': 'Computer Applications for Accounting'}, {'id': '6092d22c166e430009c9057c', 'title': 'Intermediate Accounting'}, {'id': '6092d22c166e430009c9057d', 'title': 'Auditing'}, {'id': '6092d22d166e430009c9057f', 'title': 'Federal Income Tax'}, {'id': '6092d22d166e430009c90580', 'title': 'Business Law I'}, {'id': '6092d22e166e430009c90583', 'title': 'The Legal & Social Environment of Business'}, {'id': '6092d22f166e430009c9058e', 'title': 'Introduction to Finance'}, {'id': '6092d230166e430009c90591', 'title': 'Computerized Accounting Systems'}, {'id': '6092d23f166e430009c905e8', 'title': 'Introduction to Computer Applications'}, {'id': '6092d23f166e430009c905ea', 'title': 'Microcomputer Spreadsheets'}, {'id': '6092d240166e430009c905ee', 'title': 'Introduction To Database Concepts'}, {'id': '6092d260166e430009c906a3', 'title': 'Composition'}, {'id': '6092d295166e430009c907d8', 'title': 'General Education Math'}]",18,2021-05-25T18:24:13.433Z,6092d52c18d082000919c07f,6091cb35d60b04000837e6a5,4.782547625,-7.4273590428636584,0.26569709027777777,-0.41263105793686994
2,Accounting,Associate in Arts,Associate Degree,"This is an example course sequence for students interested in pursuing Accounting. It does not represent a contract, nor does it guarantee course availability. If this pathway is followed as outlined, you will earn an Associate in Arts degree. Students completing the below pathway can also earn the Accounting Clerk Basic Certificate by taking BUSINES 284 Business Communications as an additional course.",1,https://catalog.ccc.edu/transfer-pathways/accounting-associate-arts/,"[{'id': '6092d209166e430009c904bd', 'title': 'Introduction to African-American Studies'}, {'id': '6092d20e166e430009c904d2', 'title': 'Intro to Biological and Cultural Evolutions of Humans'}, {'id': '6092d20f166e430009c904da', 'title': 'Intermediate Arabic II'}, {'id': '6092d213166e430009c904ec', 'title': 'Art Appreciation'}, {'id': '6092d21e166e430009c9052a', 'title': 'Descriptive Astronomy'}, {'id': '6092d224166e430009c90551', 'title': 'Nutrition-Consumer Education'}, {'id': '6092d22a166e430009c90570', 'title': 'Introduction to Business'}, {'id': '6092d22b166e430009c90577', 'title': 'Financial Accounting'}, {'id': '6092d22b166e430009c90578', 'title': 'Managerial Accounting'}, {'id': '6092d22b166e430009c90579', 'title': 'Payroll Accounting'}, {'id': '6092d22b166e430009c9057a', 'title': 'Introductory Cost Accounting'}, {'id': '6092d22d166e430009c90582', 'title': 'Data Visualization and Presentation for Business'}, {'id': '6092d230166e430009c90591', 'title': 'Computerized Accounting Systems'}, {'id': '6092d258166e430009c9067c', 'title': 'Principles of Economics I '}, {'id': '6092d258166e430009c9067d', 'title': 'Principles of Economics II'}, {'id': '6092d260166e430009c906a3', 'title': 'Composition'}, {'id': '6092d260166e430009c906a4', 'title': 'Composition'}, {'id': '6092d296166e430009c907de', 'title': 'College Algebra'}, {'id': '6092d298166e430009c907e5', 'title': 'Calculus for Business & Social Sciences'}, {'id': '6092d298166e430009c907e6', 'title': 'Calculus & Analytic Geometry I'}, {'id': '6092d2de166e430009c90984', 'title': 'Fundamentals of Speech Communication'}]",21,2021-05-25T18:26:17.500Z,6092d52c18d082000919c082,6091cb4ed60b04000837e6a8,6.082818269000001,-19.310003824721328,0.28965801280952386,-0.9195239916533966
3,Accounting,Basic Certificate,Certificate,,0,https://catalog.ccc.edu/academic-program-requirements/accounting-basic-certificate/,"[{'id': '6092d22a166e430009c90570', 'title': 'Introduction to Business'}, {'id': '6092d22a166e430009c90571', 'title': 'Business Mathematics'}, {'id': '6092d22b166e430009c90577', 'title': 'Financial Accounting'}, {'id': '6092d22b166e430009c90578', 'title': 'Managerial Accounting'}, {'id': '6092d22b166e430009c9057a', 'title': 'Introductory Cost Accounting'}]",5,2021-05-25T18:25:00.871Z,6092d52c18d082000919c080,6091cb3ed60b04000837e6a6,1.904060849,-7.239596758288348,0.3808121698,-1.4479193516576696
4,Accounting Clerk,Basic Certificate,Certificate,"The Accounting Clerk Basic Certificate will prepare individuals to provide high-tech administrative support to professional accountants, financial managers, and business owners. The program will provide students with opportunities to develop basic skills in preparation for employment in modern, technology-driven offices in many entities, governments, schools, profit and non-profit organizations, and self-employment occupations.",0,https://catalog.ccc.edu/academic-program-requirements/accounting-clerk-basic-certificate/,"[{'id': '6092d22a166e430009c90570', 'title': 'Introduction to Business'}, {'id': '6092d22b166e430009c90577', 'title': 'Financial Accounting'}, {'id': '6092d22b166e430009c90578', 'title': 'Managerial Accounting'}, {'id': '6092d22b166e430009c90579', 'title': 'Payroll Accounting'}, {'id': '6092d22b166e430009c9057a', 'title': 'Introductory Cost Accounting'}, {'id': '6092d22d166e430009c90582', 'title': 'Data Visualization and Presentation for Business'}, {'id': '6092d230166e430009c90591', 'title': 'Computerized Accounting Systems'}, {'id': '6092d233166e430009c905a1', 'title': 'Business Communications'}]",8,2021-05-25T18:26:37.752Z,6092d52d18d082000919c083,6091cb3ed60b04000837e6a6,3.5844097650000006,-9.528224085925697,0.4480512206250001,-1.191028010740712
5,Addictions Studies,Advanced Certificate,Certificate,,0,https://catalog.ccc.edu/academic-program-requirements/addictions-studies-advanced-certificate/,"[{'id': '6092d237166e430009c905bc', 'title': 'Human Growth & Development I'}, {'id': '6092d237166e430009c905bd', 'title': 'Human Growth & Development II'}, {'id': '6092d29f166e430009c90810', 'title': 'Intro to Addictions Studies'}, {'id': '6092d29f166e430009c90811', 'title': 'Principles and Practices of Addiction Studies'}, {'id': '6092d2a0166e430009c90813', 'title': 'Practicum in Addictions Treatment'}, {'id': '6092d2a0166e430009c90814', 'title': 'Addictions & Family Treatment'}, {'id': '6092d2a0166e430009c90815', 'title': 'Addictions Treatment of Special Populations'}, {'id': '6092d2d8166e430009c9095d', 'title': 'Introduction to Social Work'}, {'id': '6092d2d9166e430009c90963', 'title': 'Report Writing for Social Service Aides'}, {'id': '6092d2d9166e430009c90964', 'title': 'Principles of Social Work Practice'}, {'id': '6092d2da166e430009c90969', 'title': 'Intro to Group Process'}]",11,2021-05-25T18:30:37.380Z,6092d52d18d082000919c086,6091cb45d60b04000837e6a7,2.7963612689999997,-20.22888467039484,0.2542146608181818,-1.83898951549044
6,Addictions Studies,Associate in Applied Science,Associate Degree,"The Associate in Applied Science degree program in Addictions Studies is ideal for prospective mental health practitioners or those already working in the field who wish to receive training and credentials in Addictions Studies. Many Addictions Studies practitioners find employment in medical and non-medical detoxification centers, rehabilitation programs, community mental health centers and family service centers, halfway houses, therapeutic communities, business, or industry. Some combine counseling with such primary professions as nursing, social work, school guidance counseling, or the clergy.",0,https://catalog.ccc.edu/academic-program-requirements/addictions-studies-aas/,"[{'id': '6092d209166e430009c904bd', 'title': 'Introduction to African-American Studies'}, {'id': '6092d20e166e430009c904d2', 'title': 'Intro to Biological and Cultural Evolutions of Humans'}, {'id': '6092d20f166e430009c904da', 'title': 'Intermediate Arabic II'}, {'id': '6092d21e166e430009c9052a', 'title': 'Descriptive Astronomy'}, {'id': '6092d224166e430009c90551', 'title': 'Nutrition-Consumer Education'}, {'id': '6092d237166e430009c905bc', 'title': 'Human Growth & Development I'}, {'id': '6092d237166e430009c905bd', 'title': 'Human Growth & Development II'}, {'id': '6092d295166e430009c907d8', 'title': 'General Education Math'}, {'id': '6092d29f166e430009c90810', 'title': 'Intro to Addictions Studies'}, {'id': '6092d29f166e430009c90811', 'title': 'Principles and Practices of Addiction Studies'}, {'id': '6092d2a0166e430009c90813', 'title': 'Practicum in Addictions Treatment'}, {'id': '6092d2a0166e430009c90814', 'title': 'Addictions & Family Treatment'}, {'id': '6092d2a0166e430009c90815', 'title': 'Addictions Treatment of Special Populations'}, {'id': '6092d2c3166e430009c908e3', 'title': 'General Psychology'}, {'id': '6092d2c4166e430009c908ec', 'title': 'Abnormal Psychology'}, {'id': '6092d2d8166e430009c9095d', 'title': 'Introduction to Social Work'}, {'id': '6092d2d9166e430009c90963', 'title': 'Report Writing for Social Service Aides'}, {'id': '6092d2d9166e430009c90964', 'title': 'Principles of Social Work Practice'}, {'id': '6092d2da166e430009c90969', 'title': 'Intro to Group Process'}]",19,2021-05-25T18:31:16.692Z,6092d52d18d082000919c084,6091cb35d60b04000837e6a5,4.18599915,-27.93268616640161,0.2203157447368421,-1.4701413771790321
7,Addictions Studies,Basic Certificate,Certificate,This Basic Certificate program in Addictions Studies provides students with the academic requirements needed in the application for the Certified Alcohol and Other Drugs Counselor (CADC) examination.,0,https://catalog.ccc.edu/academic-program-requirements/addictions-studies-basic-certificate/,"[{'id': '6092d29f166e430009c90810', 'title': 'Intro to Addictions Studies'}, {'id': '6092d29f166e430009c90811', 'title': 'Principles and Practices of Addiction Studies'}, {'id': '6092d2a0166e430009c90813', 'title': 'Practicum in Addictions Treatment'}, {'id': '6092d2a0166e430009c90814', 'title': 'Addictions & Family Treatment'}, {'id': '6092d2a0166e430009c90815', 'title': 'Addictions Treatment of Special Populations'}]",5,2021-05-25T18:27:49.641Z,6092d52d18d082000919c085,6091cb3ed60b04000837e6a6,0.8895884530000001,-7.319708783009413,0.1779176906,-1.4639417566018826
8,Advanced Social Services - Addictions Studies,Advanced Certificate,Certificate,"The Advanced Social Services–Addiction Studies certificate is ideal for prospective mental health practitioners or those already working in the field who wish to receive training and credentials in Social Services–Addiction Studies. Career possibilities include counselors, social workers, probation officers and correctional treatment specialists, and substance abuse and behavioral disorder counselors.",0,https://catalog.ccc.edu/academic-program-requirements/advanced-social-services-addictions-studies-advanced-certificate/,"[{'id': '6092d237166e430009c905bc', 'title': 'Human Growth & Development I'}, {'id': '6092d29f166e430009c90810', 'title': 'Intro to Addictions Studies'}, {'id': '6092d29f166e430009c90811', 'title': 'Principles and Practices of Addiction Studies'}, {'id': '6092d2a0166e430009c90812', 'title': 'Principles of Mental Health Practices'}, {'id': '6092d2a0166e430009c90813', 'title': 'Practicum in Addictions Treatment'}, {'id': '6092d2a0166e430009c90814', 'title': 'Addictions & Family Treatment'}, {'id': '6092d2a0166e430009c90815', 'title': 'Addictions Treatment of Special Populations'}, {'id': '6092d2d9166e430009c90963', 'title': 'Report Writing for Social Service Aides'}, {'id': '6092d2d9166e430009c90964', 'title': 'Principles of Social Work Practice'}, {'id': '6092d2da166e430009c90969', 'title': 'Intro to Group Process'}, {'id': '6092d2da166e430009c9096b', 'title': 'Social Problems & Social Action I'}, {'id': '6092d2da166e430009c9096c', 'title': 'Methodology for Social Work'}, {'id': '6092d2da166e430009c9096d', 'title': 'Social Service Practicum'}, {'id': '6092d2db166e430009c9096e', 'title': 'Domestic Violence Practicum'}]",14,2021-05-25T18:32:44.886Z,6092d52e18d082000919c088,6091cb45d60b04000837e6a7,2.8852092129999996,-22.69147323967689,0.20608637235714283,-1.6208195171197777
9,Advanced Social Services - Addictions Studies,Associate in Applied Science,Associate Degree,"The AAS degree in Advanced Social Services–Addictions Studies is ideal for prospective mental health practitioners, or those already working in the field that wish to advance their knowledge in the core competencies of both addictions studies and social work. The program will focus on the generalist’s approach to counseling, training, and industry credentialing in addictions studies and social work, with emphasis on the practices of working with individuals, families, groups, and communities. Many mental health/social work practitioners find employment in medical and non-medical detoxification centers, rehabilitation programs, community mental health centers, family service centers, halfway house, hospitals, therapeutic communities, business, and other industries. Some mental health professionals combine counseling with such primary professions such as nursing, social work, school guidance counseling, or clergy.",0,https://catalog.ccc.edu/academic-program-requirements/advanced-social-services-addictions-studies-aas/,"[{'id': '6092d209166e430009c904bd', 'title': 'Introduction to African-American Studies'}, {'id': '6092d224166e430009c90551', 'title': 'Nutrition-Consumer Education'}, {'id': '6092d237166e430009c905bc', 'title': 'Human Growth & Development I'}, {'id': '6092d237166e430009c905bd', 'title': 'Human Growth & Development II'}, {'id': '6092d260166e430009c906a3', 'title': 'Composition'}, {'id': '6092d260166e430009c906a4', 'title': 'Composition'}, {'id': '6092d28a166e430009c90795', 'title': 'Non-Western Humanities'}, {'id': '6092d296166e430009c907db', 'title': 'Introductory Statistics'}, {'id': '6092d29f166e430009c90810', 'title': 'Intro to Addictions Studies'}, {'id': '6092d29f166e430009c90811', 'title': 'Principles and Practices of Addiction Studies'}, {'id': '6092d2a0166e430009c90812', 'title': 'Principles of Mental Health Practices'}, {'id': '6092d2a0166e430009c90813', 'title': 'Practicum in Addictions Treatment'}, {'id': '6092d2a0166e430009c90814', 'title': 'Addictions & Family Treatment'}, {'id': '6092d2a0166e430009c90815', 'title': 'Addictions Treatment of Special Populations'}, {'id': '6092d2c3166e430009c908e3', 'title': 'General Psychology'}, {'id': '6092d2d5166e430009c9094b', 'title': 'Intro to the Study of Society'}, {'id': '6092d2d8166e430009c9095d', 'title': 'Introduction to Social Work'}, {'id': '6092d2d9166e430009c90963', 'title': 'Report Writing for Social Service Aides'}, {'id': '6092d2d9166e430009c90964', 'title': 'Principles of Social Work Practice'}, {'id': '6092d2da166e430009c90969', 'title': 'Intro to Group Process'}, {'id': '6092d2da166e430009c9096b', 'title': 'Social Problems & Social Action I'}, {'id': '6092d2da166e430009c9096c', 'title': 'Methodology for Social Work'}, {'id': '6092d2da166e430009c9096d', 'title': 'Social Service Practicum'}, {'id': '6092d2db166e430009c9096e', 'title': 'Domestic Violence Practicum'}]",24,2021-05-25T18:31:43.679Z,6092d52d18d082000919c087,6091cb35d60b04000837e6a5,5.15090614,-36.55471278032334,0.21462108916666667,-1.5231130325134725
